SAMPLE NUMBER:   6
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-59.81   	-65.61   	 36.01   	 -76.30		 16.87   	 701.93		
-54.02   	-69.27   	 35.71   	 -76.30		 19.67   	 732.45		
-46.39   	-65.00   	 35.40   	 -76.30		 22.60   	 747.71		
-38.15   	-53.10   	 35.10   	 -71.21		 25.60   	 798.57		
-20.75   	-22.89   	 34.81   	 -61.04		 28.79   	 732.45		
-10.07   	-10.38   	 34.57   	 -35.61		 31.72   	 661.24		
  1.53   	  0.31   	 34.43   	 -10.17		 34.36   	 584.94		
 14.65   	 10.68   	 34.38(D)	  40.69		 36.70   	 498.47		
 28.69   	 23.50   	 34.55   	  91.56		 38.70   	 417.09		
 43.95   	 40.89   	 34.91   	 167.85		 40.37   	 330.62		
 60.12   	 62.56   	 35.58   	 244.15		 41.69   	 254.32		
 75.68   	 86.67   	 36.56   	 325.53		 42.71   	 178.03		
 90.64   	110.78   	 37.86   	 401.83		 43.42   	 116.99		
104.37   	133.06   	 39.47   	 457.78		 43.89   	  71.21		
116.88   	153.20   	 41.30   	 508.65		 44.17   	  35.61		
128.48   	172.42   	 43.34   	 544.25		 44.31   	  15.26		
140.08   	191.96   	 45.51   	 554.42		 44.37   	   5.09		
152.59   	211.49   	 47.73   	 564.60		 44.39   	  10.17		
166.63   	231.02   	 49.99   	 554.42		 44.44   	  10.17		
181.27   	249.94   	 52.21   	 539.16		 44.48   	  25.43		
196.23   	266.72   	 54.36   	 528.99		 44.58   	  40.69		
209.05   	278.93   	 56.48   	 508.65		 44.74   	  61.04		
215.76   	282.90   	 58.51   	 483.21		 44.98   	  76.30		
211.18   	273.74   	 60.45   	 457.78		 45.29   	  86.47		
191.35   	246.28   	 62.28   	 417.09		 45.64   	  86.47		
156.25   	198.06   	 63.95   	 381.48		 45.98   	  91.56		
110.17   	132.75   	 65.47   	 340.79		 46.35   	  91.56		
 61.95   	 58.90   	 66.84   	 289.93		 46.71   	  86.47		
 18.92   	-11.90   	 68.00   	 223.80		 47.06   	  61.04		
-39.37   	-114.75   	 68.89   	 172.94		 47.30   	  30.52		
-56.76   	-146.18   	 69.58   	 116.99		 47.43   	  10.17		
-69.27   	-169.07   	 70.05   	  81.38		 47.47(S)	 -10.17		
-76.90   	-186.46   	 70.38   	  40.69		 47.43   	 -35.61		
-79.35   	-198.67   	 70.54   	   5.09		 47.28   	 -50.86		
-76.90   	-204.47   	 70.56(S)	 -20.35		 47.08   	 -66.12		
-70.80   	-201.42   	 70.48   	 -40.69		 46.82   	 -76.30		
-62.56   	-188.90   	 70.32   	 -71.21		 46.51   	 -96.64		
-52.19   	-167.85   	 70.03   	 -86.47		 46.12   	-101.73		
-39.67   	-142.52   	 69.68   	-106.82		 45.72   	-116.99		
-25.33   	-118.41   	 69.26   	-122.07		 45.25   	-137.33		
-10.68   	-100.10   	 68.77   	-132.25		 44.70   	-172.94		
 -0.31   	-88.50   	 68.24   	-152.59		 44.01   	-223.80		
  3.36   	-81.48   	 67.63   	-157.68		 43.11   	-289.93		
  1.22   	-75.68   	 67.00   	-167.85		 41.95   	-361.14		
 -1.22   	-72.33   	 66.33   	-178.03		 40.51   	-447.61		
  2.75   	-77.21   	 65.62   	-188.20		 38.72   	-534.08		
 11.90   	-94.91   	 64.86   	-198.37		 36.58   	-630.72		
 17.09   	-125.12   	 64.07   	-203.46		 34.06   	-712.10		
  5.49   	-163.88   	 63.26   	-223.80		 31.21   	-757.88		
-25.94   	-201.72   	 62.36   	-239.06		 28.18   	-788.40		
-69.27   	-230.71   	 61.40   	-259.41		 25.03   	-798.57		
-106.81   	-246.58   	 60.37   	-284.84		 21.83   	-788.40		
-125.73   	-249.63   	 59.23   	-300.10		 18.68   	-768.05		
-124.51   	-243.23   	 58.03   	-361.14		 15.61   	-752.79		
-105.59   	-226.14   	 56.58   	-356.05		 12.59   	-661.24		
-103.76   	-222.17   	 55.16   	-335.71		  9.95   	-559.51		
-103.15   	-220.95   	 53.81   	-310.27		  7.71   	-457.78		
-84.23   	-224.61   	 52.57   	-284.84		  5.88   	-356.05		
-13.12   	-235.29   	 51.43   	-259.41		  4.46   	-249.24		
146.48   	-237.73   	 50.40   	-228.89		  3.46   	-157.68		
410.16   	-174.56   	 49.48   	-203.46		  2.83   	 -76.30		
726.01   	 51.57   	 48.67   	-183.11		  2.52   	  -5.09		
936.28   	505.98   	 47.93   	-167.85		  2.50(E)	  50.86		
852.36   	1104.13   	 47.26   	-162.77		  2.71   	  81.38		
404.97   	1588.75(R)	 46.61   	-167.85		  3.03   	 127.16		
-833.44   	1224.06   	 45.94   	-162.77		  3.54   	 127.16		
-1018.07   	451.05   	 45.29   	-162.77		  4.05   	 116.99		
-770.57   	-257.87   	 44.64   	-162.77		  4.52   	  96.64		
-317.38   	-584.41   	 43.99   	-157.68		  4.90   	  76.30		
 31.43   	-502.32   	 43.36   	-147.51		  5.21   	  45.78		
115.36   	-238.34   	 42.77   	-142.42		  5.39   	  15.26		
 -3.97   	-52.49   	 42.20   	-137.33		  5.45   	   0.00		
-150.45   	-47.61   	 41.65   	-122.07		  5.45   	 -20.35		
-198.97   	-151.06   	 41.16   	-116.99		  5.37   	 -20.35		
-148.93   	-235.90   	 40.69   	-106.82		  5.29   	 -20.35		
-77.21   	-241.70   	 40.26   	 -96.64		  5.21   	   0.00		
-44.25   	-195.01   	 39.88   	 -91.56		  5.21   	  30.52		
-54.93   	-151.37   	 39.51   	 -81.38		  5.33   	  76.30		
-79.04   	-138.55   	 39.19   	 -76.30		  5.64   	 132.25		
-91.86   	-148.32   	 38.88   	 -71.21		  6.16   	 203.46		
-87.28   	-161.13   	 38.60   	 -71.21		  6.98   	 284.84		
-73.55   	-164.49   	 38.31   	 -71.21		  8.12   	 366.22		
-60.73   	-155.94   	 38.03   	 -71.21		  9.58   	 452.69		
-54.93   	-141.30   	 37.74   	 -76.30		 11.39   	 534.08		
-55.54   	-127.56   	 37.44   	 -76.30		 13.53   	 600.20		
-56.76   	-117.80   	 37.13   	 -76.30		 15.93   	 651.07		
-54.32   	-110.78   	 36.83   	 -81.38		 18.54   	 691.76		
-48.22   	-102.84   	 36.50   	 -76.30		 21.30   	 712.10		
-40.59   	-92.47   	 36.20   	 -76.30		 24.15   	 722.28		
-33.26   	-80.26   	 35.89   	 -61.04		 27.04   	 778.23		
-17.40   	-52.19   	 35.65   	 -50.86		 30.15   	 717.19		
 -7.32   	-36.62   	 35.44   	 -25.43		 33.02   	 640.89		
  4.27   	-19.84   	 35.34(D)	  10.17		 35.58   	 559.51		
 17.09   	 -1.53   	 35.38   	  61.04		 37.82   	 483.21		
 30.82   	 18.62   	 35.63   	 116.99		 39.76   	 406.92		
 44.56   	 39.98   	 36.09   	 198.37		 41.38   	 320.45		
 58.29   	 61.65   	 36.89   	 274.67		 42.67   	 244.15		
 72.33   	 82.09   	 37.99   	 356.05		 43.64   	 172.94		
 86.67   	101.01   	 39.41   	 432.35		 44.33   	 116.99		
100.71   	118.71   	 41.14   	 498.47		 44.80   	  71.21		
113.83   	134.89   	 43.13   	 544.25		 45.09   	  40.69		
125.73   	149.84   	 45.31   	 574.77		 45.25   	  20.35		
136.72   	163.27   	 47.61   	 590.03		 45.33   	  10.17		
148.32   	176.70   	 49.97   	 595.11		 45.37   	  10.17		
161.44   	190.73   	 52.35   	 595.11		 45.41   	  15.26		
176.39   	204.47   	 54.73   	 574.77		 45.47   	  30.52		
191.35   	216.37   	 57.03   	 559.51		 45.59   	  45.78		
202.94   	221.86   	 59.27   	 534.08		 45.78   	  55.95		
