SAMPLE NUMBER:   9
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-89.72   	-274.96   	 67.59   	 -35.61		 38.25   	 183.11		
-89.42   	-280.76   	 67.45   	 -40.69		 38.98   	 162.77		
-89.42   	-288.39   	 67.28   	 -40.69		 39.63   	 152.59		
-86.98   	-292.05   	 67.12   	 -40.69		 40.24   	 147.51		
-81.18   	-288.39   	 66.96   	 -40.69		 40.83   	 152.59		
-73.24   	-278.63   	 66.80   	 -40.69		 41.44   	 167.85		
-65.31   	-266.42   	 66.63   	 -40.69		 42.12   	 183.11		
-59.20   	-255.13   	 66.47   	 -45.78		 42.85   	 193.29		
-55.24   	-247.50   	 66.29   	 -45.78		 43.62   	 193.29		
-52.19   	-242.31   	 66.10   	 -55.95		 44.39   	 178.03		
-48.22   	-239.56   	 65.88   	 -45.78		 45.11   	 162.77		
-42.42   	-238.65   	 65.70   	 -40.69		 45.76   	 167.85		
-34.48   	-238.65   	 65.53   	 -35.61		 46.43   	 178.03		
-25.94   	-238.95   	 65.39   	 -35.61		 47.14   	 203.46		
-18.62   	-237.73   	 65.25   	 -35.61		 47.96   	 213.63		
-13.43   	-232.85   	 65.11   	 -30.52		 48.81   	 228.89		
-10.07   	-224.00   	 64.98   	 -30.52		 49.73   	 239.06		
 -7.63   	-212.40   	 64.86   	 -10.17		 50.68   	 244.15		
 -6.41   	-201.42   	 64.82(D)	  30.52		 51.66   	 249.24		
 -9.16   	-192.57   	 64.94   	  71.21		 52.65   	 244.15		
-14.34   	-193.79   	 65.23   	 137.33		 53.63   	 244.15		
-19.84   	-194.40   	 65.78   	 244.15		 54.61   	 259.41		
-23.50   	-192.26   	 66.75   	 376.40		 55.65   	 259.41		
-24.41   	-189.21   	 68.26   	 478.13		 56.68   	 264.50		
-23.50   	-187.68   	 70.17   	 503.56		 57.74   	 254.32		
-22.58   	-188.60   	 72.19   	 462.87		 58.76   	 233.98		
-23.80   	-190.73   	 74.04   	 381.48		 59.69   	 218.72		
-28.38   	-191.04   	 75.56   	 320.45		 60.57   	 208.54		
-35.40   	-187.38   	 76.85   	 315.36		 61.40   	 178.03		
-44.25   	-180.66   	 78.11   	 335.71		 62.12   	 137.33		
-54.02   	-172.42   	 79.45   	 371.31		 62.67   	 106.82		
-63.78   	-162.96   	 80.94   	 391.66		 63.09   	 101.73		
-72.33   	-151.67   	 82.50   	 406.92		 63.50   	 116.99		
-79.35   	-138.55   	 84.13   	 412.00		 63.97   	 152.59		
-85.14   	-126.04   	 85.78   	 412.00		 64.58   	 172.94		
-89.72   	-117.49   	 87.43   	 406.92		 65.27   	 172.94		
-94.60   	-115.97   	 89.05   	 406.92		 65.96   	 157.68		
-99.49   	-124.21   	 90.68   	 391.66		 66.59   	 147.51		
-104.37   	-141.91   	 92.25   	 381.48		 67.18   	 188.20		
-107.73   	-166.93   	 93.77   	 386.57		 67.93   	 218.72		
-108.95   	-194.70   	 95.32   	 371.31		 68.81   	 167.85		
-107.42   	-220.34   	 96.81   	 350.97		 69.48   	  55.95		
-103.45   	-239.26   	 98.21   	 325.53		 69.70   	 -45.78		
-97.66   	-249.02   	 99.51   	 325.53		 69.52   	 -91.56		
-83.62   	-240.17   	100.81   	 305.19		 69.16   	 -15.26		
-77.21   	-223.69   	102.03   	 284.84		 69.09   	  45.78		
-72.02   	-201.11   	103.17   	 269.58		 69.28   	  76.30		
-68.05   	-175.78   	104.25   	 259.41		 69.58   	  50.86		
-65.00   	-152.89   	105.29   	 244.15		 69.79(S)	   0.00		
-62.56   	-136.11   	106.27   	 223.80		 69.79   	 -45.78		
-60.42   	-128.17   	107.16   	 208.54		 69.60   	 -86.47		
-57.68   	-126.65   	108.00   	 167.85		 69.26   	-101.73		
-54.02   	-128.48   	108.67   	 127.16		 68.85   	-106.82		
-49.13   	-131.23   	109.18   	  76.30		 68.42   	-101.73		
-43.33   	-133.67   	109.48   	  50.86		 68.02   	-122.07		
-37.23   	-136.72   	109.68   	  45.78		 67.53   	-147.51		
-31.43   	-140.08   	109.87   	  50.86		 66.94   	-193.29		
-26.55   	-142.21   	110.07   	  50.86		 66.16   	-223.80		
-22.89   	-141.60   	110.27   	  45.78		 65.27   	-269.58		
-20.14   	-138.24   	110.46   	  15.26		 64.19   	-330.62		
-17.70   	-132.45   	110.52(S)	 -25.43		 62.87   	-401.83		
-14.65   	-126.04   	110.42   	 -61.04		 61.26   	-406.92		
-10.07   	-119.93   	110.17   	 -71.21		 59.63   	-350.97		
 -3.97   	-113.53   	109.89   	 -71.21		 58.23   	-310.27		
  2.75   	-105.90   	109.60   	-116.99		 56.99   	-305.19		
  8.85   	-97.05   	109.13   	-157.68		 55.77   	-315.36		
 13.43   	-88.20   	108.50   	-183.11		 54.51   	-356.05		
 16.48   	-80.57   	107.77   	-193.29		 53.08   	-427.26		
 18.62   	-74.46   	107.00   	-193.29		 51.37   	-503.56		
 20.14   	-69.27   	106.23   	-188.20		 49.36   	-574.77		
 21.06   	-63.78   	105.47   	-172.94		 47.06   	-615.46		
 21.97   	-55.85   	104.78   	-167.85		 44.60   	-640.89		
 24.11   	-45.17   	104.11   	-162.77		 42.03   	-640.89		
 28.99   	-30.52   	103.46   	-172.94		 39.47   	-625.63		
 35.71   	-13.73   	102.77   	-193.29		 36.97   	-584.94		
 43.03   	  2.14   	101.99   	-208.54		 34.63   	-544.25		
 47.61   	 11.90   	101.16   	-218.72		 32.45   	-528.99		
 48.52   	 11.90   	100.28   	-213.63		 30.34   	-523.90		
 46.39   	  1.53   	 99.43   	-208.54		 28.24   	-523.90		
 43.95   	-14.34   	 98.60   	-218.72		 26.14   	-518.82		
 44.86   	-28.08   	 97.72   	-228.89		 24.07   	-523.90		
 49.44   	-33.26   	 96.81   	-233.98		 21.97   	-528.99		
 56.76   	-27.47   	 95.87   	-223.80		 19.86   	-513.73		
 63.48   	-13.73   	 94.97   	-213.63		 17.80   	-462.87		
 67.14   	  2.44   	 94.12   	-208.54		 15.95   	-381.48		
 66.53   	 15.56   	 93.29   	-203.46		 14.43   	-295.01		
 62.56   	 23.19   	 92.47   	-203.46		 13.25   	-239.06		
