SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
-16.17   	-86.67   	 40.69   	 -55.95		129.83   	 228.89		
-27.47   	-117.80   	 40.47   	 -55.95		130.74   	 132.25		
-36.01   	-142.21   	 40.24   	 -61.04		131.27   	  45.78		
-42.42   	-160.22   	 40.00   	 -71.21		131.45(S)	  -5.09		
-47.00   	-172.42   	 39.72   	 -76.30		131.43   	 -30.52		
-51.27   	-181.27   	 39.41   	 -91.56		131.31   	 -81.38		
-54.63   	-187.68   	 39.04   	 -91.56		130.99   	-157.68		
-56.76   	-192.87   	 38.68   	 -96.64		130.36   	-223.80		
-57.37   	-195.92   	 38.29   	 -96.64		129.46   	-239.06		
-56.76   	-196.84   	 37.90   	-122.07		128.50   	-228.89		
-56.15   	-195.92   	 37.42   	-142.42		127.59   	-223.80		
-56.15   	-194.70   	 36.85   	-172.94		126.69   	-269.58		
-57.07   	-194.40   	 36.15   	-208.54		125.61   	-325.53		
-57.98   	-196.53   	 35.32   	-244.15		124.31   	-310.27		
-59.20   	-199.89   	 34.34   	-274.67		123.07   	-249.24		
-61.04   	-203.25   	 33.25   	-315.36		122.07   	-223.80		
-63.48   	-203.25   	 31.98   	-345.88		121.18   	-233.98		
-65.00   	-198.97   	 30.60   	-391.66		120.24   	-249.24		
-64.70   	-190.73   	 29.03   	-478.13		119.25   	-254.32		
-62.26   	-182.80   	 27.12   	-549.34		118.23   	-239.06		
-59.81   	-178.22   	 24.92   	-590.03		117.27   	-228.89		
-58.59   	-178.53   	 22.56   	-635.81		116.36   	-228.89		
-58.29   	-181.27   	 20.02   	-651.07		115.44   	-228.89		
-58.59   	-184.02   	 17.42   	-651.07		114.53   	-223.80		
-58.29   	-185.55   	 14.81   	-635.81		113.63   	-244.15		
-57.37   	-186.16   	 12.27   	-625.63		112.65   	-254.32		
-56.46   	-186.16   	  9.77   	-600.20		111.64   	-279.75		
-54.93   	-186.16   	  7.37   	-574.77		110.52   	-310.27		
-54.02   	-185.55   	  5.07   	-534.08		109.28   	-325.53		
-53.10   	-184.63   	  2.93   	-478.13		107.98   	-325.53		
-53.71   	-184.02   	  1.02   	-422.18		106.67   	-305.19		
-55.54   	-184.33   	 -0.67   	-376.40		105.45   	-310.27		
-56.76   	-184.94   	 -2.18   	-340.79		104.21   	-335.71		
-55.54   	-184.63   	 -3.54   	-295.01		102.87   	-350.97		
-51.88   	-183.11   	 -4.72   	-249.24		101.46   	-335.71		
-47.61   	-180.66   	 -5.72   	-188.20		100.12   	-284.84		
-44.86   	-178.83   	 -6.47   	-142.42		 98.98   	-233.98		
-44.86   	-178.53   	 -7.04   	-106.82		 98.05   	-188.20		
-45.78   	-178.83   	 -7.47   	 -66.12		 97.29   	-157.68		
-44.56   	-175.48   	 -7.73   	 -45.78		 96.66   	-132.25		
-38.15   	-165.71   	 -7.91   	 -15.26		 96.13   	-127.16		
-26.55   	-148.32   	 -7.98(D)	  25.43		 95.63   	-122.07		
-11.90   	-126.34   	 -7.87   	  66.12		 95.14   	-116.99		
  1.83   	-104.37   	 -7.61   	  91.56		 94.67   	 -86.47		
 11.29   	-86.36   	 -7.24   	 111.90		 94.32   	 -45.78		
 16.48   	-72.02   	 -6.80   	 127.16		 94.14   	 -66.12		
 20.45   	-56.15   	 -6.29   	 142.42		 93.88   	-122.07		
 28.38   	-32.96   	 -5.72   	 162.77		 93.39   	-152.59		
 42.42   	 -0.61   	 -5.07   	 183.11		 92.78   	-137.33		
 61.34   	 33.87   	 -4.33   	 178.03		 92.23   	 -86.47		
 79.04   	 56.46   	 -3.62   	 157.68		 91.88   	 -61.04		
 89.11   	 54.63   	 -2.99   	 142.42		 91.64   	 -81.38		
 86.67   	 23.80   	 -2.42   	 142.42		 91.31   	-111.90		
 70.19   	-29.30   	 -1.85   	 142.42		 90.86   	-116.99		
 42.42   	-88.81   	 -1.28   	 157.68		 90.40   	 -91.56		
  8.85   	-138.24   	 -0.65   	 142.42		 90.03   	 -50.86		
-23.80   	-168.76   	 -0.08   	 111.90		 89.83   	 -30.52		
-49.44   	-181.88   	  0.37   	  81.38		 89.70   	 -40.69		
-65.00   	-184.94   	  0.69   	  76.30		 89.54   	 -30.52		
-72.02   	-187.07   	  1.00   	  76.30		 89.42   	 -15.26		
-72.63   	-192.26   	  1.30   	  76.30		 89.36   	   0.00		
-70.19   	-198.36   	  1.61   	  66.12		 89.36   	   0.00		
-66.83   	-201.11   	  1.87   	  45.78		 89.36   	 -20.35		
-64.39   	-199.58   	  2.05   	  20.35		 89.28   	 -45.78		
-64.39   	-195.01   	  2.14   	   5.09		 89.09   	 -40.69		
-66.53   	-190.12   	  2.16   	 -10.17		 88.93   	 -30.52		
-69.58   	-187.07   	  2.12   	 -20.35		 88.81   	 -10.17		
-71.72   	-186.46   	  2.03   	  -5.09		 88.77   	 -20.35		
-70.50   	-188.60   	  2.01   	   0.00		 88.69   	 -55.95		
-62.26   	-194.70   	  2.01   	 -20.35		 88.46   	 -96.64		
-41.50   	-207.82   	  1.93   	 -20.35		 88.08   	 -86.47		
 -4.27   	-226.44   	  1.85   	 -15.26		 87.73   	 -40.69		
 47.61   	-237.12   	  1.79   	   0.00		 87.57   	 -25.43		
104.68   	-203.55   	  1.79(E)	  10.17		 87.47   	 -35.61		
154.42   	-62.26   	  1.83   	  15.26		 87.32   	 -61.04		
184.33   	263.67   	  1.89   	  25.43		 87.08   	 -66.12		
167.54   	808.72   	  1.99   	  25.43		 86.82   	 -40.69		
 70.50   	1469.42   	  2.10   	  55.95		 86.65   	 -55.95		
-400.70   	2048.34(R)	  2.32   	  40.69		 86.43   	 -61.04		
-661.32   	1535.64   	  2.48   	  50.86		 86.18   	 -66.12		
-788.88   	626.53   	  2.69   	  45.78		 85.92   	 -40.69		
-715.64   	-252.99   	  2.87   	  50.86		 85.76   	 -15.26		
-476.99   	-711.36   	  3.07   	  61.04		 85.70   	 -40.69		
-197.14   	-657.04   	  3.32   	  55.95		 85.53   	 -76.30		
 -7.02   	-320.13   	  3.54   	  66.12		 85.23   	 -91.56		
 40.89   	-32.65   	  3.80   	  86.47		 84.86   	 -76.30		
 -8.54   	 24.11   	  4.15   	 111.90		 84.56   	 -50.86		
-69.58   	-101.32   	  4.60   	 132.25		 84.35   	 -50.86		
-84.84   	-245.06   	  5.13   	 167.85		 84.15   	 -55.95		
-54.02   	-293.58   	  5.80   	 203.46		 83.93   	 -55.95		
-11.90   	-251.46   	  6.61   	 244.15		 83.70   	 -50.86		
 10.68   	-189.21   	  7.59   	 315.36		 83.50   	 -55.95		
  9.16   	-161.13   	  8.85   	 422.18		 83.28   	 -71.21		
 -2.44   	-169.98   	 10.54   	 534.08		 82.99   	 -81.38		
 -9.46   	-190.73   	 12.68   	 625.63		 82.66   	 -71.21		
 -7.02   	-200.81   	 15.18   	 666.32		 82.38   	 -40.69		
  1.22   	-194.09   	 17.84   	 681.58		 82.22   	 -35.61		
  9.46   	-177.31   	 20.57   	 681.58		 82.07   	 -71.21		
 14.34   	-160.83   	 23.30   	 722.28		 81.79   	-111.90		
 15.87   	-151.06   	 26.19   	 829.09		 81.34   	 -96.64		
 16.17   	-147.09   	 29.50   	 935.91		 80.96   	 -45.78		
 16.17   	-143.74   	 33.25   	 925.73		 80.77   	 -20.35		
 17.09   	-137.33   	 36.95   	 834.18		 80.69   	 -35.61		
 18.92   	-128.48   	 40.28   	 747.71		 80.55   	 -71.21		
 21.67   	-118.41   	 43.28   	 722.28		 80.26   	 -91.56		
 25.63   	-108.64   	 46.16   	 701.93		 79.90   	 -86.47		
 31.43   	-97.35   	 48.97   	 656.15		 79.55   	 -86.47		
 38.76   	-84.23   	 51.60   	 569.68		 79.21   	 -66.12		
 47.30   	-69.27   	 53.88   	 457.78		 78.94   	 -71.21		
 55.85   	-54.32   	 55.71   	 366.22		 78.66   	-101.73		
 63.48   	-39.37   	 57.17   	 289.93		 78.25   	-147.51		
 70.19   	-23.19   	 58.33   	 233.98		 77.66   	-152.59		
 76.60   	 -3.36   	 59.27   	 178.03		 77.05   	-116.99		
 83.62   	 20.75   	 59.98   	 116.99		 76.58   	 -66.12		
 92.47   	 47.91   	 60.45   	  55.95		 76.32   	 -71.21		
102.54   	 76.90   	 60.67(S)	   0.00		 76.03   	-106.82		
