SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-206.91   	240.48   	  6.37   	  30.52		 48.30   	 -20.35		
-247.50   	469.97   	  6.49   	  40.69		 48.22   	 -25.43		
 54.02   	764.47   	  6.65   	  35.61		 48.12   	 -25.43		
446.17   	500.49   	  6.80   	  35.61		 48.02   	 -35.61		
857.54   	-124.82   	  6.94   	  30.52		 47.87   	 -35.61		
1099.85   	-951.23   	  7.06   	  30.52		 47.73   	 -40.69		
1055.60   	-1673.89   	  7.18   	  30.52		 47.57   	 -35.61		
759.28   	-2026.06(R)	  7.30(E)	  20.35		 47.43   	 -40.69		
366.21   	-1936.34   	  7.39   	  20.35		 47.26   	 -40.69		
 35.40   	-1536.25   	  7.47   	  15.26		 47.10   	 -35.61		
-173.95   	-1051.03   	  7.53   	  15.26		 46.96   	 -40.69		
-298.46   	-669.25   	  7.59   	  10.17		 46.80   	 -40.69		
-399.17   	-477.91   	  7.63   	   0.00		 46.63   	 -40.69		
-495.91   	-466.00   	  7.63   	  10.17		 46.47   	 -30.52		
-560.30   	-552.37   	  7.67   	  15.26		 46.35   	 -30.52		
-555.11   	-626.22   	  7.73   	  25.43		 46.23   	 -30.52		
-473.02   	-596.31   	  7.83   	  25.43		 46.10   	 -35.61		
-342.41   	-435.18   	  7.93   	  30.52		 45.96   	 -50.86		
-206.91   	-198.67   	  8.06   	  30.52		 45.76   	 -55.95		
