SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 74.71   	  35.61		 50.36   	  15.26		
 74.85(S)	  -5.09		 50.42   	  10.17		
 74.83   	 -30.52		 50.46(S)	   0.00		
 74.71   	 -61.04		 50.46   	   0.00		
 74.47   	 -71.21		 50.46   	 -10.17		
 74.18   	 -71.21		 50.42   	 -20.35		
 73.90   	 -81.38		 50.34   	 -15.26		
 73.57   	 -71.21		 50.27   	 -30.52		
 73.29   	 -76.30		 50.15   	 -40.69		
 72.98   	 -71.21		 49.99   	 -55.95		
 72.70   	 -71.21		 49.77   	 -71.21		
 72.41   	 -81.38		 49.48   	 -86.47		
 72.09   	 -81.38		 49.14   	-111.90		
 71.76   	 -91.56		 48.69   	-142.42		
 71.39   	-101.73		 48.12   	-172.94		
 70.99   	-106.82		 47.43   	-203.46		
 70.56   	-106.82		 46.61   	-259.41		
 70.13   	-116.99		 45.57   	-305.19		
 69.66   	-116.99		 44.35   	-335.71		
 69.20   	-111.90		 43.01   	-381.48		
 68.75   	-116.99		 41.49   	-422.18		
 68.28   	-122.07		 39.80   	-473.04		
 67.79   	-122.07		 37.90   	-493.39		
 67.30   	-137.33		 35.93   	-513.73		
 66.75   	-147.51		 33.88   	-534.08		
 66.16   	-157.68		 31.74   	-544.25		
 65.53   	-178.03		 29.56   	-549.34		
 64.82   	-193.29		 27.37   	-539.16		
 64.05   	-203.46		 25.21   	-528.99		
 63.23   	-208.54		 23.09   	-508.65		
 62.40   	-213.63		 21.06   	-493.39		
 61.55   	-213.63		 19.08   	-467.95		
 60.69   	-193.29		 17.21   	-432.35		
 59.92   	-178.03		 15.48   	-401.83		
 59.21   	-152.59		 13.88   	-366.22		
 58.60   	-132.25		 12.41   	-330.62		
 58.07   	-111.90		 11.09   	-295.01		
 57.62   	 -96.64		  9.91   	-264.50		
 57.23   	 -91.56		  8.85   	-239.06		
 56.87   	 -96.64		  7.89   	-198.37		
 56.48   	 -96.64		  7.10   	-167.85		
 56.09   	-106.82		  6.43   	-137.33		
 55.67   	-116.99		  5.88   	-116.99		
 55.20   	-116.99		  5.41   	-101.73		
 54.73   	-116.99		  5.01   	 -76.30		
 54.26   	-111.90		  4.70   	 -66.12		
 53.81   	-106.82		  4.44   	 -50.86		
 53.39   	 -91.56		  4.23   	 -45.78		
 53.02   	 -76.30		  4.05   	 -35.61		
 52.72   	 -66.12		  3.91   	 -30.52		
 52.45   	 -50.86		  3.78   	 -30.52		
 52.25   	 -40.69		  3.66   	 -30.52		
 52.09   	 -35.61		  3.54   	 -20.35		
 51.94   	 -30.52		  3.46   	 -25.43		
 51.82   	 -35.61		  3.36   	 -20.35		
 51.68   	 -35.61		  3.28   	 -15.26		
 51.54   	 -40.69		  3.21   	 -10.17		
 51.37   	 -40.69		  3.17   	  -5.09		
 51.21   	 -50.86		  3.15   	  -5.09		
 51.01   	 -50.86		  3.13(D)	   0.00		
 50.80   	 -50.86		  3.13   	  15.26		
 50.60   	 -40.69		  3.19   	  15.26		
 50.44   	 -40.69		  3.26   	  20.35		
 50.27   	 -35.61		  3.34   	  15.26		
 50.13   	 -30.52		  3.40   	  20.35		
 50.01   	 -25.43		  3.48   	  30.52		
 49.91   	 -30.52		  3.60   	  30.52		
 49.79   	 -25.43		  3.72   	  25.43		
 49.68   	 -30.52		  3.83   	  25.43		
 49.56   	 -30.52		  3.93   	  30.52		
 49.44   	 -35.61		  4.05   	  25.43		
 49.30   	 -40.69		  4.15   	  25.43		
 49.14   	 -35.61		  4.25   	  20.35		
 48.99   	 -40.69		  4.33   	  10.17		
 48.83   	 -45.78		  4.37   	  20.35		
 48.65   	 -40.69		  4.46   	  15.26		
 48.48   	 -40.69		  4.52   	  10.17		
 48.32   	 -40.69		  4.56   	   0.00		
 48.16   	 -40.69		  4.56   	   5.09		
 48.00   	 -35.61		  4.58   	   5.09		
 47.85   	 -40.69		  4.60   	   5.09		
 47.69   	 -35.61		  4.62   	   0.00		
 47.55   	 -35.61		  4.62   	   0.00		
 47.41   	 -35.61		  4.62   	   0.00		
 47.26   	 -40.69		  4.62   	  10.17		
 47.10   	 -40.69		  4.66   	   5.09		
 46.94   	 -40.69		  4.68   	   0.00		
 46.77   	 -45.78		  4.68   	   0.00		
 46.59   	 -40.69		  4.68   	   5.09		
 46.43   	 -35.61		  4.70   	  10.17		
 46.29   	 -35.61		  4.74   	  10.17		
 46.14   	 -35.61		  4.78   	  15.26		
 46.00   	 -35.61		  4.84   	  15.26		
 45.86   	 -30.52		  4.90   	  15.26		
 45.74   	 -35.61		  4.96   	  15.26		
 45.59   	 -35.61		  5.03   	  20.35		
 45.45   	 -30.52		  5.11   	  25.43		
 45.33   	 -35.61		  5.21   	  25.43		
 45.19   	 -35.61		  5.31   	  25.43		
 45.05   	 -40.69		  5.41   	  20.35		
 44.88   	 -35.61		  5.49   	  30.52		
 44.74   	 -35.61		  5.62   	  30.52		
 44.60   	 -35.61		  5.74   	  30.52		
 44.46   	 -35.61		  5.86   	  20.35		
 44.31   	 -30.52		  5.94   	  30.52		
 44.19   	 -30.52		  6.06   	  30.52		
 44.07   	 -30.52		  6.19(E)	  20.35		
 43.95   	 -35.61		  6.27   	  20.35		
 43.80   	 -30.52		  6.35   	  20.35		
 43.68   	 -35.61		  6.43   	  15.26		
 43.54   	 -30.52		  6.49   	   5.09		
 43.42   	 -35.61		  6.51   	   5.09		
 43.28   	 -35.61		  6.53   	  10.17		
 43.13   	 -35.61		  6.57   	   5.09		
 42.99   	 -30.52		  6.59   	   0.00		
 42.87   	 -30.52		  6.59   	   0.00		
 42.75   	 -30.52		  6.59   	   5.09		
 42.62   	 -30.52		  6.61   	  10.17		
 42.50   	 -25.43		  6.65   	   5.09		
 42.40   	 -25.43		  6.67   	  10.17		
 42.30   	 -25.43		  6.71   	  25.43		
 42.20   	 -25.43		  6.82   	  35.61		
 42.10   	 -30.52		  6.96   	  50.86		
 41.97   	 -30.52		  7.16   	  71.21		
 41.85   	 -30.52		  7.45   	  86.47		
 41.73   	 -30.52		  7.79   	 111.90		
 41.61   	 -25.43		  8.24   	 132.25		
 41.51   	 -30.52		  8.77   	 152.59		
 41.38   	 -30.52		  9.38   	 183.11		
 41.26   	 -25.43		 10.11   	 198.37		
 41.16   	 -35.61		 10.91   	 274.67		
 41.02   	 -30.52		 12.00   	 295.01		
 40.90   	 -30.52		 13.18   	 310.27		
 40.77   	 -25.43		 14.43   	 320.45		
 40.67   	 -30.52		 15.71   	 335.71		
 40.55   	 -25.43		 17.05   	 345.88		
 40.45   	 -25.43		 18.43   	 345.88		
