SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		  SVC     	  SVC'		
-64.39   	-99.18   	  8.79   	-412.00		 57.38   	-127.16		  3.09   	   5.09		
-68.66   	-105.29   	  7.14   	-406.92		 56.87   	 -91.56		  3.11   	   5.09		
-73.24   	-107.73   	  5.51   	-381.48		 56.50   	 -71.21		  3.13   	  15.26		
-71.41   	-107.12   	  3.99   	-340.79		 56.22   	 -55.95		  3.19   	  10.17		
-69.27   	-108.64   	  2.62   	-305.19		 55.99   	 -40.69		  3.23   	  15.26		
-67.75   	-112.61   	  1.40   	-269.58		 55.83   	 -40.69		  3.30   	  15.26		
-64.39   	-120.54   	  0.33   	-233.98		 55.67   	 -45.78		  3.36   	  20.35		
-52.80   	-138.55   	 -0.61   	-188.20		 55.48   	 -45.78		  3.44   	  15.26		
-25.33   	-168.46   	 -1.36   	-152.59		 55.30   	 -50.86		  3.50   	  20.35		
 24.72   	-197.75   	 -1.97   	-111.90		 55.10   	 -55.95		  3.58   	  20.35		
101.62   	-196.53   	 -2.42   	 -76.30		 54.87   	 -61.04		  3.66   	  15.26		
192.26   	-138.85   	 -2.73   	 -50.86		 54.63   	 -61.04		  3.72   	  20.35		
240.48   	-39.98   	 -2.93   	 -15.26		 54.38   	 -71.21		  3.80   	  15.26		
151.98   	 28.08   	 -2.99(D)	  10.17		 54.10   	 -71.21		  3.87   	  15.26		
-143.13   	-15.26   	 -2.95(E)	  30.52		 53.81   	 -81.38		  3.93   	  20.35		
-610.05   	-184.02   	 -2.83   	  50.86		 53.49   	 -86.47		  4.01   	  15.26		
-1077.88   	-399.78   	 -2.62   	  76.30		 53.14   	 -96.64		  4.07   	  10.17		
-1316.22   	-537.11(R)	 -2.32   	  91.56		 52.76   	-106.82		  4.11   	  15.26		
-1183.47   	-511.47   	 -1.95   	 101.73		 52.33   	-101.73		  4.17   	  10.17		
-743.71   	-349.43   	 -1.55   	 111.90		 51.92   	-111.90		  4.21   	   5.09		
-230.10   	-155.03   	 -1.10   	 122.07		 51.47   	-101.73		  4.23   	   5.09		
121.46   	-21.67   	 -0.61   	 116.99		 51.07   	-106.82		  4.25   	   0.00		
218.20   	 25.02   	 -0.14   	 122.07		 50.64   	-101.73		  4.25   	  -5.09		
133.67   	 15.56   	  0.35   	 122.07		 50.23   	-101.73		  4.23   	  -5.09		
 15.56   	 -3.97   	  0.83   	 116.99		 49.83   	 -96.64		  4.21   	 -10.17		
-33.26   	 -9.16   	  1.30   	 111.90		 49.44   	-101.73		  4.17   	 -10.17		
 -6.10   	 -0.31   	  1.75   	 127.16		 49.03   	-111.90		  4.13   	 -25.43		
 75.99   	 20.45   	  2.26   	 116.99		 48.59   	-111.90		  4.03   	 -20.35		
 73.85   	 25.94   	  2.73   	 116.99		 48.14   	-106.82		  3.95   	 -25.43		
 56.46   	 28.69   	  3.19   	 111.90		 47.71   	-101.73		  3.85   	 -25.43		
 44.25   	 30.52   	  3.64   	 101.73		 47.30   	 -91.56		  3.74   	 -25.43		
 44.25   	 30.52   	  4.05   	 116.99		 46.94   	 -86.47		  3.64   	 -25.43		
