SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
 81.48   	1192.32   	 61.87   	 -35.61		  5.09   	  -5.09		
 -6.71   	1358.34(R)	 61.73   	 -61.04		  5.07   	  -5.09		
-274.35   	836.49   	 61.49   	   0.00		  5.05   	   0.00		
-274.35   	836.49   	 61.49   	 -71.21		  5.05   	 -15.26		
-411.68   	-341.49   	 61.20   	   0.00		  4.98   	   0.00		
-411.68   	-341.49   	 61.20   	 -71.21		  4.98   	 -30.52		
-313.11   	-784.00   	 60.92   	   0.00		  4.86   	   0.00		
-313.11   	-784.00   	 60.92   	 -71.21		  4.86   	 -50.86		
-138.55   	-388.49   	 60.63   	   0.00		  4.66   	   0.00		
-138.55   	-388.49   	 60.63   	 -71.21		  4.66   	 -76.30		
-27.47   	-69.89   	 60.35   	   0.00		  4.35   	   0.00		
-27.47   	-69.89   	 60.35   	 -45.78		  4.35   	 -50.86		
  3.36   	-47.30   	 60.16   	 -15.26		  4.15   	  45.78		
  6.71   	-61.04   	 60.10   	 -10.17		  4.33   	  86.47		
 10.68   	-63.48   	 60.06   	 -15.26		  4.68   	 116.99		
 17.09   	-54.02   	 60.00   	 -15.26		  5.15   	 157.68		
 25.02   	-39.98   	 59.94   	 -20.35		  5.78   	 193.29		
 31.13   	-28.69   	 59.86   	 -15.26		  6.55   	 188.20		
 34.79   	-23.80   	 59.80   	 -20.35		  7.30   	 208.54		
 35.40   	-22.58   	 59.71   	 -30.52		  8.14   	 249.24		
 34.18   	-21.36   	 59.59   	 -45.78		  9.14   	 254.32		
 32.35   	-17.09   	 59.41   	 -50.86		 10.15   	 264.50		
 32.04   	-10.68   	 59.21   	 -55.95		 11.21   	 325.53		
 33.26   	 -3.66   	 58.98   	 -66.12		 12.51   	 391.66		
 35.40   	  2.44   	 58.72   	 -76.30		 14.08   	 417.09		
 37.23   	  8.24   	 58.41   	 -76.30		 15.75   	 406.92		
 39.06   	 14.34   	 58.11   	 -71.21		 17.38   	 422.18		
 41.50   	 22.28   	 57.82   	 -71.21		 19.06   	 437.43		
 45.17   	 31.43   	 57.54   	 -76.30		 20.81   	 417.09		
