SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 44.50   	 -35.61		  8.38   	 -35.61		
 44.35   	 -30.52		  8.24   	 -25.43		
 44.23   	 -30.52		  8.14   	 -25.43		
 44.11   	 -35.61		  8.04   	 -25.43		
 43.97   	 -40.69		  7.93   	 -35.61		
 43.80   	 -40.69		  7.79   	 -45.78		
 43.64   	 -40.69		  7.61   	 -55.95		
 43.48   	 -40.69		  7.39   	 -66.12		
 43.32   	 -45.78		  7.12   	 -81.38		
 43.13   	 -45.78		  6.80   	 -91.56		
 42.95   	 -35.61		  6.43   	 -81.38		
 42.81   	 -30.52		  6.10   	 -76.30		
 42.69   	 -30.52		  5.80   	 -66.12		
 42.56   	 -40.69		  5.53   	 -45.78		
 42.40   	 -35.61		  5.35   	 -25.43		
 42.26   	 -40.69		  5.25(D)	  10.17		
 42.10   	 -40.69		  5.29   	  30.52		
 41.93   	 -35.61		  5.41   	  61.04		
 41.79   	 -25.43		  5.66   	  91.56		
 41.69   	 -20.35		  6.02   	 116.99		
 41.61   	 -15.26		  6.49   	 122.07		
 41.55   	 -15.26		  6.98   	 132.25		
 41.49   	 -20.35		  7.51   	 127.16		
 41.40   	 -30.52		  8.02   	  96.64		
 41.28   	 -35.61		  8.40   	  71.21		
 41.14   	 -45.78		  8.69   	  50.86		
 40.96   	 -45.78		  8.89   	  20.35		
 40.77   	 -50.86		  8.97   	  -5.09		
 40.57   	 -40.69		  8.95   	 -30.52		
 40.41   	 -30.52		  8.83   	 -30.52		
 40.28   	 -15.26		  8.71   	 -35.61		
 40.22   	 -10.17		  8.57   	 -30.52		
 40.18   	 -15.26		  8.44   	 -20.35		
 40.12   	 -10.17		  8.36   	   0.00		
 40.08   	 -20.35		  8.36   	  20.35		
 40.00   	 -35.61		  8.44   	  40.69		
 39.86   	 -40.69		  8.61   	  55.95		
 39.69   	 -30.52		  8.83   	  91.56		
 39.57   	 -30.52		  9.20   	 203.46		
 39.45   	 -30.52		 10.01   	 284.84		
 39.33   	 -35.61		 11.15   	 320.45		
 39.19   	 -25.43		 12.43   	 361.14		
 39.08   	 -25.43		 13.88   	 417.09		
 38.98   	 -20.35		 15.54   	 452.69		
 38.90   	 -15.26		 17.35   	 498.47		
 38.84   	 -10.17		 19.35   	 564.60		
 38.80   	  -5.09		 21.61   	 610.37		
 38.78(D)	   0.00		 24.05   	 610.37		
 38.78   	   0.00		 26.49   	 605.29		
 38.78   	  20.35		 28.91   	 615.46		
 38.86   	  50.86		 31.37   	 620.55		
 39.06   	  91.56		 33.86   	 635.81		
 39.43   	 147.51		 36.40   	 651.07		
 40.02   	 228.89		 39.00   	 635.81		
 40.94   	 300.10		 41.55   	 610.37		
 42.14   	 350.97		 43.99   	 584.94		
 43.54   	 386.57		 46.33   	 569.68		
 45.09   	 412.00		 48.61   	 534.08		
 46.73   	 412.00		 50.74   	 498.47		
 48.38   	 401.83		 52.74   	 478.13		
 49.99   	 371.31		 54.65   	 452.69		
 51.47   	 335.71		 56.46   	 417.09		
 52.82   	 284.84		 58.13   	 386.57		
 53.96   	 244.15		 59.67   	 366.22		
 54.93   	 203.46		 61.14   	 335.71		
 55.75   	 162.77		 62.48   	 315.36		
 56.40   	 122.07		 63.74   	 295.01		
 56.89   	 101.73		 64.92   	 279.75		
 57.29   	  76.30		 66.04   	 269.58		
 57.60   	  55.95		 67.12   	 259.41		
 57.82   	  30.52		 68.16   	 249.24		
 57.94   	  20.35		 69.16   	 244.15		
 58.03   	  10.17		 70.13   	 249.24		
 58.07   	   5.09		 71.13   	 254.32		
 58.09   	  -5.09		 72.15   	 249.24		
 58.07   	 -10.17		 73.14   	 249.24		
 58.03   	   0.00		 74.14   	 259.41		
 58.03   	  15.26		 75.18   	 259.41		
 58.09   	  20.35		 76.22   	 269.58		
 58.17   	  30.52		 77.29   	 269.58		
 58.29   	  50.86		 78.37   	 279.75		
 58.49   	  55.95		 79.49   	 274.67		
 58.72   	  45.78		 80.59   	 279.75		
 58.90   	  45.78		 81.71   	 279.75		
 59.08   	  61.04		 82.83   	 274.67		
 59.33   	  61.04		 83.93   	 269.58		
 59.57   	  45.78		 85.00   	 264.50		
 59.76   	  50.86		 86.06   	 249.24		
 59.96   	  35.61		 87.06   	 239.06		
 60.10   	  15.26		 88.02   	 223.80		
 60.16   	  15.26		 88.91   	 203.46		
 60.22(S)	   0.00		 89.72   	 193.29		
 60.22   	 -10.17		 90.50   	 172.94		
 60.18   	 -20.35		 91.19   	 157.68		
 60.10   	 -20.35		 91.82   	 147.51		
 60.02   	 -25.43		 92.41   	 127.16		
 59.92   	 -35.61		 92.92   	 116.99		
 59.78   	 -30.52		 93.39   	  96.64		
 59.65   	 -20.35		 93.77   	  81.38		
 59.57   	 -30.52		 94.10   	  66.12		
 59.45   	 -35.61		 94.36   	  50.86		
 59.31   	 -50.86		 94.57   	  25.43		
 59.10   	 -55.95		 94.67   	   5.09		
 58.88   	 -71.21		 94.69(S)	 -20.35		
 58.60   	 -81.38		 94.61   	 -50.86		
 58.27   	 -96.64		 94.40   	 -81.38		
 57.88   	-101.73		 94.08   	-122.07		
 57.48   	-122.07		 93.59   	-162.77		
 56.99   	-142.42		 92.94   	-203.46		
 56.42   	-172.94		 92.13   	-259.41		
 55.73   	-198.37		 91.09   	-320.45		
 54.93   	-218.72		 89.81   	-406.92		
 54.06   	-249.24		 88.18   	-478.13		
 53.06   	-254.32		 86.27   	-549.34		
 52.04   	-228.89		 84.07   	-605.29		
 51.13   	-178.03		 81.65   	-666.32		
 50.42   	-116.99		 78.98   	-707.02		
 49.95   	 -50.86		 76.15   	-737.54		
 49.75   	  -5.09		 73.20   	-747.71		
 49.73   	  30.52		 70.21   	-757.88		
 49.85   	  45.78		 67.18   	-757.88		
 50.03   	  40.69		 64.15   	-737.54		
 50.19   	  30.52		 61.20   	-722.28		
 50.32   	  10.17		 58.31   	-696.84		
 50.36   	 -20.35		 55.52   	-676.50		
 50.27   	 -35.61		 52.82   	-656.15		
 50.13   	 -55.95		 50.19   	-635.81		
 49.91   	 -61.04		 47.65   	-615.46		
 49.66   	 -76.30		 45.19   	-600.20		
 49.36   	 -71.21		 42.79   	-584.94		
 49.07   	 -66.12		 40.45   	-574.77		
 48.81   	 -66.12		 38.15   	-554.42		
 48.55   	 -61.04		 35.93   	-539.16		
 48.30   	 -50.86		 33.77   	-523.90		
 48.10   	 -50.86		 31.68   	-513.73		
 47.89   	 -50.86		 29.62   	-503.56		
 47.69   	 -50.86		 27.61   	-493.39		
 47.49   	 -55.95		 25.64   	-483.21		
 47.26   	 -50.86		 23.70   	-478.13		
 47.06   	 -50.86		 21.79   	-467.95		
 46.86   	 -50.86		 19.92   	-447.61		
 46.65   	 -50.86		 18.13   	-422.18		
 46.45   	 -55.95		 16.44   	-386.57		
 46.23   	 -45.78		 14.89   	-345.88		
 46.04   	 -50.86		 13.51   	-300.10		
 45.84   	 -50.86		 12.31   	-254.32		
 45.64   	 -45.78		 11.29   	-213.63		
 45.45   	 -50.86		 10.44   	-167.85		
 45.25   	 -45.78		  9.77   	-127.16		
 45.07   	 -45.78		  9.26   	 -96.64		
 44.88   	 -40.69		  8.87   	 -66.12		
 44.72   	 -35.61		  8.61   	 -45.78		
 44.58   	 -35.61		  8.42   	 -35.61		
 44.44   	 -35.61		  8.28   	 -25.43		
 44.29   	 -40.69		  8.18   	 -30.52		
 44.13   	 -35.61		  8.06   	 -30.52		
 43.99   	 -45.78		  7.93   	 -40.69		
 43.80   	 -40.69		  7.77   	 -45.78		
 43.64   	 -30.52		  7.59   	 -55.95		
 43.52   	 -30.52		  7.37   	 -66.12		
 43.40   	 -35.61		  7.10   	 -71.21		
 43.26   	 -35.61		  6.82   	 -71.21		
 43.11   	 -35.61		  6.53   	 -71.21		
 42.97   	 -35.61		  6.25   	 -55.95		
 42.83   	 -35.61		  6.02   	 -40.69		
