SAMPLE NUMBER:   4
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
-53.10   	-45.17   	 44.05   	-849.44		102.77   	-152.59		
-52.80   	-47.00   	 40.65   	-824.00		102.16   	-157.68		
-54.32   	-51.57   	 37.35   	-798.57		101.53   	-162.77		
-55.85   	-56.76   	 34.16   	-762.97		100.87   	-162.77		
-56.46   	-59.81   	 31.11   	-722.28		100.22   	-172.94		
-56.15   	-60.12   	 28.22   	-671.41		 99.53   	-178.03		
-56.15   	-58.59   	 25.53   	-620.55		 98.82   	-183.11		
-57.37   	-58.29   	 23.05   	-569.68		 98.09   	-193.29		
-59.51   	-58.59   	 20.77   	-518.82		 97.31   	-198.37		
-60.73   	-57.98   	 18.70   	-467.95		 96.52   	-203.46		
-60.42   	-54.93   	 16.83   	-427.26		 95.71   	-213.63		
-59.20   	-50.05   	 15.12   	-376.40		 94.85   	-213.63		
-58.29   	-46.08   	 13.61   	-335.71		 94.00   	-218.72		
-58.59   	-44.56   	 12.27   	-295.01		 93.12   	-218.72		
-59.81   	-45.17   	 11.09   	-259.41		 92.25   	-213.63		
-60.73   	-47.30   	 10.05   	-228.89		 91.39   	-213.63		
-60.73   	-48.83   	  9.14   	-198.37		 90.54   	-213.63		
-60.12   	-50.66   	  8.34   	-178.03		 89.68   	-198.37		
-58.90   	-51.57   	  7.63   	-167.85		 88.89   	-193.29		
-57.07   	-49.44   	  6.96   	-152.59		 88.12   	-183.11		
-53.10   	-41.81   	  6.35   	-142.42		 87.39   	-178.03		
-45.47   	-27.77   	  5.78   	-127.16		 86.67   	-167.85		
-34.48   	 -7.63   	  5.27   	-106.82		 86.00   	-162.77		
-21.67   	 15.87   	  4.84   	 -81.38		 85.35   	-152.59		
 -9.16   	 41.20   	  4.52   	 -55.95		 84.74   	-147.51		
 -0.31   	 65.92   	  4.29   	 -35.61		 84.15   	-147.51		
  3.97   	 88.20   	  4.15   	 -20.35		 83.56   	-137.33		
  4.27   	105.90   	  4.07   	 -10.17		 83.01   	-142.42		
  5.19   	117.80   	  4.03   	 -15.26		 82.44   	-132.25		
 11.60   	127.56   	  3.97   	 -15.26		 81.91   	-137.33		
 24.72   	139.47   	  3.91   	 -25.43		 81.36   	-127.16		
