SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LPA     	  LPA'		  AO     	  AO'		  RV     	  RV'		
 14.95   	-108.64   	105.98   	-116.99		 77.35   	 -91.56		 70.70   	  25.43		
 16.17   	-111.69   	105.51   	-142.42		 76.99   	-101.73		 70.80   	  30.52		
 17.09   	-113.53   	104.94   	-167.85		 76.58   	-116.99		 70.93   	 -10.17		
 17.70   	-114.14   	104.27   	-213.63		 76.11   	-132.25		 70.88   	 -71.21		
 17.70   	-113.22   	103.42   	-239.06		 75.58   	-147.51		 70.60   	-132.25		
 17.70   	-111.39   	102.46   	-233.98		 74.99   	-167.85		 70.07   	-162.77		
 17.09   	-109.56   	101.53   	-198.37		 74.32   	-167.85		 69.42   	-213.63		
 15.87   	-108.34   	100.73   	-162.77		 73.65   	-157.68		 68.57   	-330.62		
 13.73   	-108.03   	100.08   	-142.42		 73.02   	-137.33		 67.24   	-478.13		
 11.60   	-108.34   	 99.51   	-183.11		 72.47   	-122.07		 65.33   	-595.11		
 10.38   	-109.25   	 98.78   	-752.79		 71.98   	-228.89		 62.95   	-1520.85		
 13.12   	-112.00   	 95.77   	-1078.33		 71.07   	-122.07		 56.87   	-951.17		
 16.17   	-113.83   	 91.45   	-2070.19		 70.58   	-127.16		 53.06   	-1108.85		
 19.23   	-115.66   	 83.17   	-2421.15		 70.07   	-127.16		 48.63   	-1297.04		
 21.97   	-117.19   	 73.49   	-1500.50		 69.56   	-116.99		 43.44   	-1347.91		
 23.19   	-117.80   	 67.49   	 101.73		 69.09   	-111.90		 38.05   	-1251.27		
 22.89   	-118.41   	 67.89   	1469.98		 68.65   	-122.07		 33.04   	-1073.24		
 21.36   	-118.71   	 73.77   	1953.20		 68.16   	-116.99		 28.75   	-935.91		
 19.84   	-119.32   	 81.59   	1363.17		 67.69   	-116.99		 25.00   	-879.96		
 18.62   	-119.93   	 87.04   	 259.41		 67.22   	-122.07		 21.49   	-854.52		
 18.62   	-120.54   	 88.08   	-615.46		 66.73   	-147.51		 18.07   	-757.88		
 19.53   	-122.07   	 85.62   	-732.45		 66.14   	-167.85		 15.04   	-584.94		
 20.75   	-124.21   	 82.69   	-147.51		 65.47   	-183.11		 12.70   	-391.66		
 21.67   	-126.34   	 82.10   	 615.46		 64.74   	-183.11		 11.13   	-254.32		
 23.19   	-127.26   	 84.56   	1017.29		 64.01   	-167.85		 10.11   	-183.11		
 25.02   	-126.04   	 88.63   	 808.75		 63.34   	-147.51		  9.38   	-142.42		
 27.47   	-123.60   	 91.86   	 172.94		 62.75   	-132.25		  8.81   	-106.82		
 29.60   	-120.85   	 92.55   	-427.26		 62.22   	-101.73		  8.38   	 -66.12		
 30.52   	-119.63   	 90.84   	-656.15		 61.81   	-101.73		  8.12   	  -5.09		
 29.91   	-119.63   	 88.22   	-457.78		 61.40   	 -91.56		  8.10   	   5.09		
 28.99   	-119.93   	 86.39   	   0.00		 61.04   	 -76.30		  8.12   	 -30.52		
 27.77   	-119.93   	 86.39   	 289.93		 60.73   	 -61.04		  8.00   	 -96.64		
 27.16   	-119.93   	 87.55   	 188.20		 60.49   	 -45.78		  7.61   	-152.59		
