SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  DAO     	  DAO'		  RV     	  RV'		
 60.12   	111.39   	 62.62   	-203.46		 69.89   	 289.93		
 59.81   	122.99   	 61.81   	-218.72		 71.05   	 305.19		
 60.12   	135.80   	 60.94   	-218.72		 72.27   	 320.45		
 61.65   	150.76   	 60.06   	-198.37		 73.55   	 330.62		
 63.78   	167.24   	 59.27   	-178.03		 74.87   	 340.79		
 64.70   	184.63   	 58.56   	-137.33		 76.24   	 335.71		
 63.78   	202.33   	 58.01   	 -96.64		 77.58   	 330.62		
 61.95   	220.03   	 57.62   	 -50.86		 78.90   	 320.45		
 59.81   	237.73   	 57.42   	  -5.09		 80.18   	 300.10		
 57.37   	256.35   	 57.40   	  45.78		 81.38   	 289.93		
 55.54   	275.27   	 57.58   	  96.64		 82.54   	 264.50		
 54.02   	294.80   	 57.97   	 142.42		 83.60   	 244.15		
 53.10   	313.72   	 58.53   	 178.03		 84.58   	 223.80		
 52.80   	331.73   	 59.25   	 213.63		 85.47   	 198.37		
 52.19   	349.12   	 60.10   	 239.06		 86.27   	 183.11		
 50.66   	366.21   	 61.06   	 254.32		 87.00   	 162.77		
 47.91   	383.00   	 62.08   	 284.84		 87.65   	 157.68		
 40.28   	411.07   	 63.21   	 274.67		 88.28   	 137.33		
 35.40   	420.23   	 64.31   	 254.32		 88.83   	 132.25		
 29.91   	425.72   	 65.33   	 223.80		 89.36   	 122.07		
 24.41   	426.33   	 66.23   	 193.29		 89.85   	 116.99		
 19.53   	422.36   	 67.00   	 157.68		 90.32   	 111.90		
 14.95   	412.60   	 67.63   	 122.07		 90.76   	 111.90		
 10.68   	396.12   	 68.12   	  81.38		 91.21   	 106.82		
  6.41   	372.62   	 68.44   	  40.69		 91.64   	 111.90		
  2.75   	343.02   	 68.61   	  10.17		 92.09   	 106.82		
  0.92   	308.84   	 68.65   	 -20.35		 92.51   	 111.90		
  0.92   	272.22   	 68.57   	 -50.86		 92.96   	 106.82		
  2.44   	234.68   	 68.36   	 -71.21		 93.39   	 101.73		
  4.27   	197.75   	 68.08   	 -91.56		 93.79   	 101.73		
  6.10   	161.44   	 67.71   	-106.82		 94.20   	  96.64		
  7.93   	126.95   	 67.28   	-116.99		 94.59   	  91.56		
  8.85   	 94.60   	 66.82   	-116.99		 94.95   	  86.47		
  9.77   	 64.39   	 66.35   	-122.07		 95.30   	  71.21		
 10.68   	 36.93   	 65.86   	-111.90		 95.58   	  61.04		
 11.90   	 11.90   	 65.41   	-106.82		 95.83   	  50.86		
 13.43   	-10.07   	 64.98   	 -96.64		 96.03   	  30.52		
 14.04   	-28.08   	 64.60   	 -86.47		 96.15   	  10.17		
 14.04   	-41.50   	 64.25   	 -76.30		 96.19   	 -15.26		
 14.04   	-50.66   	 63.95   	 -66.12		 96.13   	 -45.78		
 14.95   	-56.76   	 63.68   	 -50.86		 95.95   	 -71.21		
 16.48   	-61.34   	 63.48   	 -40.69		 95.67   	-167.85		
 18.01   	-69.27   	 63.32   	 -30.52		 94.99   	-203.46		
 17.09   	-73.24   	 63.19   	 -25.43		 94.18   	-254.32		
 15.26   	-76.90   	 63.09   	 -25.43		 93.16   	-300.10		
 14.65   	-80.26   	 62.99   	 -25.43		 91.96   	-350.97		
 15.26   	-83.62   	 62.89   	 -30.52		 90.56   	-417.09		
 17.09   	-86.36   	 62.77   	 -35.61		 88.89   	-493.39		
 19.53   	-87.89   	 62.62   	 -50.86		 86.92   	-559.51		
 21.97   	-88.81   	 62.42   	 -61.04		 84.68   	-615.46		
 23.80   	-89.72   	 62.18   	 -81.38		 82.22   	-681.58		
 24.41   	-90.64   	 61.85   	 -96.64		 79.49   	-732.45		
 24.11   	-92.16   	 61.46   	-122.07		 76.56   	-788.40		
 23.50   	-93.99   	 60.98   	-137.33		 73.41   	-824.00		
 23.19   	-95.21   	 60.43   	-157.68		 70.11   	-854.52		
 22.89   	-95.83   	 59.80   	-178.03		 66.69   	-874.87		
 22.89   	-95.52   	 59.08   	-183.11		 63.19   	-890.13		
 23.50   	-95.21   	 58.35   	-188.20		 59.63   	-890.13		
 25.94   	-95.21   	 57.60   	-183.11		 56.07   	-885.04		
 29.91   	-95.21   	 56.87   	-178.03		 52.53   	-864.70		
 35.10   	-94.91   	 56.15   	-162.77		 49.07   	-849.44		
 40.59   	-93.99   	 55.50   	-142.42		 45.68   	-818.92		
 45.47   	-92.16   	 54.93   	-127.16		 42.40   	-798.57		
 49.74   	-88.81   	 54.43   	 -96.64		 39.21   	-757.88		
 53.71   	-84.84   	 54.04   	 -71.21		 36.17   	-722.28		
 56.46   	-80.26   	 53.75   	 -50.86		 33.29   	-686.67		
 56.46   	-76.90   	 53.55   	  -5.09		 30.54   	-681.58		
 49.74   	-73.55   	 53.53   	   5.09		 27.81   	-630.72		
 45.47   	-72.33   	 53.55   	  25.43		 25.29   	-579.86		
 42.11   	-70.80   	 53.65   	  35.61		 22.97   	-523.90		
 40.89   	-68.97   	 53.79   	  35.61		 20.87   	-478.13		
 41.20   	-67.44   	 53.94   	  40.69		 18.96   	-432.35		
 42.42   	-66.22   	 54.10   	  40.69		 17.23   	-386.57		
 45.17   	-65.00   	 54.26   	  30.52		 15.69   	-340.79		
 47.91   	-63.48   	 54.38   	  25.43		 14.32   	-305.19		
 50.35   	-61.95   	 54.49   	  10.17		 13.10   	-269.58		
 51.88   	-60.42   	 54.53   	   0.00		 12.02   	-228.89		
 51.57   	-58.90   	 54.53   	 -15.26		 11.11   	-203.46		
 48.83   	-57.68   	 54.47   	 -25.43		 10.29   	-178.03		
 44.56   	-57.07   	 54.36   	 -45.78		  9.58   	-178.03		
 39.67   	-57.98   	 54.18   	 -50.86		  8.87   	-178.03		
 35.10   	-60.12   	 53.98   	 -66.12		  8.16   	-172.94		
 31.43   	-62.56   	 53.71   	 -71.21		  7.47   	-178.03		
 28.99   	-64.09   	 53.43   	 -81.38		  6.75   	-167.85		
 28.69   	-64.09   	 53.10   	 -86.47		  6.08   	-162.77		
 30.21   	-62.87   	 52.76   	 -91.56		  5.43   	-147.51		
 32.65   	-61.95   	 52.39   	 -86.47		  4.84   	-127.16		
 34.48   	-61.65   	 52.04   	 -86.47		  4.33   	-101.73		
 33.87   	-61.65   	 51.70   	 -81.38		  3.93   	 -76.30		
 30.82   	-62.26   	 51.37   	 -81.38		  3.62   	 -55.95		
 27.16   	-62.87   	 51.05   	 -66.12		  3.40   	 -35.61		
 22.89   	-63.48   	 50.78   	 -61.04		  3.26   	 -10.17		
 19.23   	-64.39   	 50.54   	 -50.86		  3.21   	   5.09		
 16.17   	-65.61   	 50.34   	 -40.69		  3.23   	  20.35		
 14.65   	-65.92   	 50.17   	 -30.52		  3.32   	  40.69		
 15.56   	-66.22   	 50.05   	 -25.43		  3.48   	  45.78		
 18.62   	-65.61   	 49.95   	 -20.35		  3.66   	  55.95		
 21.67   	-65.00   	 49.87   	 -10.17		  3.89   	  61.04		
 23.19   	-64.70   	 49.83   	  -5.09		  4.13   	  61.04		
 23.19   	-65.00   	 49.81   	  -5.09		  4.37   	  71.21		
 22.89   	-65.61   	 49.79   	  -5.09		  4.66   	  61.04		
 22.89   	-66.22   	 49.77   	  -5.09		  4.90   	  66.12		
 23.50   	-66.83   	 49.75   	  -5.09		  5.17   	  61.04		
 24.11   	-66.83   	 49.73   	 -15.26		  5.41   	  50.86		
 23.19   	-66.53   	 49.66   	 -15.26		  5.62   	  50.86		
 21.06   	-66.22   	 49.60   	 -20.35		  5.82   	  40.69		
 18.62   	-66.83   	 49.52   	 -30.52		  5.98   	  40.69		
 17.09   	-67.14   	 49.40   	 -30.52		  6.14   	  30.52		
 17.09   	-67.44   	 49.28   	 -40.69		  6.27   	  25.43		
 18.62   	-67.14   	 49.11   	 -40.69		  6.37   	  20.35		
