SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  AO     	  AO'		
  1.93   	  45.78		 73.39   	 -40.69		
  2.12   	  30.52		 73.22   	 -40.69		
  2.24   	  15.26		 73.06   	 -66.12		
  2.30   	  -5.09		 72.80   	 -55.95		
  2.28   	  -5.09		 72.57   	 -40.69		
  2.26   	  -5.09		 72.41   	 -45.78		
  2.24   	   5.09		 72.23   	 -61.04		
  2.26(E)	  10.17		 71.98   	 -35.61		
  2.30   	  20.35		 71.84   	 -45.78		
  2.38   	  35.61		 71.66   	 -66.12		
  2.52   	  45.78		 71.39   	 -76.30		
  2.71   	  50.86		 71.09   	 -76.30		
  2.91   	  61.04		 70.78   	 -61.04		
  3.15   	  71.21		 70.54   	 -35.61		
  3.44   	  71.21		 70.40   	 -45.78		
  3.72   	  71.21		 70.21   	 -71.21		
  4.01   	  61.04		 69.93   	 -61.04		
  4.25   	  61.04		 69.68   	 -55.95		
  4.50   	  61.04		 69.46   	 -61.04		
  4.74   	  76.30		 69.22   	 -55.95		
  5.05   	  76.30		 68.99   	 -35.61		
  5.35   	  86.47		 68.85   	 -35.61		
  5.70   	 132.25		 68.71   	 -35.61		
  6.23   	 188.20		 68.57   	 -50.86		
  6.98   	 208.54		 68.36   	 -61.04		
  7.81   	 269.58		 68.12   	 -55.95		
  8.89   	 386.57		 67.89   	 -40.69		
 10.44   	 473.04		 67.73   	 -20.35		
 12.33   	 549.34		 67.65   	 -20.35		
 14.53   	 635.81		 67.57   	 -45.78		
 17.07   	 645.98		 67.39   	 -61.04		
 19.65   	 681.58		 67.14   	 -35.61		
 22.38   	 661.24		 67.00   	 -30.52		
 25.03   	 625.63		 66.88   	 -25.43		
 27.53   	 590.03		 66.77   	 -20.35		
 29.89   	 539.16		 66.69   	 -30.52		
 32.04   	 483.21		 66.57   	 -40.69		
 33.98   	 437.43		 66.41   	 -35.61		
 35.73   	 381.48		 66.27   	 -20.35		
 37.25   	 340.79		 66.18   	 -30.52		
 38.62   	 300.10		 66.06   	 -40.69		
 39.82   	 254.32		 65.90   	 -35.61		
 40.83   	 223.80		 65.76   	 -30.52		
 41.73   	 198.37		 65.64   	 -40.69		
 42.52   	 178.03		 65.47   	 -66.12		
 43.23   	 152.59		 65.21   	 -66.12		
 43.85   	 142.42		 64.94   	 -55.95		
 44.41   	 132.25		 64.72   	 -55.95		
 44.94   	 122.07		 64.50   	 -61.04		
 45.43   	 122.07		 64.25   	 -50.86		
 45.92   	 106.82		 64.05   	 -40.69		
 46.35   	 101.73		 63.89   	 -25.43		
 46.75   	  91.56		 63.78   	 -10.17		
 47.12   	  91.56		 63.74(D)	  25.43		
 47.49   	  91.56		 63.85   	 111.90		
 47.85   	  91.56		 64.29   	 269.58		
 48.22   	  91.56		 65.37   	 854.52		
 48.59   	  91.56		 68.79   	 946.08		
 48.95   	  86.47		 72.57   	 768.05		
 49.30   	  91.56		 75.65   	 508.65		
 49.66   	  91.56		 77.68   	 361.14		
 50.03   	  91.56		 79.12   	 361.14		
 50.40   	  86.47		 80.57   	 473.04		
 50.74   	  86.47		 82.46   	 574.77		
 51.09   	  86.47		 84.76   	 579.86		
 51.43   	  71.21		 87.08   	 508.65		
 51.72   	  71.21		 89.11   	 462.87		
 52.00   	  55.95		 90.97   	 473.04		
 52.23   	  45.78		 92.86   	 452.69		
 52.41   	  35.61		 94.67   	 447.61		
 52.55   	  30.52		 96.46   	 457.78		
 52.68   	  35.61		 98.29   	 457.78		
 52.82   	  25.43		100.12   	 406.92		
 52.92   	  20.35		101.75   	 366.22		
 53.00   	   5.09		103.21   	 350.97		
 53.02   	 -15.26		104.62   	 330.62		
 52.96   	 -40.69		105.94   	 300.10		
 52.80   	 -50.86		107.14   	 284.84		
 52.59   	 -61.04		108.28   	 244.15		
 52.35   	 -35.61		109.26   	 198.37		
 52.21   	 -20.35		110.05   	 157.68		
 52.13   	   0.00		110.68   	 132.25		
 52.13   	  20.35		111.21   	  96.64		
 52.21   	  50.86		111.60   	  55.95		
 52.41   	 111.90		111.82   	  20.35		
 52.86   	 147.51		111.90(S)	 -15.26		
 53.45   	 147.51		111.84   	 -35.61		
 54.04   	 127.16		111.70   	 -66.12		
 54.55   	  76.30		111.43   	 -91.56		
 54.85(S)	 -10.17		111.07   	-111.90		
 54.81   	-101.73		110.62   	-132.25		
 54.40   	-193.29		110.09   	-162.77		
 53.63   	-274.67		109.44   	-167.85		
 52.53   	-340.79		108.77   	-152.59		
 51.17   	-376.40		108.16   	-157.68		
