SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
-36.01   	-146.18   	 44.09   	 -66.12		 11.41   	 279.75		
-15.56   	-123.90   	 43.82   	 -61.04		 12.53   	 300.10		
-23.50   	-122.68   	 43.58   	 -61.04		 13.73   	 310.27		
-18.31   	-109.25   	 43.34   	 -45.78		 14.97   	 320.45		
 12.82   	-83.92   	 43.15   	 -35.61		 16.26   	 361.14		
 -2.44   	-83.01   	 43.01   	 -15.26		 17.70   	 391.66		
  7.93   	-81.18   	 42.95   	 -15.26		 19.27   	 422.18		
 14.95   	-72.33   	 42.89(D)	  10.17		 20.96   	 442.52		
 -4.58   	-69.89   	 42.93   	  35.61		 22.73   	 457.78		
 17.09   	-52.80   	 43.07   	  96.64		 24.56   	 462.87		
 19.84   	-38.76   	 43.46   	 162.77		 26.41   	 467.95		
 31.13   	-53.10   	 44.11   	 254.32		 28.28   	 467.95		
 54.63   	-36.32   	 45.13   	 340.79		 30.15   	 452.69		
 44.86   	-23.80   	 46.49   	 432.35		 31.96   	 437.43		
 70.19   	-13.12   	 48.22   	 503.56		 33.71   	 417.09		
 69.27   	 -1.22   	 50.23   	 534.08		 35.38   	 391.66		
 83.01   	 14.65   	 52.37   	 523.90		 36.95   	 361.14		
 98.57   	 34.18   	 54.47   	 488.30		 38.39   	 330.62		
108.95   	 61.65   	 56.42   	 422.18		 39.72   	 300.10		
118.41   	 74.77   	 58.11   	 345.88		 40.92   	 269.58		
125.12   	 68.36   	 59.49   	 239.06		 41.99   	 244.15		
130.92   	 76.60   	 60.45   	 142.42		 42.97   	 228.89		
