SAMPLE NUMBER:   30
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-748.90   	 99.18   	  7.59   	 279.75		 46.75   	 -25.43		
-739.44   	105.59   	  8.71   	 300.10		 46.65   	 -25.43		
-738.22   	105.29   	  9.91   	 335.71		 46.55   	 -30.52		
-735.47   	107.42   	 11.25   	 401.83		 46.43   	 -25.43		
-726.01   	113.22   	 12.86   	 462.87		 46.33   	 -25.43		
-720.52   	114.75   	 14.71   	 508.65		 46.23   	 -30.52		
-719.60   	120.54   	 16.74   	 518.82		 46.10   	 -25.43		
-714.72   	125.73   	 18.82   	 528.99		 46.00   	 -25.43		
-710.45   	125.43   	 20.94   	 534.08		 45.90   	 -25.43		
-709.53   	130.62   	 23.07   	 518.82		 45.80   	 -25.43		
-704.35   	135.19   	 25.15   	 483.21		 45.70   	 -30.52		
-698.55   	130.92   	 27.08   	 432.35		 45.57   	 -20.35		
-697.63   	131.84   	 28.81   	 391.66		 45.49   	 -25.43		
-692.14   	146.18   	 30.38   	 345.88		 45.39   	 -25.43		
-683.29   	151.67   	 31.76   	 310.27		 45.29   	 -20.35		
-679.02   	157.47   	 33.00   	 269.58		 45.21   	 -20.35		
-674.74   	166.93   	 34.08   	 249.24		 45.13   	 -20.35		
-667.11   	169.98   	 35.08   	 233.98		 45.05   	 -20.35		
-661.01   	169.37   	 36.01   	 218.72		 44.96   	 -15.26		
-657.65   	174.56   	 36.89   	 218.72		 44.90   	 -15.26		
-648.80   	186.46   	 37.76   	 223.80		 44.84   	 -10.17		
-635.68   	191.04   	 38.66   	 223.80		 44.80   	 -15.26		
-625.92   	203.25   	 39.55   	 213.63		 44.74   	 -15.26		
-597.84   	236.21   	 40.41   	 188.20		 44.68   	 -15.26		
-586.85   	250.55   	 41.16   	 172.94		 44.62   	 -20.35		
-575.87   	270.39   	 41.85   	 152.59		 44.54   	 -20.35		
-563.66   	288.09   	 42.46   	 137.33		 44.46   	 -20.35		
-547.18   	305.18   	 43.01   	 111.90		 44.37   	 -15.26		
-534.36   	328.67   	 43.46   	  86.47		 44.31   	 -10.17		
-519.10   	350.95   	 43.80   	  71.21		 44.27(D)	  10.17		
-501.10   	368.35   	 44.09   	  61.04		 44.31   	  35.61		
-490.42   	386.35   	 44.33   	  61.04		 44.46   	  91.56		
-479.74   	411.99   	 44.58   	  45.78		 44.82   	 167.85		
-466.61   	433.96   	 44.76   	  30.52		 45.49   	 259.41		
-454.71   	452.58   	 44.88   	  30.52		 46.53   	 345.88		
-446.78   	475.16   	 45.00   	  35.61		 47.91   	 422.18		
-435.18   	494.69   	 45.15   	  40.69		 49.60   	 478.13		
-425.42   	509.64   	 45.31   	  40.69		 51.52   	 503.56		
-419.92   	527.95   	 45.47   	  50.86		 53.53   	 498.47		
-411.38   	546.26   	 45.68   	  66.12		 55.52   	 478.13		
-404.66   	557.86   	 45.94   	  71.21		 57.44   	 432.35		
-403.14   	553.89   	 46.23   	  81.38		 59.17   	 371.31		
-405.58   	558.78   	 46.55   	  76.30		 60.65   	 310.27		
-407.10   	555.11   	 46.86   	  86.47		 61.89   	 239.06		
-412.29   	542.60   	 47.20   	  91.56		 62.85   	 188.20		
-423.28   	542.91   	 47.57   	  86.47		 63.60   	 147.51		
-436.40   	529.17   	 47.91   	  91.56		 64.19   	 122.07		
-452.27   	507.81   	 48.28   	  96.64		 64.68   	 127.16		
-473.02   	490.42   	 48.67   	 101.73		 65.19   	 132.25		
-492.55   	480.04   	 49.07   	 111.90		 65.72   	 162.77		
-507.20   	453.49   	 49.52   	 122.07		 66.37   	 188.20		
-528.87   	435.79   	 50.01   	 132.25		 67.12   	 228.89		
-552.67   	422.36   	 50.54   	 147.51		 68.04   	 264.50		
-572.51   	392.46   	 51.13   	 142.42		 69.09   	 295.01		
-595.40   	380.25   	 51.70   	 137.33		 70.27   	 320.45		
-622.25   	365.60   	 52.25   	 127.16		 71.56   	 335.71		
-641.17   	348.51   	 52.76   	 116.99		 72.90   	 340.79		
-659.48   	328.67   	 53.22   	  96.64		 74.26   	 340.79		
-685.12   	303.96   	 53.61   	  71.21		 75.63   	 325.53		
-703.13   	286.87   	 53.90   	  35.61		 76.93   	 315.36		
-717.16   	265.50   	 54.04   	   5.09		 78.19   	 305.19		
-733.95   	249.02   	 54.06(S)	 -25.43		 79.41   	 284.84		
-746.15   	238.95   	 53.96   	 -71.21		 80.55   	 269.58		
-755.31   	224.30   	 53.67   	-101.73		 81.63   	 244.15		
-765.99   	205.38   	 53.27   	-142.42		 82.60   	 218.72		
-779.72   	192.87   	 52.70   	-178.03		 83.48   	 198.37		
-786.44   	179.14   	 51.98   	-208.54		 84.27   	 172.94		
-790.71   	171.51   	 51.15   	-239.06		 84.96   	 162.77		
-796.81   	162.05   	 50.19   	-269.58		 85.62   	 162.77		
-798.95   	162.96   	 49.11   	-305.19		 86.27   	 137.33		
-798.34   	156.56   	 47.89   	-340.79		 86.82   	 122.07		
-802.00   	146.79   	 46.53   	-376.40		 87.30   	 116.99		
-805.97   	145.57   	 45.03   	-406.92		 87.77   	 106.82		
-805.66   	146.79   	 43.40   	-396.74		 88.20   	  86.47		
-805.66   	144.65   	 41.81   	-391.66		 88.54   	  45.78		
-809.33   	147.09   	 40.24   	-447.61		 88.73   	  20.35		
-809.94   	146.48   	 38.45   	-518.82		 88.81(S)	 -10.17		
-808.72   	143.13   	 36.38   	-559.51		 88.77   	 -50.86		
-812.38   	141.91   	 34.14   	-584.94		 88.57   	 -71.21		
-810.85   	145.57   	 31.80   	-610.37		 88.28   	 -86.47		
-805.05   	144.65   	 29.36   	-615.46		 87.93   	 -91.56		
-805.36   	140.69   	 26.90   	-590.03		 87.57   	-106.82		
-803.53   	143.13   	 24.54   	-544.25		 87.14   	-111.90		
-799.26   	141.60   	 22.36   	-483.21		 86.69   	-106.82		
-795.59   	143.74   	 20.43   	-432.35		 86.27   	-116.99		
-793.46   	147.40   	 18.70   	-376.40		 85.80   	-132.25		
-791.63   	150.45   	 17.19   	-330.62		 85.27   	-147.51		
-787.66   	148.01   	 15.87   	-289.93		 84.68   	-162.77		
-789.49   	144.04   	 14.71   	-264.50		 84.03   	-172.94		
-791.63   	145.87   	 13.65   	-249.24		 83.34   	-183.11		
-788.88   	140.38   	 12.66   	-249.24		 82.60   	-198.37		
-789.49   	133.97   	 11.66   	-254.32		 81.81   	-218.72		
