SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 27.47   	-57.07   	 71.27   	 -40.69		  6.45   	  50.86		
 47.30   	-84.84   	 71.11   	 -45.78		  6.65   	  61.04		
100.71   	-135.50   	 70.93   	 -45.78		  6.90   	  55.95		
206.30   	-187.38   	 70.74   	 -45.78		  7.12   	  55.95		
366.52   	-189.21   	 70.56   	 -45.78		  7.34   	  45.78		
550.84   	-65.92   	 70.38   	 -45.78		  7.53   	  30.52		
684.51   	250.24   	 70.19   	 -45.78		  7.65   	  30.52		
672.30   	740.66   	 70.01   	 -45.78		  7.77   	  25.43		
462.04   	1249.39   	 69.83   	 -50.86		  7.87   	   5.09		
-361.02   	1403.81(R)	 69.62   	 -50.86		  7.89   	  10.17		
-731.81   	868.84   	 69.42   	 -50.86		  7.93   	  10.17		
-946.66   	179.14   	 69.22   	 -40.69		  7.98   	   0.00		
-1001.28   	-333.56   	 69.05   	 -40.69		  7.98   	   5.09		
-936.89   	-473.33   	 68.89   	 -35.61		  8.00   	 -10.17		
-788.57   	-292.97   	 68.75   	 -40.69		  7.96(E)	   0.00		
-577.09   	-17.09   	 68.59   	 -35.61		  7.96   	   5.09		
-335.39   	150.76   	 68.44   	 -40.69		  7.98   	  20.35		
-122.38   	152.89   	 68.28   	 -45.78		  8.06   	  20.35		
 -0.61   	 55.54   	 68.10   	 -40.69		  8.14   	  30.52		
 10.38   	-47.91   	 67.93   	 -40.69		  8.26   	  55.95		
-50.35   	-108.34   	 67.77   	 -35.61		  8.48   	  66.12		
-117.49   	-127.26   	 67.63   	 -40.69		  8.75   	  96.64		
-143.74   	-124.82   	 67.47   	 -45.78		  9.14   	 142.42		
-126.04   	-112.61   	 67.28   	 -45.78		  9.70   	 188.20		
-88.20   	-95.83   	 67.10   	 -45.78		 10.46   	 228.89		
-50.66   	-77.51   	 66.92   	 -50.86		 11.37   	 254.32		
-17.70   	-57.98   	 66.71   	 -50.86		 12.39   	 264.50		
 14.95   	-34.48   	 66.51   	 -40.69		 13.45   	 279.75		
 48.22   	 -8.24   	 66.35   	 -35.61		 14.57   	 300.10		
 75.68   	 13.73   	 66.21   	 -40.69		 15.77   	 315.36		
 90.03   	 23.19   	 66.04   	 -45.78		 17.03   	 350.97		
 88.81   	 20.14   	 65.86   	 -40.69		 18.43   	 396.74		
 79.65   	 12.82   	 65.70   	 -50.86		 20.02   	 437.43		
 73.24   	 11.60   	 65.49   	 -50.86		 21.77   	 559.51		
 99.18   	 42.72   	 65.29   	 -50.86		 24.01   	 544.25		
129.09   	 74.46   	 65.09   	 -45.78		 26.19   	 518.82		
161.44   	109.86   	 64.90   	 -45.78		 28.26   	 488.30		
189.82   	140.99   	 64.72   	 -50.86		 30.21   	 447.61		
210.27   	160.83   	 64.52   	 -55.95		 32.00   	 406.92		
218.81   	165.41   	 64.29   	 -50.86		 33.63   	 376.40		
214.23   	155.33   	 64.09   	 -50.86		 35.14   	 340.79		
198.97   	136.72   	 63.89   	 -50.86		 36.50   	 315.36		
178.53   	118.71   	 63.68   	 -45.78		 37.76   	 315.36		
161.44   	108.34   	 63.50   	 -45.78		 39.02   	 310.27		
155.33   	108.64   	 63.32   	 -45.78		 40.26   	 295.01		
162.96   	119.02   	 63.13   	 -50.86		 41.44   	 289.93		
180.97   	135.19   	 62.93   	 -50.86		 42.60   	 289.93		
202.03   	153.81   	 62.73   	 -50.86		 43.76   	 274.67		
219.42   	172.12   	 62.52   	 -35.61		 44.86   	 264.50		
229.80   	187.99   	 62.38   	 -25.43		 45.92   	 244.15		
233.46   	199.58   	 62.28   	 -20.35		 46.90   	 208.54		
233.46   	208.13   	 62.20   	  -5.09		 47.73   	 183.11		
233.46   	215.45   	 62.18(D)	  50.86		 48.46   	 162.77		
236.21   	226.14   	 62.38   	 127.16		 49.11   	 147.51		
242.92   	242.61   	 62.89   	 223.80		 49.70   	 137.33		
253.60   	263.98   	 63.78   	 330.62		 50.25   	 116.99		
267.94   	287.17   	 65.11   	 422.18		 50.72   	 111.90		
282.90   	308.84   	 66.80   	 483.21		 51.17   	 106.82		
295.41   	327.15   	 68.73   	 534.08		 51.60   	 106.82		
292.66   	343.32   	 70.86   	 467.95		 52.02   	  96.64		
274.05   	336.00   	 72.74   	 401.83		 52.41   	 106.82		
249.33   	321.04   	 74.34   	 366.22		 52.84   	 111.90		
227.36   	307.62   	 75.81   	 340.79		 53.29   	 122.07		
215.76   	306.70   	 77.17   	 350.97		 53.77   	 122.07		
216.98   	322.88   	 78.58   	 376.40		 54.26   	 132.25		
