SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
 24.72   	118.71   	 20.59   	-467.95		 56.13   	-127.16		
 32.04   	158.69   	 18.72   	-447.61		 55.63   	-127.16		
 39.06   	195.01   	 16.93   	-427.26		 55.12   	-122.07		
 45.17   	222.17   	 15.22   	-386.57		 54.63   	-111.90		
 50.96   	241.09   	 13.67   	-356.05		 54.18   	-116.99		
 56.46   	256.04   	 12.25   	-335.71		 53.71   	-122.07		
 61.34   	269.47   	 10.91   	-320.45		 53.22   	-132.25		
 63.78   	279.85   	  9.62   	-315.36		 52.70   	-147.51		
 63.48   	283.20   	  8.36   	-310.27		 52.11   	-162.77		
 59.51   	276.79   	  7.12   	-305.19		 51.45   	-183.11		
 52.80   	257.26   	  5.90   	-284.84		 50.72   	-193.29		
 43.95   	222.47   	  4.76   	-254.32		 49.95   	-188.20		
 33.57   	172.73   	  3.74   	-223.80		 49.20   	-183.11		
 22.28   	113.22   	  2.85   	-183.11		 48.46   	-167.85		
 11.60   	 54.02   	  2.12   	-137.33		 47.79   	-147.51		
  1.83   	  6.41   	  1.57   	-106.82		 47.20   	-127.16		
 -6.41   	-24.41   	  1.14   	 -66.12		 46.69   	-116.99		
-13.73   	-42.11   	  0.87   	 -35.61		 46.23   	-111.90		
-19.53   	-53.41   	  0.73   	 -15.26		 45.78   	-106.82		
-23.50   	-63.78   	  0.67   	 -10.17		 45.35   	-116.99		
-25.02   	-74.77   	  0.63   	 -15.26		 44.88   	-116.99		
-25.33   	-83.92   	  0.57   	 -25.43		 44.41   	-127.16		
-25.94   	-89.72   	  0.47   	 -40.69		 43.91   	-137.33		
-27.16   	-93.08   	  0.31   	 -61.04		 43.36   	-137.33		
-29.30   	-96.13   	  0.06   	 -66.12		 42.81   	-137.33		
-31.13   	-99.49   	 -0.20   	 -71.21		 42.26   	-127.16		
-32.04   	-103.45   	 -0.49   	 -66.12		 41.75   	-122.07		
-32.65   	-105.90   	 -0.75   	 -55.95		 41.26   	-111.90		
-33.87   	-102.54   	 -0.98   	 -40.69		 40.81   	 -96.64		
-37.23   	-88.50   	 -1.14   	 -20.35		 40.43   	 -91.56		
-41.50   	-66.22   	 -1.22(D)	   5.09		 40.06   	 -86.47		
-42.72   	-47.61   	 -1.20   	  35.61		 39.72   	 -76.30		
-33.57   	-50.35   	 -1.06   	  66.12		 39.41   	 -76.30		
 -5.19   	-81.48   	 -0.79   	  91.56		 39.10   	 -76.30		
 44.56   	-124.51   	 -0.43   	 116.99		 38.80   	 -76.30		
106.20   	-136.11   	  0.04   	 127.16		 38.49   	 -81.38		
156.86   	-80.57   	  0.55   	 147.51		 38.17   	 -81.38		
164.49   	 41.50   	  1.14   	 213.63		 37.84   	 -81.38		
103.76   	180.05   	  1.99   	 239.06		 37.52   	 -81.38		
-26.25   	252.08   	  2.95   	 208.54		 37.19   	 -81.38		
-354.00   	 -9.16   	  3.78   	 172.94		 36.87   	 -81.38		
-446.17   	-269.78   	  4.48   	  96.64		 36.54   	 -76.30		
-448.00   	-483.09   	  4.86   	  15.26		 36.24   	 -71.21		
-372.31   	-558.47(R)	  4.92(E)	 -30.52		 35.95   	 -61.04		
-258.18   	-480.35   	  4.80   	 -81.38		 35.71   	 -61.04		
-147.71   	-314.33   	  4.48   	-101.73		 35.46   	 -55.95		
-67.75   	-157.47   	  4.07   	 -86.47		 35.24   	 -55.95		
-24.41   	-75.07   	  3.72   	 -45.78		 35.02   	 -61.04		
 -9.16   	-71.72   	  3.54   	  20.35		 34.77   	 -55.95		
 -8.24   	-105.90   	  3.62   	  91.56		 34.55   	 -55.95		
-11.29   	-130.62   	  3.99   	 172.94		 34.32   	 -55.95		
-11.60   	-126.65   	  4.68   	 269.58		 34.10   	 -50.86		
 -8.24   	-103.45   	  5.76   	 386.57		 33.90   	 -50.86		
 -3.97   	-81.18   	  7.30   	 493.39		 33.69   	 -50.86		
 -0.92   	-69.58   	  9.28   	 559.51		 33.49   	 -45.78		
 -0.31   	-65.92   	 11.52   	 600.20		 33.31   	 -50.86		
 -0.31   	-63.48   	 13.92   	 651.07		 33.10   	 -50.86		
  0.61   	-56.76   	 16.52   	 681.58		 32.90   	 -45.78		
  2.75   	-46.08   	 19.25   	 681.58		 32.72   	 -45.78		
  4.88   	-34.48   	 21.97   	 686.67		 32.53   	 -50.86		
  7.02   	-24.72   	 24.72   	 691.76		 32.33   	 -45.78		
  8.85   	-17.40   	 27.49   	 666.32		 32.15   	 -45.78		
 10.07   	-11.29   	 30.15   	 630.72		 31.96   	 -45.78		
 11.60   	 -5.49   	 32.68   	 590.03		 31.78   	 -40.69		
 13.12   	  0.00   	 35.04   	 544.25		 31.62   	 -40.69		
 16.48   	  8.24   	 37.21   	 483.21		 31.45   	 -40.69		
 18.01   	 10.68   	 39.15   	 417.09		 31.29   	 -30.52		
 19.53   	 12.51   	 40.81   	 350.97		 31.17   	 -25.43		
 21.06   	 14.95   	 42.22   	 300.10		 31.07   	 -10.17		
 22.89   	 17.70   	 43.42   	 249.24		 31.03(D)	  10.17		
 25.33   	 20.45   	 44.41   	 208.54		 31.07   	  55.95		
 28.08   	 23.19   	 45.25   	 162.77		 31.29   	 101.73		
 30.82   	 25.63   	 45.90   	 132.25		 31.70   	 167.85		
 32.65   	 28.08   	 46.43   	 111.90		 32.37   	 223.80		
 33.26   	 29.60   	 46.88   	 106.82		 33.27   	 274.67		
 32.65   	 30.82   	 47.30   	 101.73		 34.36   	 310.27		
