SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 60.73   	159.91   	 92.70   	 -35.61		 54.81   	  25.43		
 56.46   	119.02   	 92.55   	 -40.69		 54.91   	  15.26		
 53.10   	 82.09   	 92.39   	 -40.69		 54.97(S)	   0.00		
 50.96   	 49.44   	 92.23   	 -30.52		 54.97   	 -20.35		
 47.91   	 19.53   	 92.11   	 -30.52		 54.89   	 -30.52		
 40.59   	-11.60   	 91.98   	 -25.43		 54.77   	 -50.86		
 27.16   	-46.08   	 91.88   	 -20.35		 54.57   	 -66.12		
  9.46   	-82.40   	 91.80   	 -20.35		 54.30   	 -81.38		
 -7.32   	-115.36   	 91.72   	 -25.43		 53.98   	 -91.56		
-18.92   	-140.38   	 91.62   	 -30.52		 53.61   	-111.90		
-24.11   	-155.33   	 91.50   	 -35.61		 53.16   	-132.25		
-26.25   	-162.66   	 91.35   	 -45.78		 52.63   	-162.77		
-28.99   	-166.93   	 91.17   	 -61.04		 51.98   	-198.37		
-31.74   	-170.90   	 90.93   	 -71.21		 51.19   	-239.06		
-32.04   	-173.34   	 90.64   	 -86.47		 50.23   	-279.75		
-26.86   	-172.12   	 90.29   	-101.73		 49.11   	-310.27		
-18.62   	-166.93   	 89.89   	-116.99		 47.87   	-345.88		
-11.29   	-159.91   	 89.42   	-127.16		 46.49   	-371.31		
 -8.54   	-153.20   	 88.91   	-142.42		 45.00   	-391.66		
 -9.46   	-148.62   	 88.34   	-157.68		 43.44   	-417.09		
-11.90   	-146.18   	 87.71   	-172.94		 41.77   	-437.43		
-13.73   	-146.18   	 87.02   	-183.11		 40.02   	-462.87		
-15.26   	-146.79   	 86.29   	-198.37		 38.17   	-483.21		
-16.17   	-147.40   	 85.49   	-213.63		 36.24   	-498.47		
-14.95   	-144.65   	 84.64   	-228.89		 34.24   	-518.82		
-10.38   	-136.72   	 83.72   	-239.06		 32.17   	-513.73		
 -2.75   	-126.34   	 82.77   	-244.15		 30.11   	-513.73		
  3.97   	-118.41   	 81.79   	-244.15		 28.06   	-503.56		
  6.41   	-115.97   	 80.81   	-223.80		 26.04   	-498.47		
  4.88   	-117.80   	 79.92   	-203.46		 24.05   	-483.21		
  3.05   	-119.63   	 79.10   	-178.03		 22.12   	-478.13		
  3.66   	-117.80   	 78.39   	-142.42		 20.20   	-467.95		
  6.71   	-112.30   	 77.82   	-111.90		 18.33   	-452.69		
  8.85   	-107.42   	 77.38   	 -76.30		 16.52   	-432.35		
  6.71   	-106.81   	 77.07   	 -55.95		 14.79   	-412.00		
  0.61   	-110.47   	 76.85   	 -25.43		 13.14   	-381.48		
 -8.24   	-117.80   	 76.74   	 -10.17		 11.62   	-356.05		
-17.40   	-128.17   	 76.70   	   5.09		 10.19   	-325.53		
-24.72   	-138.24   	 76.72   	  10.17		  8.89   	-300.10		
-28.99   	-145.87   	 76.76   	  10.17		  7.69   	-279.75		
-29.30   	-149.84   	 76.81   	   5.09		  6.57   	-254.32		
-27.16   	-149.84   	 76.83   	  -5.09		  5.55   	-228.89		
-25.33   	-148.01   	 76.81   	 -20.35		  4.64   	-203.46		
-25.63   	-146.48   	 76.72   	 -35.61		  3.83   	-172.94		
-28.38   	-145.57   	 76.58   	 -45.78		  3.13   	-137.33		
-30.82   	-144.35   	 76.40   	 -66.12		  2.58   	-111.90		
-30.21   	-141.30   	 76.13   	 -71.21		  2.14   	 -86.47		
-25.94   	-137.63   	 75.85   	 -86.47		  1.79   	 -55.95		
-19.84   	-135.19   	 75.50   	 -96.64		  1.57   	 -35.61		
-14.34   	-134.89   	 75.12   	 -91.56		  1.42   	 -15.26		
-10.68   	-136.41   	 74.75   	 -96.64		  1.36(D)	   5.09		
 -8.54   	-138.55   	 74.36   	 -96.64		  1.38   	  25.43		
 -7.32   	-139.77   	 73.98   	 -91.56		  1.49   	  45.78		
 -5.49   	-140.08   	 73.61   	 -81.38		  1.67   	  61.04		
 -3.05   	-138.55   	 73.29   	 -71.21		  1.91   	  71.21		
 -1.22   	-135.80   	 73.00   	 -61.04		  2.20   	  86.47		
 -2.14   	-133.97   	 72.76   	 -50.86		  2.54   	  91.56		
 -7.02   	-134.89   	 72.55   	 -45.78		  2.91   	  91.56		
-15.26   	-139.47   	 72.37   	 -35.61		  3.28   	 101.73		
-24.72   	-148.01   	 72.23   	 -30.52		  3.68   	  96.64		
-33.87   	-159.00   	 72.11   	 -25.43		  4.07   	  91.56		
-40.28   	-168.76   	 72.00   	 -25.43		  4.44   	  91.56		
-43.64   	-174.26   	 71.90   	 -20.35		  4.80   	  86.47		
-43.95   	-173.65   	 71.82   	 -20.35		  5.15   	  76.30		
-41.50   	-169.07   	 71.74   	 -20.35		  5.45   	  61.04		
-37.23   	-162.96   	 71.66   	 -25.43		  5.70   	  55.95		
-32.35   	-159.00   	 71.56   	 -25.43		  5.92   	  45.78		
-28.69   	-158.08   	 71.45   	 -30.52		  6.10   	  35.61		
-26.25   	-158.08   	 71.33   	 -30.52		  6.25   	  25.43		
-23.50   	-156.56   	 71.21   	 -35.61		  6.35   	  15.26		
-19.23   	-151.37   	 71.07   	 -35.61		  6.41   	  15.26		
-13.12   	-142.82   	 70.93   	 -35.61		  6.47   	   0.00		
 -6.71   	-133.67   	 70.78   	 -35.61		  6.47   	   0.00		
 -0.92   	-126.65   	 70.64   	 -35.61		  6.47   	 -10.17		
  4.27   	-122.38   	 70.50   	 -40.69		  6.43   	 -20.35		
  9.77   	-118.41   	 70.34   	 -35.61		  6.35   	 -20.35		
 16.48   	-111.08   	 70.19   	 -35.61		  6.27   	 -20.35		
 23.50   	-100.71   	 70.05   	 -35.61		  6.19   	 -25.43		
 28.69   	-89.42   	 69.91   	 -40.69		  6.08   	 -25.43		
 31.43   	-81.48   	 69.75   	 -35.61		  5.98   	 -20.35		
 32.65   	-77.82   	 69.60   	 -35.61		  5.90   	 -25.43		
 35.10   	-75.38   	 69.46   	 -35.61		  5.80   	 -20.35		
 41.50   	-69.58   	 69.32   	 -30.52		  5.72   	 -20.35		
 53.41   	-58.29   	 69.20   	 -40.69		  5.64   	 -20.35		
 69.58   	-42.11   	 69.03   	 -35.61		  5.55   	 -10.17		
 86.36   	-24.11   	 68.89   	 -40.69		  5.51   	 -10.17		
 99.49   	 -7.63   	 68.73   	 -35.61		  5.47   	   0.00		
105.90   	  2.75   	 68.59   	 -45.78		  5.47   	   0.00		
105.29   	  1.83   	 68.40   	 -40.69		  5.47   	   0.00		
101.32   	-12.82   	 68.24   	 -45.78		  5.47   	   5.09		
 97.96   	-36.62   	 68.06   	 -45.78		  5.49   	  10.17		
 94.60   	-61.04   	 67.87   	 -45.78		  5.53   	  10.17		
 87.59   	-78.13   	 67.69   	 -45.78		  5.57   	  10.17		
 72.63   	-87.28   	 67.51   	 -45.78		  5.62   	  15.26		
 48.22   	-93.99   	 67.32   	 -45.78		  5.68   	  20.35		
 18.92   	-105.90   	 67.14   	 -50.86		  5.76   	  15.26		
 -8.54   	-124.21   	 66.94   	 -50.86		  5.82   	  25.43		
-29.91   	-144.96   	 66.73   	 -45.78		  5.92   	  20.35		
-45.78   	-162.66   	 66.55   	 -45.78		  6.00   	  20.35		
-58.29   	-176.09   	 66.37   	 -45.78		  6.08   	  25.43		
-68.36   	-186.77   	 66.18   	 -40.69		  6.19   	  20.35		
-75.07   	-195.92   	 66.02   	 -40.69		  6.27   	  15.26		
-78.13   	-201.72   	 65.86   	 -35.61		  6.33   	  25.43		
-78.43   	-203.25   	 65.72   	 -40.69		  6.43   	  20.35		
-77.51   	-199.58   	 65.55   	 -35.61		  6.51   	  20.35		
-75.68   	-191.65   	 65.41   	 -35.61		  6.59   	  15.26		
-70.80   	-183.11   	 65.27   	 -35.61		  6.65   	  20.35		
-61.95   	-176.39   	 65.13   	 -30.52		  6.73   	  20.35		
-50.05   	-174.26   	 65.00   	 -35.61		  6.82   	  15.26		
-37.84   	-180.05   	 64.86   	 -40.69		  6.88   	  20.35		
-25.02   	-196.23   	 64.70   	 -35.61		  6.96   	  10.17		
-11.90   	-220.95   	 64.56   	 -40.69		  7.00   	  15.26		
  6.41   	-246.28   	 64.39   	 -40.69		  7.06   	  10.17		
 42.42   	-260.01   	 64.23   	 -40.69		  7.10   	  10.17		
120.54   	-248.11   	 64.07   	 -40.69		  7.14   	  15.26		
265.50   	-193.79   	 63.91   	 -45.78		  7.20   	  15.26		
475.77   	-77.82   	 63.72   	 -40.69		  7.26   	  15.26		
696.11   	114.44   	 63.56   	 -45.78		  7.32   	  20.35		
818.48   	380.55   	 63.38   	 -45.78		  7.41   	  20.35		
738.83   	679.02   	 63.19   	 -50.86		  7.49   	  30.52		
-21.97   	1048.28(R)	 62.99   	 -50.86		  7.61(E)	  30.52		
-455.93   	1012.57   	 62.79   	 -50.86		  7.73   	  30.52		
-724.49   	856.02   	 62.58   	 -45.78		  7.85   	  30.52		
-771.18   	642.70   	 62.40   	 -45.78		  7.98   	  20.35		
-646.67   	418.09   	 62.22   	 -40.69		  8.06   	  25.43		
-457.15   	192.26   	 62.05   	 -45.78		  8.16   	  15.26		
-293.27   	-27.47   	 61.87   	 -40.69		  8.22   	  15.26		
-191.35   	-197.45   	 61.71   	 -40.69		  8.28   	  15.26		
-139.16   	-258.48   	 61.55   	 -40.69		  8.34   	  15.26		
-107.73   	-195.92   	 61.38   	 -40.69		  8.40   	  20.35		
-76.29   	-67.75   	 61.22   	 -35.61		  8.48   	  25.43		
-44.56   	 32.35   	 61.08   	 -35.61		  8.59   	  30.52		
-23.80   	 46.08   	 60.94   	 -35.61		  8.71   	  35.61		
-21.06   	-11.90   	 60.79   	 -35.61		  8.85   	  40.69		
-32.04   	-80.57   	 60.65   	 -30.52		  9.01   	  50.86		
-43.33   	-111.08   	 60.53   	 -35.61		  9.22   	  55.95		
-44.86   	-99.18   	 60.39   	 -30.52		  9.44   	  66.12		
-35.10   	-71.41   	 60.26   	 -35.61		  9.70   	  76.30		
-20.75   	-53.41   	 60.12   	 -30.52		 10.01   	  91.56		
-10.38   	-51.57   	 60.00   	 -25.43		 10.38   	 106.82		
 -7.32   	-57.68   	 59.90   	 -20.35		 10.80   	 152.59		
 -7.32   	-61.04   	 59.82   	 -30.52		 11.41   	 228.89		
 -4.88   	-56.76   	 59.69   	 -25.43		 12.33   	 320.45		
  1.83   	-46.39   	 59.59   	 -25.43		 13.61   	 401.83		
 10.68   	-34.18   	 59.49   	 -40.69		 15.22   	 579.86		
 18.62   	-22.28   	 59.33   	 -45.78		 17.54   	 595.11		
 14.34   	-22.28   	 59.15   	 -45.78		 19.92   	 600.20		
  8.24   	-20.45   	 58.96   	 -45.78		 22.32   	 605.29		
  4.27   	-14.95   	 58.78   	 -50.86		 24.74   	 610.37		
  2.75   	 -7.63   	 58.58   	 -50.86		 27.18   	 615.46		
  2.75   	 -0.92   	 58.37   	 -40.69		 29.64   	 620.55		
  1.83   	  3.05   	 58.21   	 -35.61		 32.13   	 610.37		
 -0.31   	  4.58   	 58.07   	 -20.35		 34.57   	 579.86		
