SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  LRA     	  LRA'		
-858.46   	-990.60   	 19.63   	  76.30		101.67   	 -35.61		
-790.71   	-834.96   	 19.94   	  81.38		101.53   	   5.09		
-816.04   	-784.91   	 20.26   	  81.38		101.55   	  30.52		
-869.14   	-830.08   	 20.59   	 106.82		101.67   	  25.43		
-897.52   	-897.22   	 21.02   	 132.25		101.77   	  15.26		
-893.86   	-930.18   	 21.55   	 147.51		101.83   	   0.00		
-885.01   	-928.96   	 22.14   	 178.03		101.83   	   5.09		
-900.27   	-932.31   	 22.85   	 218.72		101.85   	  10.17		
-948.18   	-969.24   	 23.72   	 279.75		101.89   	  10.17		
-1014.71   	-1035.16   	 24.84   	 330.62		101.93   	  -5.09		
-1076.36   	-1103.21   	 26.16   	 381.48		101.91   	   5.09		
-1114.81   	-1148.38   	 27.69   	 437.43		101.93   	  10.17		
-1124.27   	-1161.19   	 29.44   	 493.39		101.97   	  10.17		
-1109.62   	-1146.24   	 31.41   	 518.82		102.01   	  10.17		
-1081.54   	-1115.72   	 33.49   	 528.99		102.05   	  10.17		
-1051.03   	-1083.07   	 35.61   	 539.16		102.10   	  15.26		
-1023.56   	-1055.60   	 37.76   	 539.16		102.16   	  15.26		
-1001.28   	-1033.94   	 39.92   	 513.73		102.22   	   0.00		
-983.89   	-1016.54   	 41.97   	 473.04		102.22   	   5.09		
-971.07   	-1002.50   	 43.87   	 437.43		102.24   	  10.17		
-962.22   	-991.82   	 45.62   	 386.57		102.28   	  15.26		
-953.67   	-982.36   	 47.16   	 340.79		102.34   	  10.17		
-943.30   	-971.37   	 48.52   	 305.19		102.38   	   0.00		
-929.57   	-957.64   	 49.75   	 259.41		102.38   	  -5.09		
-913.70   	-941.77   	 50.78   	 208.54		102.36   	   5.09		
-898.74   	-926.82   	 51.62   	 178.03		102.38   	   5.09		
-887.76   	-915.22   	 52.33   	 137.33		102.40   	  10.17		
-882.87   	-908.81   	 52.88   	 122.07		102.44   	   5.09		
-882.57   	-907.29   	 53.37   	 116.99		102.46   	   5.09		
-883.18   	-906.98   	 53.83   	 111.90		102.48   	   5.09		
-881.04   	-904.54   	 54.28   	 101.73		102.50   	  10.17		
-875.55   	-897.83   	 54.69   	 106.82		102.54   	  10.17		
-868.53   	-888.98   	 55.12   	 106.82		102.58   	   5.09		
-862.73   	-881.35   	 55.54   	 111.90		102.60   	  10.17		
-857.24   	-875.24   	 55.99   	 127.16		102.64   	  10.17		
-848.39   	-866.70   	 56.50   	 152.59		102.69   	  15.26		
-831.60   	-851.14   	 57.11   	 152.59		102.75   	  15.26		
-806.88   	-827.94   	 57.72   	 147.51		102.81   	  10.17		
-778.50   	-801.09   	 58.31   	 172.94		102.85   	  10.17		
-751.95   	-777.28   	 59.00   	 178.03		102.89   	   5.09		
-730.59   	-760.80   	 59.71   	 178.03		102.91   	 -10.17		
-714.42   	-750.12   	 60.43   	 183.11		102.87   	 -10.17		
-701.29   	-742.19   	 61.16   	 188.20		102.83   	 -10.17		
-690.00   	-734.25   	 61.91   	 188.20		102.79   	 -25.43		
-682.98   	-727.23   	 62.67   	 178.03		102.69   	 -35.61		
-681.15   	-724.49   	 63.38   	 183.11		102.54   	 -10.17		
-684.51   	-727.84   	 64.11   	 178.03		102.50   	   5.09		
-688.48   	-733.95   	 64.82   	 178.03		102.52   	   5.09		
-687.26   	-736.08   	 65.53   	 147.51		102.54   	   5.09		
-676.27   	-729.06   	 66.12   	 116.99		102.56   	  25.43		
-656.13   	-711.36   	 66.59   	  81.38		102.66   	  25.43		
-629.88   	-686.65   	 66.92   	  30.52		102.77   	  25.43		
-603.33   	-660.71   	 67.04(S)	 -25.43		102.87   	  15.26		
-580.14   	-638.43   	 66.94   	-101.73		102.93   	  10.17		
-561.52   	-621.03   	 66.53   	-213.63		102.97   	   5.09		
-547.18   	-608.22   	 65.68   	-330.62		102.99   	  10.17		
-537.11   	-600.28   	 64.35   	-437.43		103.03   	   0.00		
-532.53   	-598.45   	 62.60   	-483.21		103.03   	  -5.09		
-535.28   	-604.55   	 60.67   	-442.52		103.01   	   0.00		
-546.88   	-619.51   	 58.90   	-371.31		103.01   	   0.00		
-566.41   	-640.87   	 57.42   	-345.88		103.01   	   5.09		
-589.90   	-665.59   	 56.03   	-340.79		103.03   	   5.09		
-613.40   	-689.09   	 54.67   	-310.27		103.05   	   0.00		
-632.93   	-708.01   	 53.43   	-264.50		103.05   	   0.00		
-646.67   	-719.60   	 52.37   	-218.72		103.05   	   5.09		
-654.60   	-722.66   	 51.50   	-213.63		103.07   	   5.09		
-658.57   	-718.99   	 50.64   	-218.72		103.09   	   0.00		
-661.93   	-711.36   	 49.77   	-198.37		103.09   	   0.00		
-667.42   	-704.96   	 48.97   	-183.11		103.09   	  -5.09		
-677.80   	-704.65   	 48.24   	-198.37		103.07   	 -10.17		
-693.97   	-713.20   	 47.45   	-218.72		103.03   	  -5.09		
-715.33   	-729.98   	 46.57   	-254.32		103.01   	   0.00		
-738.83   	-752.26   	 45.55   	-300.10		103.01   	  10.17		
-760.19   	-773.01   	 44.35   	-335.71		103.05   	  10.17		
-770.57   	-783.08   	 43.01   	-427.26		103.09   	   5.09		
-761.41   	-773.62   	 41.30   	-523.90		103.11   	  -5.09		
-730.59   	-741.58   	 39.21   	-513.73		103.09   	 -10.17		
-682.68   	-692.75   	 37.15   	-493.39		103.05   	  10.17		
-629.88   	-640.26   	 35.18   	-544.25		103.09   	  30.52		
-585.33   	-596.62   	 33.00   	-569.68		103.21   	  15.26		
-553.28   	-565.49   	 30.72   	-528.99		103.28   	   0.00		
-530.40   	-542.91   	 28.61   	-498.47		103.28   	   0.00		
-509.64   	-521.24   	 26.61   	-493.39		103.28   	  -5.09		
-485.53   	-495.30   	 24.64   	-457.78		103.25   	   0.00		
-457.15   	-464.48   	 22.81   	-406.92		103.25   	   0.00		
-426.03   	-431.82   	 21.18   	-361.14		103.25   	   5.09		
-394.59   	-399.48   	 19.74   	-320.45		103.28   	   5.09		
-365.60   	-369.26   	 18.45   	-279.75		103.30   	  10.17		
-340.58   	-342.41   	 17.33   	-239.06		103.34   	   5.09		
-318.60   	-318.91   	 16.38   	-198.37		103.36   	   0.00		
-298.16   	-298.46   	 15.58   	-157.68		103.36   	   0.00		
-278.63   	-279.85   	 14.95   	-122.07		103.36   	   0.00		
-261.84   	-265.20   	 14.47   	 -81.38		103.36   	  -5.09		
-255.74   	-261.54   	 14.14   	 -40.69		103.34   	   0.00		
-271.30   	-279.24   	 13.98   	 -10.17		103.34   	   0.00		
-312.81   	-322.27   	 13.94(D)	   5.09		103.34   	 -15.26		
-372.31   	-382.39   	 13.96   	  25.43		103.28   	 -20.35		
