SAMPLE NUMBER:   14
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  AO     	  AO'		
  0.92   	-33.26   	 25.23   	  25.43		125.76   	 122.07		
  5.49   	-31.43   	 25.33   	  25.43		126.25   	 101.73		
  9.77   	-30.21   	 25.43   	  20.35		126.65   	  91.56		
  7.63   	-35.40   	 25.51   	  15.26		127.02   	  76.30		
 -2.44   	-48.83   	 25.57   	  15.26		127.32   	  71.21		
-18.31   	-66.22   	 25.64   	  10.17		127.61   	  61.04		
-32.35   	-81.18   	 25.68   	   5.09		127.85   	  40.69		
-38.45   	-87.59   	 25.70   	   5.09		128.02   	  20.35		
-33.57   	-84.53   	 25.72   	  10.17		128.10(S)	   0.00		
-22.28   	-75.68   	 25.76   	   5.09		128.10   	 -15.26		
-11.90   	-68.66   	 25.78(S)	  -5.09		128.04   	 -25.43		
 -9.16   	-68.36   	 25.76   	  -5.09		127.93   	 -25.43		
-15.56   	-75.38   	 25.74   	 -15.26		127.83   	 -35.61		
-27.77   	-86.06   	 25.68   	 -15.26		127.69   	 -55.95		
-39.98   	-96.44   	 25.62   	 -25.43		127.47   	 -66.12		
-47.61   	-103.15   	 25.51   	 -35.61		127.20   	 -81.38		
-48.52   	-104.37   	 25.37   	 -40.69		126.88   	 -91.56		
-43.03   	-100.40   	 25.21   	 -55.95		126.51   	-106.82		
-33.57   	-93.38   	 24.98   	 -55.95		126.08   	-122.07		
-25.33   	-86.36   	 24.76   	 -86.47		125.59   	-137.33		
-21.36   	-83.01   	 24.41   	-111.90		125.05   	-152.59		
