SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
 28.08   	  3.97   	 27.51   	 -25.43		 16.01   	  86.47		 18.27   	 340.79		
 30.21   	 10.99   	 27.41   	 -20.35		 16.36   	 106.82		 19.63   	 366.22		
 31.74   	 17.09   	 27.32   	 -10.17		 16.79   	 122.07		 21.10   	 396.74		
 32.96   	 21.36   	 27.28(D)	   0.00		 17.27   	 116.99		 22.69   	 417.09		
 34.79   	 25.02   	 27.28   	  25.43		 17.74   	 111.90		 24.35   	 442.52		
 36.93   	 28.99   	 27.39   	  50.86		 18.19   	 106.82		 26.12   	 452.69		
 38.76   	 32.65   	 27.59   	  76.30		 18.62   	 101.73		 27.93   	 462.87		
 40.28   	 35.71   	 27.89   	 106.82		 19.02   	  91.56		 29.79   	 467.95		
 41.81   	 39.37   	 28.32   	 147.51		 19.39   	  96.64		 31.66   	 467.95		
 44.86   	 43.95   	 28.91   	 233.98		 19.78   	 142.42		 33.53   	 508.65		
 53.10   	 56.76   	 29.85   	 269.58		 20.35   	 157.68		 35.56   	 483.21		
 55.54   	 63.17   	 30.93   	 300.10		 20.98   	 162.77		 37.50   	 452.69		
 55.85   	 68.97   	 32.13   	 335.71		 21.63   	 183.11		 39.31   	 422.18		
 54.93   	 74.16   	 33.47   	 361.14		 22.36   	 203.46		 41.00   	 381.48		
 54.93   	 79.35   	 34.91   	 386.57		 23.17   	 213.63		 42.52   	 345.88		
 56.76   	 83.92   	 36.46   	 406.92		 24.03   	 218.72		 43.91   	 305.19		
 59.81   	 86.98   	 38.09   	 422.18		 24.90   	 223.80		 45.13   	 259.41		
 62.56   	 88.50   	 39.78   	 432.35		 25.80   	 223.80		 46.16   	 223.80		
 64.70   	 89.72   	 41.51   	 437.43		 26.69   	 223.80		 47.06   	 172.94		
 66.22   	 93.08   	 43.26   	 432.35		 27.59   	 208.54		 47.75   	 137.33		
 68.05   	100.40   	 44.98   	 422.18		 28.42   	 193.29		 48.30   	  96.64		
 70.80   	111.08   	 46.67   	 401.83		 29.20   	 178.03		 48.69   	  50.86		
 73.55   	122.38   	 48.28   	 376.40		 29.91   	 157.68		 48.89   	  20.35		
 75.99   	130.92   	 49.79   	 345.88		 30.54   	 142.42		 48.97(S)	 -15.26		
 77.51   	134.89   	 51.17   	 305.19		 31.11   	 122.07		 48.91   	 -45.78		
 79.65   	136.11   	 52.39   	 264.50		 31.60   	 106.82		 48.73   	 -71.21		
 83.31   	137.02   	 53.45   	 223.80		 32.02   	  91.56		 48.44   	 -96.64		
 88.81   	140.69   	 54.34   	 178.03		 32.39   	  81.38		 48.06   	-116.99		
 96.13   	147.71   	 55.06   	 132.25		 32.72   	  71.21		 47.59   	-137.33		
104.06   	158.08   	 55.58   	  91.56		 33.00   	  55.95		 47.04   	-147.51		
112.30   	171.20   	 55.95   	  40.69		 33.22   	  45.78		 46.45   	-162.77		
120.85   	186.77   	 56.11   	   5.09		 33.41   	  35.61		 45.80   	-172.94		
130.00   	203.55   	 56.13(S)	 -25.43		 33.55   	  25.43		 45.11   	-178.03		
138.85   	219.12   	 56.03   	 -66.12		 33.65   	  15.26		 44.39   	-178.03		
145.26   	229.49   	 55.77   	-116.99		 33.71(S)	   0.00		 43.68   	-208.54		
145.57   	222.47   	 55.30   	-137.33		 33.71   	  -5.09		 42.85   	-203.46		
138.85   	202.94   	 54.75   	-142.42		 33.69   	 -15.26		 42.03   	-203.46		
128.48   	176.39   	 54.18   	-152.59		 33.63   	 -30.52		 41.22   	-193.29		
115.36   	147.40   	 53.57   	-157.68		 33.51   	 -30.52		 40.45   	-193.29		
101.01   	120.54   	 52.94   	-162.77		 33.39   	 -45.78		 39.67   	-188.20		
