SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  RPA     	  RPA'		  RV     	  RV'		
 50.66   	 12.21   	 47.73   	-172.94		 29.11   	-178.03		 33.16   	-239.06		
 45.47   	  5.19   	 47.04   	-183.11		 28.40   	-183.11		 32.21   	-249.24		
 41.20   	  0.92   	 46.31   	-183.11		 27.67   	-193.29		 31.21   	-259.41		
 38.15   	 -0.92   	 45.57   	-193.29		 26.90   	-198.37		 30.17   	-279.75		
 37.23   	  0.31   	 44.80   	-198.37		 26.10   	-193.29		 29.05   	-289.93		
 38.15   	  6.71   	 44.01   	-208.54		 25.33   	-203.46		 27.89   	-305.19		
 39.98   	 19.53   	 43.17   	-208.54		 24.52   	-213.63		 26.67   	-320.45		
 41.20   	 39.06   	 42.34   	-208.54		 23.66   	-208.54		 25.39   	-340.79		
 41.50   	 63.48   	 41.51   	-203.46		 22.83   	-188.20		 24.03   	-356.05		
 41.20   	 90.64   	 40.69   	-198.37		 22.08   	-167.85		 22.60   	-376.40		
 43.95   	121.46   	 39.90   	-198.37		 21.40   	-152.59		 21.10   	-376.40		
 53.41   	158.39   	 39.10   	-183.11		 20.79   	-137.33		 19.59   	-381.48		
 70.50   	200.20   	 38.37   	-172.94		 20.24   	 -96.64		 18.07   	-376.40		
 90.94   	241.09   	 37.68   	-162.77		 19.86   	 -76.30		 16.56   	-376.40		
107.73   	270.39   	 37.03   	-162.77		 19.55   	 -55.95		 15.06   	-406.92		
104.68   	244.75   	 36.38   	-142.42		 19.33   	 -50.86		 13.43   	-381.48		
 81.18   	179.14   	 35.81   	-127.16		 19.13   	 -50.86		 11.90   	-361.14		
 49.74   	 89.11   	 35.30   	-111.90		 18.92   	 -66.12		 10.46   	-335.71		
 18.92   	 -3.97   	 34.85   	-101.73		 18.66   	 -76.30		  9.11   	-305.19		
 -2.44   	-75.07   	 34.45   	 -86.47		 18.35   	 -96.64		  7.89   	-274.67		
-10.99   	-110.78   	 34.10   	 -81.38		 17.97   	-106.82		  6.80   	-249.24		
 -9.77   	-114.44   	 33.77   	 -71.21		 17.54   	-116.99		  5.80   	-218.72		
 -5.49   	-102.54   	 33.49   	 -66.12		 17.07   	-127.16		  4.92   	-183.11		
 -3.97   	-92.77   	 33.22   	 -61.04		 16.56   	-127.16		  4.19   	-157.68		
 -6.71   	-92.77   	 32.98   	 -61.04		 16.05   	-132.25		  3.56   	-127.16		
-11.29   	-100.40   	 32.74   	 -55.95		 15.52   	-122.07		  3.05   	 -96.64		
-14.95   	-110.17   	 32.51   	 -50.86		 15.04   	-122.07		  2.67   	 -71.21		
-15.26   	-122.68   	 32.31   	 -55.95		 14.55   	-111.90		  2.38   	 -45.78		
 -4.27   	-146.48   	 32.09   	 -55.95		 14.10   	 -96.64		  2.20   	 -15.26		
 31.43   	-185.24   	 31.86   	 -55.95		 13.71   	 -86.47		  2.14(D)	   5.09		
 93.08   	-208.13   	 31.64   	 -55.95		 13.37   	 -66.12		  2.16   	  25.43		
142.21   	-160.22   	 31.41   	 -55.95		 13.10   	 -50.86		  2.26   	  45.78		
100.71   	-33.57   	 31.19   	 -55.95		 12.90   	 -35.61		  2.44   	  61.04		
-101.93   	 92.77   	 30.97   	 -55.95		 12.76   	 -20.35		  2.69   	  76.30		
-468.75   	 75.68   	 30.74   	 -55.95		 12.68   	 -15.26		  2.99   	  91.56		
-900.57   	-199.58   	 30.52   	 -55.95		 12.61   	 -15.26		  3.36   	 101.73		
-1226.50   	-685.73   	 30.29   	 -50.86		 12.55   	 -15.26		  3.76   	 106.82		
-1297.61   	-1143.80   	 30.09   	 -55.95		 12.49   	 -20.35		  4.19   	 111.90		
-1076.05   	-1299.13(R)	 29.87   	 -50.86		 12.41   	 -20.35		  4.64(E)	 116.99		
-661.32   	-1052.55   	 29.66   	 -55.95		 12.33   	 -35.61		  5.11   	 132.25		
 69.89   	-72.33   	 29.44   	 -45.78		 12.19   	 -35.61		  5.64   	 127.16		
165.41   	153.20   	 29.26   	 -55.95		 12.04   	 -50.86		  6.14   	 127.16		
  5.19   	-56.15   	 29.03   	 -45.78		 11.84   	 -55.95		  6.65   	 122.07		
-51.88   	-169.07   	 28.85   	 -40.69		 11.62   	 -50.86		  7.14   	 111.90		
-40.89   	-167.85   	 28.69   	 -45.78		 11.41   	 -45.78		  7.59   	 106.82		
  4.27   	-97.35   	 28.50   	 -40.69		 11.23   	 -40.69		  8.02   	 106.82		
 36.93   	-35.10   	 28.34   	 -35.61		 11.07   	  -5.09		  8.44   	 101.73		
 37.23   	-21.36   	 28.20   	 -35.61		 11.05(D)	  35.61		  8.85   	 101.73		
 18.31   	-43.64   	 28.06   	 -35.61		 11.19   	  71.21		  9.26   	 101.73		
  4.27   	-66.83   	 27.91   	 -35.61		 11.48   	  40.69		  9.66   	 122.07		
  5.49   	-69.89   	 27.77   	 -35.61		 11.64   	   0.00		 10.15   	 132.25		
 16.17   	-55.24   	 27.63   	 -35.61		 11.64   	  -5.09		 10.68   	 157.68		
 25.33   	-36.62   	 27.49   	 -35.61		 11.62   	  20.35		 11.31   	 183.11		
 28.08   	-24.72   	 27.34   	 -35.61		 11.70   	  35.61		 12.04   	 203.46		
 25.94   	-20.45   	 27.20   	 -35.61		 11.84   	  35.61		 12.86   	 239.06		
 22.89   	-19.84   	 27.06   	 -30.52		 11.98   	  50.86		 13.81   	 269.58		
 22.28   	-18.31   	 26.94   	 -35.61		 12.19   	  76.30		 14.89   	 300.10		
 24.72   	-13.12   	 26.80   	 -35.61		 12.49   	  96.64		 16.09   	 325.53		
 29.30   	 -5.49   	 26.65   	 -25.43		 12.88   	 122.07		 17.40   	 361.14		
 32.96   	  1.53   	 26.55   	 -15.26		 13.37   	 142.42		 18.84   	 386.57		
 35.10   	  5.80   	 26.49   	 -10.17		 13.94   	 137.33		 20.39   	 412.00		
 36.01   	  8.24   	 26.45(D)	  15.26		 14.49   	 116.99		 22.03   	 432.35		
 37.23   	 10.99   	 26.51   	  35.61		 14.95   	  86.47		 23.76   	 442.52		
 39.06   	 15.56   	 26.65   	  61.04		 15.30   	  86.47		 25.53   	 462.87		
 39.98   	 21.67   	 26.90   	  91.56		 15.65   	  76.30		 27.39   	 462.87		
 39.67   	 27.47   	 27.26   	 127.16		 15.95   	  81.38		 29.24   	 462.87		
 38.45   	 32.04   	 27.77   	 213.63		 16.28   	 122.07		 31.09   	 503.56		
 40.59   	 41.50   	 28.63   	 244.15		 16.76   	 137.33		 33.10   	 473.04		
 45.17   	 47.00   	 29.60   	 274.67		 17.31   	 147.51		 34.99   	 452.69		
 50.35   	 52.80   	 30.70   	 305.19		 17.90   	 162.77		 36.81   	 417.09		
 54.32   	 57.98   	 31.92   	 335.71		 18.56   	 183.11		 38.47   	 381.48		
 56.15   	 62.26   	 33.27   	 356.05		 19.29   	 193.29		 40.00   	 340.79		
 57.07   	 65.92   	 34.69   	 376.40		 20.06   	 188.20		 41.36   	 300.10		
 57.98   	 68.97   	 36.20   	 391.66		 20.81   	 193.29		 42.56   	 259.41		
 59.81   	 71.72   	 37.76   	 406.92		 21.59   	 193.29		 43.60   	 213.63		
 62.56   	 73.55   	 39.39   	 406.92		 22.36   	 183.11		 44.46   	 172.94		
 65.92   	 75.07   	 41.02   	 406.92		 23.09   	 172.94		 45.15   	 127.16		
 69.89   	 78.13   	 42.64   	 401.83		 23.78   	 157.68		 45.66   	  86.47		
 73.55   	 83.01   	 44.25   	 386.57		 24.41   	 147.51		 46.00   	  50.86		
 76.90   	 89.11   	 45.80   	 361.14		 25.00   	 132.25		 46.21   	  10.17		
 80.26   	 95.21   	 47.24   	 335.71		 25.53   	 116.99		 46.25(S)	 -25.43		
 83.92   	100.71   	 48.59   	 300.10		 26.00   	 106.82		 46.14   	 -55.95		
 88.20   	105.90   	 49.79   	 264.50		 26.43   	 101.73		 45.92   	 -86.47		
 93.99   	112.92   	 50.84   	 228.89		 26.84   	  91.56		 45.57   	-111.90		
101.62   	121.77   	 51.76   	 183.11		 27.20   	  81.38		 45.13   	-132.25		
111.39   	133.06   	 52.49   	 137.33		 27.53   	  81.38		 44.60   	-152.59		
122.68   	146.79   	 53.04   	  96.64		 27.85   	  71.21		 43.99   	-167.85		
135.50   	162.66   	 53.43   	  50.86		 28.14   	  61.04		 43.32   	-178.03		
148.62   	180.66   	 53.63   	  15.26		 28.38   	  50.86		 42.60   	-188.20		
161.74   	198.97   	 53.69(S)	 -20.35		 28.59   	  45.78		 41.85   	-193.29		
173.34   	214.54   	 53.61   	 -50.86		 28.77   	  35.61		 41.08   	-198.37		
181.58   	224.00   	 53.41   	-116.99		 28.91   	  20.35		 40.28   	-223.80		
184.02   	217.29   	 52.94   	-132.25		 28.99   	   5.09		 39.39   	-223.80		
177.31   	201.72   	 52.41   	-142.42		 29.01(S)	 -15.26		 38.49   	-218.72		
165.71   	180.05   	 51.84   	-157.68		 28.95   	 -25.43		 37.62   	-213.63		
150.76   	155.33   	 51.21   	-157.68		 28.85   	 -35.61		 36.76   	-208.54		
134.58   	130.62   	 50.58   	-167.85		 28.71   	 -55.95		 35.93   	-208.54		
118.41   	108.34   	 49.91   	-167.85		 28.48   	 -66.12		 35.10   	-203.46		
103.15   	 90.03   	 49.24   	-167.85		 28.22   	 -76.30		 34.28   	-208.54		
 89.42   	 75.07   	 48.57   	-172.94		 27.91   	 -96.64		 33.45   	-208.54		
 76.90   	 61.65   	 47.87   	-167.85		 27.53   	-106.82		 32.61   	-213.63		
 65.92   	 48.22   	 47.20   	-172.94		 27.10   	-116.99		 31.76   	-218.72		
 56.46   	 34.48   	 46.51   	-172.94		 26.63   	-132.25		 30.88   	-228.89		
 49.44   	 21.67   	 45.82   	-178.03		 26.10   	-147.51		 29.97   	-244.15		
 44.56   	 10.99   	 45.11   	-188.20		 25.51   	-162.77		 28.99   	-249.24		
 42.42   	  4.27   	 44.35   	-188.20		 24.86   	-172.94		 28.00   	-264.50		
 41.81   	  2.44   	 43.60   	-203.46		 24.17   	-183.11		 26.94   	-279.75		
 43.33   	  7.32   	 42.79   	-203.46		 23.44   	-193.29		 25.82   	-289.93		
 45.17   	 19.53   	 41.97   	-203.46		 22.67   	-188.20		 24.66   	-305.19		
 46.39   	 39.06   	 41.16   	-203.46		 21.91   	-172.94		 23.44   	-330.62		
 46.69   	 65.00   	 40.35   	-203.46		 21.22   	-147.51		 22.12   	-340.79		
 46.69   	 95.21   	 39.53   	-198.37		 20.63   	-137.33		 20.75   	-350.97		
 50.96   	129.70   	 38.74   	-188.20		 20.08   	-137.33		 19.35   	-361.14		
 62.56   	167.85   	 37.99   	-183.11		 19.53   	-122.07		 17.90   	-366.22		
 81.79   	208.13   	 37.25   	-167.85		 19.04   	 -91.56		 16.44   	-356.05		
104.06   	245.06   	 36.58   	-152.59		 18.68   	 -66.12		 15.02   	-356.05		
121.77   	271.00   	 35.97   	-152.59		 18.41   	 -61.04		 13.59   	-381.48		
119.02   	246.58   	 35.36   	-132.25		 18.17   	 -55.95		 12.07   	-356.05		
 95.52   	183.72   	 34.83   	-116.99		 17.94   	 -50.86		 10.64   	-335.71		
 61.95   	 94.91   	 34.36   	-106.82		 17.74   	 -66.12		  9.30   	-310.27		
 27.16   	  2.14   	 33.94   	 -96.64		 17.48   	 -76.30		  8.06   	-279.75		
  1.22   	-69.27   	 33.55   	 -81.38		 17.17   	 -86.47		  6.94   	-254.32		
-10.38   	-103.45   	 33.22   	 -71.21		 16.83   	 -86.47		  5.92   	-223.80		
 -9.77   	-104.37   	 32.94   	 -71.21		 16.48   	-101.73		  5.03   	-193.29		
 -4.27   	-90.03   	 32.66   	 -61.04		 16.07   	-101.73		  4.25   	-162.77		
 -1.83   	-79.65   	 32.41   	 -55.95		 15.67   	-106.82		  3.60   	-137.33		
 -4.58   	-81.79   	 32.19   	 -55.95		 15.24   	-106.82		  3.05   	-101.73		
 -9.77   	-92.47   	 31.96   	 -55.95		 14.81   	 -96.64		  2.64   	 -81.38		
-13.12   	-103.76   	 31.74   	 -50.86		 14.43   	 -91.56		  2.32   	 -50.86		
-12.51   	-114.14   	 31.54   	 -55.95		 14.06   	 -86.47		  2.12   	 -30.52		
 -2.14   	-132.45   	 31.31   	 -50.86		 13.71   	 -81.38		  1.99(D)	   0.00		
 30.21   	-166.32   	 31.11   	 -55.95		 13.39   	 -66.12		  1.99   	  15.26		
 88.50   	-190.43   	 30.88   	 -55.95		 13.12   	 -55.95		  2.05   	  40.69		
140.99   	-152.59   	 30.66   	 -50.86		 12.90   	 -45.78		  2.22   	  55.95		
114.75   	-36.32   	 30.46   	 -55.95		 12.72   	 -35.61		  2.44   	  66.12		
-65.92   	 89.11   	 30.23   	 -50.86		 12.57   	 -25.43		  2.71   	  86.47		
-417.79   	 86.67   	 30.03   	 -55.95		 12.47   	 -25.43		  3.05   	  91.56		
-857.24   	-163.27   	 29.81   	 -55.95		 12.37   	 -25.43		  3.42   	 106.82		
-1218.87   	-632.32   	 29.58   	 -50.86		 12.27   	 -25.43		  3.85   	 106.82		
-1339.72   	-1099.24   	 29.38   	 -45.78		 12.17   	 -30.52		  4.27   	 116.99		
-1157.84   	-1287.84(R)	 29.20   	 -50.86		 12.04   	 -30.52		  4.74(E)	 116.99		
-752.87   	-1077.88   	 28.99   	 -45.78		 11.92   	 -35.61		  5.21   	 127.16		
 40.28   	-102.84   	 28.81   	 -50.86		 11.78   	 -35.61		  5.72   	 122.07		
170.29   	151.67   	 28.61   	 -45.78		 11.64   	 -40.69		  6.21   	 127.16		
 15.87   	-28.99   	 28.42   	 -45.78		 11.48   	 -40.69		  6.71   	 122.07		
-56.15   	-150.45   	 28.24   	 -40.69		 11.31   	 -40.69		  7.20   	 111.90		
-54.63   	-157.47   	 28.08   	 -35.61		 11.15   	 -30.52		  7.65   	 106.82		
 -8.54   	-87.28   	 27.93   	 -35.61		 11.03   	 -25.43		  8.08   	  96.64		
 32.04   	-18.31   	 27.79   	 -40.69		 10.93(D)	   0.00		  8.46   	 101.73		
 39.37   	  2.14   	 27.63   	 -30.52		 10.93   	  45.78		  8.87   	  96.64		
 22.28   	-18.31   	 27.51   	 -35.61		 11.11   	  71.21		  9.26   	 106.82		
  5.19   	-44.56   	 27.37   	 -30.52		 11.39   	  40.69		  9.68   	 116.99		
  2.14   	-50.96   	 27.24   	 -35.61		 11.56   	  -5.09		 10.15   	 137.33		
  9.77   	-38.45   	 27.10   	 -35.61		 11.54   	 -10.17		 10.70   	 157.68		
 18.31   	-21.06   	 26.96   	 -30.52		 11.50   	  25.43		 11.33   	 178.03		
 22.89   	 -9.46   	 26.84   	 -30.52		 11.60   	  30.52		 12.04   	 213.63		
 23.80   	 -5.80   	 26.71   	 -35.61		 11.72   	  30.52		 12.90   	 239.06		
 22.89   	 -6.10   	 26.57   	 -30.52		 11.84   	  61.04		 13.86   	 274.67		
 21.36   	 -5.49   	 26.45   	 -35.61		 12.09   	  86.47		 14.95   	 300.10		
 21.06   	 -1.22   	 26.31   	 -25.43		 12.43   	 116.99		 16.15   	 335.71		
 21.97   	  6.41   	 26.21   	 -20.35		 12.90   	 142.42		 17.50   	 366.22		
 23.80   	 14.95   	 26.12   	 -15.26		 13.47   	 147.51		 18.96   	 391.66		
 24.72   	 21.97   	 26.06(D)	   0.00		 14.06   	 127.16		 20.53   	 422.18		
 25.02   	 26.86   	 26.06   	  15.26		 14.57   	 101.73		 22.22   	 437.43		
 25.02   	 31.13   	 26.12   	  40.69		 14.97   	  81.38		 23.97   	 457.78		
 25.94   	 35.40   	 26.29   	  71.21		 15.30   	  71.21		 25.80   	 462.87		
 28.08   	 39.67   	 26.57   	  96.64		 15.58   	  66.12		 27.65   	 473.04		
 31.13   	 43.95   	 26.96   	 127.16		 15.85   	  66.12		 29.54   	 473.04		
 34.48   	 48.22   	 27.47   	 213.63		 16.11   	 106.82		 31.43   	 508.65		
 40.28   	 58.29   	 28.32   	 249.24		 16.54   	 122.07		 33.47   	 483.21		
 42.72   	 64.39   	 29.32   	 279.75		 17.03   	 142.42		 35.40   	 457.78		
 45.47   	 70.80   	 30.44   	 310.27		 17.60   	 157.68		 37.23   	 422.18		
 48.22   	 75.68   	 31.68   	 335.71		 18.23   	 178.03		 38.92   	 386.57		
 50.05   	 78.43   	 33.02   	 361.14		 18.94   	 188.20		 40.47   	 345.88		
 50.96   	 79.04   	 34.47   	 386.57		 19.69   	 198.37		 41.85   	 305.19		
 50.66   	 79.04   	 36.01   	 401.83		 20.49   	 203.46		 43.07   	 264.50		
 50.96   	 79.35   	 37.62   	 412.00		 21.30   	 198.37		 44.13   	 218.72		
 52.80   	 81.48   	 39.27   	 422.18		 22.10   	 203.46		 45.00   	 178.03		
 57.07   	 85.75   	 40.96   	 417.09		 22.91   	 193.29		 45.72   	 132.25		
 62.87   	 91.55   	 42.62   	 406.92		 23.68   	 172.94		 46.25   	  91.56		
 68.97   	 97.96   	 44.25   	 396.74		 24.37   	 162.77		 46.61   	  55.95		
 73.85   	103.45   	 45.84   	 371.31		 25.03   	 147.51		 46.84   	  15.26		
 77.21   	107.73   	 47.32   	 345.88		 25.62   	 132.25		 46.90(S)	 -20.35		
 80.26   	111.69   	 48.71   	 315.36		 26.14   	 116.99		 46.82   	 -50.86		
 84.23   	117.19   	 49.97   	 274.67		 26.61   	 101.73		 46.61   	 -76.30		
 90.33   	124.51   	 51.07   	 233.98		 27.02   	  91.56		 46.31   	-106.82		
 98.57   	133.36   	 52.00   	 188.20		 27.39   	  91.56		 45.88   	-122.07		
108.34   	142.82   	 52.76   	 147.51		 27.75   	  81.38		 45.39   	-147.51		
118.41   	152.59   	 53.35   	 106.82		 28.08   	  76.30		 44.80   	-157.68		
129.09   	164.18   	 53.77   	  61.04		 28.38   	  71.21		 44.17   	-172.94		
141.30   	178.22   	 54.02   	  20.35		 28.67   	  71.21		 43.48   	-178.03		
155.03   	194.70   	 54.10(S)	 -10.17		 28.95   	  55.95		 42.77   	-188.20		
168.46   	209.96   	 54.06   	 -45.78		 29.18   	  55.95		 42.01   	-193.29		
179.44   	221.25   	 53.88   	-111.90		 29.40   	  30.52		 41.24   	-218.72		
183.11   	219.42   	 53.43   	-122.07		 29.52   	  20.35		 40.37   	-213.63		
175.48   	205.38   	 52.94   	-137.33		 29.60   	   5.09		 39.51   	-213.63		
162.66   	184.63   	 52.39   	-152.59		 29.62(S)	 -10.17		 38.66   	-208.54		
146.48   	159.61   	 51.78   	-157.68		 29.58   	 -20.35		 37.82   	-208.54		
128.78   	133.36   	 51.15   	-157.68		 29.50   	 -40.69		 36.99   	-198.37		
111.08   	108.34   	 50.52   	-162.77		 29.34   	 -55.95		 36.20   	-198.37		
 94.30   	 84.84   	 49.87   	-162.77		 29.11   	 -71.21		 35.40   	-203.46		
 79.65   	 63.17   	 49.22   	-162.77		 28.83   	 -86.47		 34.59   	-198.37		
 67.44   	 44.56   	 48.57   	-162.77		 28.48   	-106.82		 33.79   	-208.54		
 58.29   	 29.60   	 47.91   	-167.85		 28.06   	-116.99		 32.96   	-213.63		
 51.88   	 19.53   	 47.24   	-167.85		 27.59   	-132.25		 32.11   	-218.72		
 47.91   	 13.73   	 46.57   	-172.94		 27.06   	-147.51		 31.23   	-233.98		
 44.86   	 10.38   	 45.88   	-178.03		 26.47   	-167.85		 30.29   	-249.24		
 42.11   	  7.93   	 45.17   	-188.20		 25.80   	-183.11		 29.30   	-259.41		
 39.06   	  7.32   	 44.41   	-193.29		 25.07   	-198.37		 28.26   	-279.75		
 36.93   	 10.99   	 43.64   	-208.54		 24.27   	-203.46		 27.14   	-289.93		
 36.62   	 21.67   	 42.81   	-203.46		 23.46   	-208.54		 25.98   	-305.19		
 38.45   	 40.59   	 41.99   	-213.63		 22.62   	-198.37		 24.76   	-330.62		
 41.81   	 65.61   	 41.14   	-208.54		 21.83   	-167.85		 23.44   	-345.88		
 45.78   	 94.91   	 40.31   	-203.46		 21.16   	-142.42		 22.05   	-361.14		
 52.19   	128.17   	 39.49   	-203.46		 20.59   	-132.25		 20.61   	-366.22		
 63.78   	167.24   	 38.68   	-188.20		 20.06   	-122.07		 19.15   	-376.40		
 81.18   	211.79   	 37.92   	-178.03		 19.57   	-101.73		 17.64   	-371.31		
101.93   	254.52   	 37.21   	-167.85		 19.17   	 -66.12		 16.15   	-371.31		
119.63   	285.64   	 36.54   	-162.77		 18.90   	 -50.86		 14.67   	-401.83		
118.10   	259.09   	 35.89   	-147.51		 18.70   	 -45.78		 13.06   	-381.48		
 93.08   	191.04   	 35.30   	-132.25		 18.51   	 -45.78		 11.54   	-361.14		
 57.98   	 98.88   	 34.77   	-116.99		 18.33   	 -55.95		 10.09   	-330.62		
 22.58   	  4.88   	 34.30   	-101.73		 18.11   	 -71.21		  8.77   	-305.19		
 -2.75   	-65.61   	 33.90   	 -91.56		 17.82   	 -81.38		  7.55   	-274.67		
-13.12   	-97.96   	 33.53   	 -81.38		 17.50   	 -91.56		  6.45   	-249.24		
-11.60   	-97.96   	 33.20   	 -71.21		 17.13   	-106.82		  5.45   	-213.63		
 -6.71   	-83.62   	 32.92   	 -66.12		 16.70   	-111.90		  4.60   	-188.20		
 -4.88   	-74.16   	 32.66   	 -61.04		 16.26   	-111.90		  3.85   	-152.59		
 -7.63   	-76.60   	 32.41   	 -55.95		 15.81   	-116.99		  3.23   	-127.16		
-11.60   	-86.67   	 32.19   	 -55.95		 15.34   	-116.99		  2.73   	 -91.56		
-13.73   	-96.13   	 31.96   	 -50.86		 14.87   	-101.73		  2.36   	 -66.12		
-11.90   	-103.45   	 31.76   	 -50.86		 14.47   	 -96.64		  2.10   	 -40.69		
 -1.22   	-119.02   	 31.56   	 -50.86		 14.08   	 -81.38		  1.93   	 -15.26		
 29.60   	-151.06   	 31.35   	 -50.86		 13.75   	 -66.12		  1.87(D)	  10.17		
 86.67   	-178.22   	 31.15   	 -50.86		 13.49   	 -55.95		  1.91   	  30.52		
141.91   	-147.09   	 30.95   	 -55.95		 13.27   	 -45.78		  2.03   	  45.78		
123.90   	-35.71   	 30.72   	 -55.95		 13.08   	 -40.69		  2.22   	  71.21		
-44.25   	 92.77   	 30.50   	 -55.95		 12.92   	 -35.61		  2.50   	  81.38		
-386.96   	103.76   	 30.27   	 -55.95		 12.78   	 -35.61		  2.83   	  91.56		
-828.55   	-128.48   	 30.05   	 -55.95		 12.63   	 -30.52		  3.19   	 106.82		
-1208.19   	-591.13   	 29.83   	 -55.95		 12.51   	 -30.52		  3.62   	 111.90		
-1358.34   	-1073.61   	 29.60   	 -50.86		 12.39   	 -30.52		  4.07   	 116.99		
-1204.53   	-1294.25(R)	 29.40   	 -50.86		 12.27   	 -30.52		  4.54(E)	 116.99		
-812.99   	-1114.50   	 29.20   	 -50.86		 12.15   	 -35.61		  5.01   	 137.33		
  7.02   	-133.36   	 28.99   	 -50.86		 12.00   	 -35.61		  5.55   	 132.25		
160.22   	148.32   	 28.79   	 -45.78		 11.86   	 -35.61		  6.08   	 132.25		
 19.84   	-14.95   	 28.61   	 -45.78		 11.72   	 -35.61		  6.61   	 127.16		
-58.90   	-151.67   	 28.42   	 -45.78		 11.58   	 -40.69		  7.12   	 122.07		
-62.87   	-174.87   	 28.24   	 -40.69		 11.41   	 -35.61		  7.61   	 111.90		
-16.17   	-111.08   	 28.08   	 -35.61		 11.27   	 -25.43		  8.06   	 106.82		
 29.30   	-38.45   	 27.93   	 -40.69		 11.17   	  -5.09		  8.48   	 101.73		
 41.20   	-10.07   	 27.77   	 -35.61		 11.15(D)	  40.69		  8.89   	 106.82		
 25.02   	-24.41   	 27.63   	 -35.61		 11.31   	  66.12		  9.32   	 111.90		
  6.10   	-47.91   	 27.49   	 -30.52		 11.58   	  40.69		  9.77   	 122.07		
  0.92   	-54.93   	 27.37   	 -30.52		 11.74   	  -5.09		 10.25   	 137.33		
  7.32   	-44.86   	 27.24   	 -35.61		 11.72   	 -10.17		 10.80   	 157.68		
 15.56   	-30.52   	 27.10   	 -30.52		 11.68   	  15.26		 11.43   	 188.20		
 19.84   	-21.97   	 26.98   	 -30.52		 11.74   	  25.43		 12.19   	 208.54		
 20.14   	-19.23   	 26.86   	 -35.61		 11.84   	  40.69		 13.02   	 244.15		
 19.53   	-17.70   	 26.71   	 -30.52		 12.00   	  61.04		 14.00   	 269.58		
 19.53   	-13.43   	 26.59   	 -30.52		 12.25   	  86.47		 15.08   	 305.19		
 21.36   	 -6.10   	 26.47   	 -30.52		 12.59   	 116.99		 16.30   	 335.71		
 24.41   	  2.75   	 26.35   	 -20.35		 13.06   	 142.42		 17.64   	 366.22		
 27.16   	 10.99   	 26.27   	 -15.26		 13.63   	 157.68		 19.10   	 396.74		
 28.08   	 17.40   	 26.21   	  -5.09		 14.26   	 132.25		 20.69   	 417.09		
 27.47   	 22.28   	 26.19(D)	  10.17		 14.79   	 101.73		 22.36   	 442.52		
 26.86   	 26.86   	 26.23   	  40.69		 15.20   	  76.30		 24.13   	 452.69		
 28.38   	 31.43   	 26.39   	  61.04		 15.50   	  61.04		 25.94   	 467.95		
 31.13   	 35.71   	 26.63   	  91.56		 15.75   	  61.04		 27.81   	 473.04		
 34.18   	 38.76   	 27.00   	 127.16		 15.99   	  66.12		 29.70   	 473.04		
 36.62   	 41.81   	 27.51   	 218.72		 16.26   	 111.90		 31.60   	 508.65		
 38.76   	 53.10   	 28.38   	 249.24		 16.70   	 127.16		 33.63   	 488.30		
 39.67   	 60.42   	 29.38   	 279.75		 17.21   	 147.51		 35.58   	 457.78		
 41.20   	 66.83   	 30.50   	 315.36		 17.80   	 162.77		 37.42   	 427.26		
 43.95   	 70.80   	 31.76   	 335.71		 18.45   	 178.03		 39.12   	 391.66		
 47.00   	 72.63   	 33.10   	 366.22		 19.17   	 188.20		 40.69   	 350.97		
 50.66   	 73.85   	 34.57   	 381.48		 19.92   	 188.20		 42.10   	 310.27		
 53.71   	 76.60   	 36.09   	 406.92		 20.67   	 198.37		 43.34   	 269.58		
 56.76   	 81.79   	 37.72   	 412.00		 21.46   	 198.37		 44.41   	 223.80		
 59.20   	 87.59   	 39.37   	 422.18		 22.26   	 183.11		 45.31   	 183.11		
 61.04   	 92.16   	 41.06   	 417.09		 22.99   	 178.03		 46.04   	 137.33		
 63.17   	 93.99   	 42.73   	 417.09		 23.70   	 172.94		 46.59   	  91.56		
 65.92   	 93.99   	 44.39   	 396.74		 24.39   	 157.68		 46.96   	  55.95		
 69.89   	 94.30   	 45.98   	 381.48		 25.03   	 142.42		 47.18   	  20.35		
 74.77   	 96.74   	 47.51   	 350.97		 25.60   	 137.33		 47.26(S)	 -15.26		
 80.26   	102.23   	 48.91   	 320.45		 26.14   	 122.07		 47.20   	 -45.78		
 86.06   	109.56   	 50.19   	 279.75		 26.63   	 116.99		 47.02   	 -76.30		
 91.86   	117.80   	 51.31   	 239.06		 27.10   	 101.73		 46.71   	-101.73		
 98.57   	127.26   	 52.27   	 198.37		 27.51   	  96.64		 46.31   	-122.07		
105.90   	139.47   	 53.06   	 147.51		 27.89   	  91.56		 45.82   	-142.42		
113.83   	153.50   	 53.65   	 106.82		 28.26   	  86.47		 45.25   	-162.77		
123.29   	168.46   	 54.08   	  66.12		 28.61   	  71.21		 44.60   	-167.85		
133.67   	182.80   	 54.34   	  20.35		 28.89   	  61.04		 43.93   	-183.11		
145.57   	195.92   	 54.43(S)	 -15.26		 29.14   	  50.86		 43.19   	-183.11		
158.08   	208.13   	 54.36   	 -45.78		 29.34   	  50.86		 42.46   	-193.29		
