SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  DAO     	  DAO'		
106.51   	-433.96   	 24.54   	-335.71		 85.19   	-239.06		
105.90   	-408.33   	 23.19   	-381.48		 84.23   	-228.89		
103.45   	-386.05   	 21.67   	-427.26		 83.32   	-203.46		
100.10   	-369.57   	 19.96   	-427.26		 82.50   	-178.03		
 95.83   	-359.80   	 18.25   	-386.57		 81.79   	-162.77		
 89.72   	-356.14   	 16.70   	-350.97		 81.14   	-147.51		
 82.09   	-356.75   	 15.30   	-330.62		 80.55   	-142.42		
 74.77   	-359.19   	 13.98   	-289.93		 79.98   	-157.68		
 70.50   	-360.72   	 12.82   	-239.06		 79.35   	-152.59		
 70.50   	-359.19   	 11.86   	-178.03		 78.74   	-147.51		
 73.55   	-353.70   	 11.15   	-137.33		 78.15   	-137.33		
 77.21   	-342.71   	 10.60   	-116.99		 77.60   	-137.33		
 80.26   	-326.54   	 10.13   	 -91.56		 77.05   	-127.16		
 82.09   	-307.31   	  9.77   	 -86.47		 76.54   	-116.99		
 83.01   	-286.56   	  9.42   	 -81.38		 76.07   	-122.07		
 83.31   	-266.42   	  9.09   	 -96.64		 75.58   	-116.99		
 83.62   	-248.41   	  8.71   	-111.90		 75.12   	-116.99		
 83.01   	-233.15   	  8.26   	-106.82		 74.65   	-101.73		
 82.70   	-221.86   	  7.83   	 -76.30		 74.24   	 -91.56		
 82.09   	-216.06   	  7.53   	 -35.61		 73.88   	 -86.47		
 80.87   	-215.76   	  7.39   	   5.09		 73.53   	 -81.38		
 79.96   	-219.12   	  7.41   	  40.69		 73.20   	 -71.21		
 79.35   	-223.69   	  7.57   	  61.04		 72.92   	 -66.12		
 80.87   	-227.66   	  7.81   	  71.21		 72.65   	 -61.04		
 86.06   	-229.80   	  8.10   	  61.04		 72.41   	 -55.95		
 95.21   	-227.97   	  8.34   	  35.61		 72.19   	 -61.04		
105.59   	-218.81   	  8.48   	  20.35		 71.94   	 -55.95		
113.53   	-200.81   	  8.57   	  -5.09		 71.72   	 -50.86		
116.88   	-175.17   	  8.55   	 -20.35		 71.52   	 -50.86		
113.83   	-146.79   	  8.46   	 -35.61		 71.31   	 -50.86		
104.68   	-121.77   	  8.32   	 -45.78		 71.11   	 -50.86		
 89.72   	-103.15   	  8.14   	 -55.95		 70.91   	 -50.86		
 70.80   	-90.33   	  7.91   	 -71.21		 70.70   	 -55.95		
 50.96   	-80.57   	  7.63   	 -71.21		 70.48   	 -61.04		
 35.10   	-72.63   	  7.34   	 -66.12		 70.23   	 -61.04		
 28.69   	-66.83   	  7.08   	 -45.78		 69.99   	 -61.04		
 32.65   	-62.87   	  6.90   	 -30.52		 69.75   	 -50.86		
 43.03   	-60.73   	  6.78   	  -5.09		 69.54   	 -55.95		
 51.88   	-59.81   	  6.75(D)	   5.09		 69.32   	 -55.95		
 50.66   	-61.34   	  6.78   	  25.43		 69.09   	 -50.86		
 36.93   	-68.66   	  6.88   	  50.86		 68.89   	 -55.95		
 15.56   	-83.31   	  7.08   	  66.12		 68.67   	 -55.95		
 -4.27   	-102.84   	  7.34   	  71.21		 68.44   	 -61.04		
-14.34   	-121.77   	  7.63   	  66.12		 68.20   	 -61.04		
-13.73   	-133.67   	  7.89   	  55.95		 67.95   	 -61.04		
 -7.93   	-138.24   	  8.12   	  40.69		 67.71   	 -66.12		
 -3.97   	-138.24   	  8.28   	  25.43		 67.45   	 -61.04		
 -6.41   	-138.85   	  8.38   	  20.35		 67.20   	 -61.04		
-13.43   	-141.91   	  8.46   	  15.26		 66.96   	 -61.04		
-20.45   	-146.18   	  8.52   	   5.09		 66.71   	 -66.12		
-23.50   	-149.54   	  8.55   	   0.00		 66.45   	 -71.21		
-21.36   	-149.54   	  8.55   	 -10.17		 66.16   	 -71.21		
-15.26   	-145.57   	  8.50   	 -15.26		 65.88   	 -66.12		
 -7.93   	-137.33   	  8.44   	 -20.35		 65.62   	 -66.12		
 -1.53   	-126.65   	  8.36   	 -15.26		 65.35   	 -71.21		
  2.14   	-115.97   	  8.30   	   5.09		 65.07   	 -71.21		
  1.53   	-108.34   	  8.32   	  25.43		 64.78   	 -66.12		
 -3.97   	-103.15   	  8.42   	  40.69		 64.52   	 -66.12		
-15.26   	-96.44   	  8.59   	  66.12		 64.25   	 -61.04		
-31.43   	-86.98   	  8.85   	  91.56		 64.01   	 -66.12		
-39.37   	-86.36   	  9.22   	  91.56		 63.74   	 -61.04		
 -9.16   	-114.75   	  9.58   	  66.12		 63.50   	 -66.12		
 96.44   	-167.54   	  9.85   	  20.35		 63.23   	 -71.21		
294.49   	-209.96   	  9.93   	 -15.26		 62.95   	 -66.12		
552.67   	-202.33   	  9.87   	 -15.26		 62.69   	 -66.12		
770.87   	-134.58   	  9.81   	 -10.17		 62.42   	 -61.04		
827.64   	-63.17   	  9.77   	   0.00		 62.18   	 -55.95		
664.06   	-80.26   	  9.77(E)	   5.09		 61.95   	 -55.95		
329.28   	-233.15   	  9.79   	  10.17		 61.73   	 -55.95		
-35.40   	-476.99   	  9.83   	  20.35		 61.51   	 -55.95		
-280.15   	-704.04   	  9.91   	  15.26		 61.28   	 -66.12		
-345.15   	-823.06(R)	  9.97   	  15.26		 61.02   	 -55.95		
-287.78   	-820.92   	 10.03   	  15.26		 60.79   	 -45.78		
-219.12   	-760.19   	 10.09   	  10.17		 60.61   	 -50.86		
-216.06   	-717.16   	 10.13   	   0.00		 60.41   	 -61.04		
-281.98   	-723.88   	 10.13   	   0.00		 60.16   	 -50.86		
-363.16   	-757.14   	 10.13   	  10.17		 59.96   	 -45.78		
-403.14   	-769.04   	 10.17   	  30.52		 59.78   	 -50.86		
-379.64   	-723.88   	 10.29   	  25.43		 59.57   	 -50.86		
-307.01   	-615.23   	 10.40   	  30.52		 59.37   	 -50.86		
-213.01   	-462.04   	 10.52   	  30.52		 59.17   	 -55.95		
-120.24   	-295.41   	 10.64   	  50.86		 58.94   	 -55.95		
-42.72   	-148.01   	 10.84   	  81.38		 58.72   	 -55.95		
