SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  DAO     	  DAO'		  RV     	  RV'		
 46.37   	 -40.69		  2.87   	  55.95		
 46.21   	 -35.61		  3.09   	  50.86		
 46.06   	 -35.61		  3.30   	  61.04		
 45.92   	 -35.61		  3.54   	  71.21		
 45.78   	 -45.78		  3.83   	  66.12		
 45.59   	 -45.78		  4.09   	  71.21		
 45.41   	 -50.86		  4.37   	  71.21		
 45.21   	 -50.86		  4.66   	  76.30		
 45.00   	 -45.78		  4.96   	  71.21		
 44.82   	 -40.69		  5.25   	  76.30		
 44.66   	 -45.78		  5.55   	  86.47		
 44.48   	 -45.78		  5.90   	  86.47		
 44.29   	 -50.86		  6.25   	 101.73		
 44.09   	 -55.95		  6.65   	 116.99		
 43.87   	 -45.78		  7.12   	 127.16		
 43.68   	 -40.69		  7.63   	 147.51		
 43.52   	 -35.61		  8.22   	 172.94		
 43.38   	 -30.52		  8.91   	 203.46		
 43.26   	 -25.43		  9.73   	 223.80		
 43.15   	 -30.52		 10.62   	 249.24		
 43.03   	 -45.78		 11.62   	 269.58		
 42.85   	 -45.78		 12.70   	 295.01		
 42.67   	 -40.69		 13.88   	 315.36		
 42.50   	 -35.61		 15.14   	 345.88		
 42.36   	 -25.43		 16.52   	 427.26		
 42.26   	 -25.43		 18.23   	 432.35		
 42.16(D)	   0.00		 19.96   	 432.35		
 42.16   	  40.69		 21.69   	 422.18		
 42.32   	  86.47		 23.38   	 417.09		
 42.67   	 147.51		 25.05   	 396.74		
 43.26   	 208.54		 26.63   	 391.66		
 44.09   	 259.41		 28.20   	 381.48		
 45.13   	 289.93		 29.73   	 361.14		
 46.29   	 300.10		 31.17   	 340.79		
 47.49   	 305.19		 32.53   	 320.45		
 48.71   	 300.10		 33.81   	 300.10		
 49.91   	 284.84		 35.02   	 284.84		
 51.05   	 259.41		 36.15   	 259.41		
 52.09   	 228.89		 37.19   	 244.15		
 53.00   	 188.20		 38.17   	 223.80		
 53.75   	 147.51		 39.06   	 208.54		
 54.34   	 111.90		 39.90   	 183.11		
 54.79   	  91.56		 40.63   	 162.77		
 55.16   	  81.38		 41.28   	 152.59		
 55.48   	  81.38		 41.89   	 137.33		
 55.81   	  81.38		 42.44   	 127.16		
 56.13   	  71.21		 42.95   	 116.99		
 56.42   	  71.21		 43.42   	 101.73		
 56.70   	  86.47		 43.82   	  91.56		
 57.05   	 127.16		 44.19   	  71.21		
 57.56   	 142.42		 44.48   	  66.12		
 58.13   	 147.51		 44.74   	  55.95		
 58.72   	 152.59		 44.96   	  50.86		
 59.33   	 152.59		 45.17   	  45.78		
 59.94   	 152.59		 45.35   	  25.43		
 60.55   	 142.42		 45.45   	  20.35		
 61.12   	 147.51		 45.53   	  15.26		
 61.71   	 142.42		 45.59(S)	  -5.09		
 62.28   	 132.25		 45.57   	 -10.17		
 62.81   	 116.99		 45.53   	 -15.26		
 63.28   	 111.90		 45.47   	 -25.43		
 63.72   	  86.47		 45.37   	 -40.69		
 64.07   	  71.21		 45.21   	 -50.86		
 64.35   	  66.12		 45.00   	 -55.95		
 64.62   	  55.95		 44.78   	 -66.12		
 64.84   	  40.69		 44.52   	 -76.30		
 65.00   	  30.52		 44.21   	 -81.38		
 65.13   	  15.26		 43.89   	 -96.64		
 65.19(S)	   0.00		 43.50   	-111.90		
 65.19   	  -5.09		 43.05   	-111.90		
