SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		
-97.35   	360.72   	  7.22   	  -5.09		
-145.57   	311.89   	  7.20   	  -5.09		
-185.55   	275.27   	  7.18   	   0.00		
-208.13   	258.48   	  7.18   	   5.09		
-213.62   	257.87   	  7.20   	   0.00		
-213.62   	257.87   	  7.20   	  25.43		
-212.71   	255.74   	  7.30   	   0.00		
-212.71   	255.74   	  7.30   	  40.69		
-229.80   	228.27   	  7.47   	   0.00		
-229.80   	228.27   	  7.47   	  25.43		
-235.90   	220.95   	  7.57   	   0.00		
-235.90   	220.95   	  7.57   	   5.09		
-232.54   	224.91   	  7.59   	   0.00		
-232.54   	224.91   	  7.59   	 -55.95		
-231.63   	221.25   	  7.37   	   0.00		
-231.63   	221.25   	  7.37   	-101.73		
-224.00   	225.22   	  6.96   	 -45.78		
-224.00   	225.83   	  6.78   	 -35.61		
-230.41   	221.56   	  6.63   	 -25.43		
-242.61   	213.93   	  6.53   	 -25.43		
-259.40   	205.69   	  6.43   	 -25.43		
