SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
  5.70   	 -15.26		 55.69   	 -20.35		
  5.64   	 -10.17		 55.61   	 -20.35		
  5.60   	 -10.17		 55.52   	 -20.35		
  5.55   	 -10.17		 55.44   	 -20.35		
  5.51   	  -5.09		 55.36   	 -25.43		
  5.49   	   0.00		 55.26   	 -20.35		
  5.49   	   5.09		 55.18   	 -20.35		
  5.51   	   5.09		 55.10   	 -15.26		
  5.53   	  15.26		 55.04   	 -20.35		
  5.60   	  10.17		 54.95   	 -20.35		
  5.64   	  15.26		 54.87   	 -20.35		
  5.70   	  15.26		 54.79   	 -20.35		
  5.76   	  15.26		 54.71   	 -15.26		
  5.82   	  15.26		 54.65   	 -20.35		
  5.88   	  10.17		 54.57   	 -15.26		
  5.92   	   5.09		 54.51   	 -15.26		
  5.94   	   5.09		 54.45   	 -15.26		
  5.96   	   5.09		 54.38   	 -20.35		
  5.98   	   0.00		 54.30   	 -15.26		
  5.98   	  -5.09		 54.24   	 -20.35		
  5.96   	 -10.17		 54.16   	 -20.35		
  5.92   	  -5.09		 54.08   	 -20.35		
  5.90   	 -10.17		 54.00   	 -20.35		
  5.86   	  -5.09		 53.92   	 -20.35		
  5.84   	 -10.17		 53.83   	 -20.35		
  5.80   	  -5.09		 53.75   	 -20.35		
  5.78   	 -10.17		 53.67   	 -20.35		
  5.74   	  -5.09		 53.59   	 -20.35		
  5.72   	   0.00		 53.51   	 -15.26		
  5.72   	   0.00		 53.45   	 -20.35		
  5.72   	   0.00		 53.37   	 -15.26		
  5.72   	   0.00		 53.31   	 -15.26		
  5.72   	   5.09		 53.24   	 -15.26		
  5.74   	  -5.09		 53.18   	 -15.26		
  5.72   	  -5.09		 53.12   	 -20.35		
  5.70   	  -5.09		 53.04   	 -15.26		
  5.68   	 -10.17		 52.98   	 -20.35		
  5.64   	 -10.17		 52.90   	 -20.35		
  5.60   	 -10.17		 52.82   	 -20.35		
  5.55   	  -5.09		 52.74   	 -20.35		
  5.53   	  -5.09		 52.65   	 -20.35		
  5.51   	   0.00		 52.57   	 -20.35		
  5.51   	   5.09		 52.49   	 -15.26		
  5.53   	  20.35		 52.43   	 -20.35		
  5.62   	  30.52		 52.35   	 -20.35		
  5.74   	  40.69		 52.27   	 -20.35		
  5.90   	  50.86		 52.19   	 -15.26		
  6.10   	  61.04		 52.13   	 -20.35		
  6.35   	  71.21		 52.04   	 -15.26		
  6.63   	  71.21		 51.98   	 -15.26		
  6.92   	  66.12		 51.92   	 -15.26		
  7.18   	  61.04		 51.86   	 -15.26		
  7.43   	  50.86		 51.80   	 -15.26		
  7.63   	  35.61		 51.74   	 -15.26		
  7.77   	  25.43		 51.68   	 -20.35		
  7.87   	  15.26		 51.60   	 -15.26		
  7.93   	  -5.09		 51.54   	 -15.26		
  7.91   	 -10.17		 51.47   	 -20.35		
  7.87   	 -15.26		 51.39   	 -20.35		
  7.81   	 -30.52		 51.31   	 -20.35		
  7.69   	 -25.43		 51.23   	 -20.35		
  7.59   	 -20.35		 51.15   	 -20.35		
  7.51   	 -15.26		 51.07   	 -25.43		
  7.45   	 -10.17		 50.97   	 -20.35		
  7.41(E)	   5.09		 50.88   	 -20.35		
  7.43   	   5.09		 50.80   	 -20.35		
  7.45   	  20.35		 50.72   	 -20.35		
  7.53   	  30.52		 50.64   	 -20.35		
  7.65   	  35.61		 50.56   	 -20.35		
  7.79   	  40.69		 50.48   	 -25.43		
  7.96   	  45.78		 50.38   	 -20.35		
  8.14   	  50.86		 50.29   	 -25.43		
  8.34   	  66.12		 50.19   	 -20.35		
  8.61   	 111.90		 50.11   	 -20.35		
  9.05   	 162.77		 50.03   	 -20.35		
  9.70   	 193.29		 49.95   	 -15.26		
 10.48   	 228.89		 49.89   	 -15.26		
 11.39   	 274.67		 49.83   	 -15.26		
