SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RFA     	  RFA'		  RV     	  RV'		
-74.77   	-79.65   	 80.10   	 -50.86		  0.69   	 -45.78		
-74.77   	-79.04   	 79.90   	 -61.04		  0.51   	 -55.95		
-75.07   	-77.82   	 79.65   	 -66.12		  0.28   	 -45.78		
-76.60   	-73.85   	 79.39   	 -66.12		  0.10   	 -15.26		
-81.18   	-59.20   	 79.12   	 -66.12		  0.04   	  -5.09		
-87.89   	-26.25   	 78.86   	 -71.21		  0.02   	  25.43		
-92.47   	 24.41   	 78.58   	 -71.21		  0.12   	  71.21		
-83.31   	 82.09   	 78.29   	 -71.21		  0.41   	  86.47		
-47.30   	136.11   	 78.01   	 -76.30		  0.75   	 101.73		
 26.55   	184.02   	 77.70   	 -66.12		  1.16   	 142.42		
137.33   	220.64   	 77.44   	-132.25		  1.73   	 300.10		
355.22   	144.35   	 76.91   	 -61.04		  2.93   	 137.33		
367.13   	-15.26   	 76.66   	 -66.12		  3.48   	 127.16		
272.83   	-222.17   	 76.40   	 -66.12		  3.99   	  81.38		
 93.99   	-397.95   	 76.13   	 -66.12		  4.31   	  40.69		
-102.84   	-478.21(R)	 75.87   	 -66.12		  4.48(E)	 -10.17		
-239.56   	-466.31   	 75.60   	 -71.21		  4.44   	 -35.61		
-274.66   	-423.58   	 75.32   	 -71.21		  4.29   	 -45.78		
-220.34   	-408.33   	 75.04   	 -71.21		  4.11   	 -40.69		
-128.17   	-422.97   	 74.75   	 -66.12		  3.95   	 -35.61		
-51.88   	-422.97   	 74.49   	 -66.12		  3.80   	 -10.17		
-17.09   	-364.07   	 74.22   	 -61.04		  3.76   	  30.52		
