SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 61.04   	 701.93		 45.23   	 111.90		
 63.85   	 712.10		 45.68   	 106.82		
 66.69   	 686.67		 46.10   	 111.90		
 69.44   	 645.98		 46.55   	 122.07		
 72.02   	 584.94		 47.04   	 132.25		
 74.36   	 528.99		 47.57   	 137.33		
 76.48   	 457.78		 48.12   	 142.42		
 78.31   	 666.32		 48.69   	 183.11		
 80.98   	 208.54		 49.42   	 178.03		
 81.81   	 147.51		 50.13   	 172.94		
 82.40   	  91.56		 50.82   	 172.94		
 82.77   	  25.43		 51.52   	 162.77		
 82.87(S)	 -15.26		 52.17   	 157.68		
 82.81   	 -50.86		 52.80   	 142.42		
 82.60   	 -61.04		 53.37   	 127.16		
 82.36   	 -81.38		 53.88   	 111.90		
 82.03   	 -96.64		 54.32   	  91.56		
 81.65   	-106.82		 54.69   	  81.38		
 81.22   	-106.82		 55.02   	  61.04		
 80.79   	-122.07		 55.26   	  40.69		
 80.30   	-127.16		 55.42   	  25.43		
 79.80   	-142.42		 55.52   	  10.17		
 79.23   	-142.42		 55.56(S)	 -10.17		
 78.66   	-147.51		 55.52   	 -20.35		
 78.07   	-162.77		 55.44   	 -30.52		
 77.42   	-162.77		 55.32   	 -45.78		
 76.76   	-162.77		 55.14   	 -50.86		
 76.11   	-162.77		 54.93   	 -66.12		
 75.46   	-167.85		 54.67   	 -71.21		
 74.79   	-162.77		 54.38   	 -81.38		
 74.14   	-147.51		 54.06   	 -91.56		
 73.55   	-132.25		 53.69   	-106.82		
 73.02   	-244.15		 53.27   	-147.51		
 72.04   	-101.73		 52.68   	-167.85		
 71.64   	 -91.56		 52.00   	-198.37		
 71.27   	 -91.56		 51.21   	-228.89		
 70.91   	 -91.56		 50.29   	-259.41		
 70.54   	 -91.56		 49.26   	-305.19		
 70.17   	-101.73		 48.04   	-345.88		
 69.77   	-116.99		 46.65   	-401.83		
 69.30   	-142.42		 45.05   	-447.61		
 68.73   	-162.77		 43.26   	-498.47		
 68.08   	-183.11		 41.26   	-539.16		
