SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  RV     	  RV'		
 53.51   	 -15.26		 17.23   	 345.88		
 53.45   	 -25.43		 18.62   	 376.40		
 53.35   	 -25.43		 20.12   	 396.74		
 53.24   	 -25.43		 21.71   	 417.09		
 53.14   	 -25.43		 23.38   	 432.35		
 53.04   	 -20.35		 25.11   	 427.26		
 52.96   	 -20.35		 26.82   	 417.09		
 52.88   	 -20.35		 28.48   	 401.83		
 52.80   	 -20.35		 30.09   	 381.48		
 52.72   	 -15.26		 31.62   	 345.88		
 52.65   	 -20.35		 33.00   	 305.19		
 52.57   	 -15.26		 34.22   	 264.50		
 52.51   	 -20.35		 35.28   	 218.72		
 52.43   	 -20.35		 36.15   	 167.85		
 52.35   	 -25.43		 36.83   	 132.25		
 52.25   	 -30.52		 37.35   	  86.47		
 52.13   	 -20.35		 37.70   	  55.95		
 52.04   	 -25.43		 37.92   	  25.43		
 51.94   	 -15.26		 38.03   	  10.17		
 51.88   	 -15.26		 38.07   	  -5.09		
 51.82   	 -20.35		 38.05   	 -10.17		
 51.74   	 -20.35		 38.01   	  -5.09		
 51.66   	 -15.26		 37.99   	   0.00		
 51.60   	 -25.43		 37.99   	  10.17		
 51.50   	 -20.35		 38.03   	  30.52		
 51.41   	 -25.43		 38.15   	  40.69		
 51.31   	 -15.26		 38.31   	  50.86		
 51.25   	 -15.26		 38.51   	  71.21		
 51.19   	  -5.09		 38.80   	  76.30		
 51.17(D)	   0.00		 39.10   	  86.47		
 51.17   	  10.17		 39.45   	  91.56		
 51.21   	  30.52		 39.82   	  96.64		
 51.33   	  55.95		 40.20   	  96.64		
 51.56   	 106.82		 40.59   	 101.73		
 51.98   	 147.51		 41.00   	  96.64		
 52.57   	 188.20		 41.38   	  96.64		
 53.33   	 228.89		 41.77   	  91.56		
 54.24   	 244.15		 42.14   	  81.38		
 55.22   	 259.41		 42.46   	  81.38		
 56.26   	 269.58		 42.79   	  76.30		
 57.33   	 269.58		 43.09   	  71.21		
 58.41   	 269.58		 43.38   	  71.21		
 59.49   	 279.75		 43.66   	  66.12		
 60.61   	 274.67		 43.93   	  61.04		
 61.71   	 279.75		 44.17   	  55.95		
 62.83   	 274.67		 44.39   	  55.95		
 63.93   	 274.67		 44.62   	  50.86		
 65.03   	 274.67		 44.82   	  55.95		
 66.12   	 274.67		 45.05   	  50.86		
 67.22   	 269.58		 45.25   	  61.04		
 68.30   	 269.58		 45.49   	  66.12		
 69.38   	 269.58		 45.76   	  66.12		
 70.46   	 259.41		 46.02   	  71.21		
 71.50   	 259.41		 46.31   	  61.04		
 72.53   	 259.41		 46.55   	  55.95		
 73.57   	 254.32		 46.77   	  40.69		
 74.59   	 254.32		 46.94   	  40.69		
 75.60   	 249.24		 47.10   	  25.43		
 76.60   	 249.24		 47.20   	  25.43		
 77.60   	 244.15		 47.30   	  15.26		
 78.58   	 239.06		 47.37   	  10.17		
 79.53   	 228.89		 47.41   	   5.09		
 80.45   	 213.63		 47.43(S)	  -5.09		
 81.30   	 203.46		 47.41   	 -15.26		
 82.12   	 193.29		 47.34   	 -25.43		
 82.89   	 178.03		 47.24   	 -40.69		
 83.60   	 162.77		 47.08   	 -50.86		
 84.25   	 147.51		 46.88   	 -66.12		
 84.84   	 132.25		 46.61   	 -66.12		
 85.37   	 111.90		 46.35   	 -66.12		
 85.82   	  96.64		 46.08   	 -76.30		
 86.21   	  76.30		 45.78   	 -71.21		
 86.51   	  61.04		 45.49   	 -81.38		
 86.75   	  45.78		 45.17   	 -91.56		
 86.94   	  30.52		 44.80   	-106.82		
 87.06   	  20.35		 44.37   	-122.07		
 87.14(S)	   0.00		 43.89   	-142.42		
 87.14   	 -15.26		 43.32   	-162.77		
 87.08   	 -25.43		 42.67   	-183.11		
 86.98   	 -30.52		 41.93   	-203.46		
 86.86   	 -45.78		 41.12   	-239.06		
 86.67   	 -50.86		 40.16   	-269.58		
 86.47   	 -66.12		 39.08   	-305.19		
 86.21   	 -71.21		 37.86   	-345.88		
 85.92   	 -81.38		 36.48   	-386.57		
 85.59   	 -86.47		 34.93   	-432.35		
 85.25   	 -91.56		 33.20   	-467.95		
 84.88   	-101.73		 31.33   	-488.30		
 84.48   	-101.73		 29.38   	-508.65		
 84.07   	-101.73		 27.34   	-503.56		
 83.66   	-111.90		 25.33   	-498.47		
 83.21   	-106.82		 23.34   	-488.30		
 82.79   	-111.90		 21.38   	-478.13		
 82.34   	-106.82		 19.47   	-462.87		
 81.91   	-111.90		 17.62   	-447.61		
 81.46   	-111.90		 15.83   	-427.26		
 81.02   	-116.99		 14.12   	-391.66		
 80.55   	-122.07		 12.55   	-356.05		
 80.06   	-137.33		 11.13   	-310.27		
 79.51   	-137.33		  9.89   	-269.58		
 78.96   	-147.51		  8.81   	-228.89		
 78.37   	-142.42		  7.89   	-193.29		
 77.80   	-147.51		  7.12   	-172.94		
 77.21   	-147.51		  6.43   	-152.59		
 76.62   	-147.51		  5.82   	-132.25		
 76.03   	-142.42		  5.29   	-116.99		
 75.46   	-147.51		  4.82   	-101.73		
 74.87   	-137.33		  4.42   	 -81.38		
 74.32   	-137.33		  4.09   	 -66.12		
 73.77   	-132.25		  3.83   	 -45.78		
 73.24   	-132.25		  3.64   	 -40.69		
 72.72   	-132.25		  3.48   	 -35.61		
 72.19   	-122.07		  3.34   	 -25.43		
 71.70   	-122.07		  3.23   	 -30.52		
 71.21   	-116.99		  3.11   	 -20.35		
 70.74   	-111.90		  3.03   	 -20.35		
 70.29   	-116.99		  2.95   	  -5.09		
