SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  AO     	  AO'		  RV     	  RV'		
 43.03   	-464.48   	 39.17   	 -45.78		  8.52   	-122.07		
122.99   	-327.76   	 38.98   	 -45.78		  8.04   	-111.90		
226.44   	167.54   	 38.80   	 -50.86		  7.59   	 -96.64		
 79.65   	1052.55(R)	 38.60   	 -55.95		  7.20(E)	 -81.38		
-441.59   	1022.64   	 38.37   	 -50.86		  6.88   	 -71.21		
-683.59   	345.76   	 38.17   	 -61.04		  6.59   	 -66.12		
-596.31   	-638.12   	 37.92   	 -55.95		  6.33   	 -45.78		
-288.39   	-1052.25   	 37.70   	 -55.95		  6.14   	 -40.69		
-94.30   	-451.05   	 37.48   	 -61.04		  5.98   	 -30.52		
  7.93   	-80.57   	 37.23   	 -55.95		  5.86   	 -20.35		
  4.58   	-40.28   	 37.01   	 -50.86		  5.78   	 -10.17		
-59.20   	-176.09   	 36.81   	 -50.86		  5.74(D)	   0.00		
-74.77   	-285.64   	 36.60   	 -40.69		  5.74   	   5.09		
-30.21   	-257.26   	 36.44   	 -40.69		  5.76   	  15.26		
