SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  FA     	  FA'		  LPA     	  LPA'		  RV     	  RV'		
170.59   	 22.58   	 55.44   	 -45.78		 41.14   	-122.07		 53.35   	 203.46		
176.09   	  7.93   	 55.26(D)	  20.35		 40.65   	-111.90		 54.16   	 152.59		
184.33   	 -2.44   	 55.34   	  91.56		 40.20   	-106.82		 54.77   	  91.56		
194.70   	 -6.41   	 55.71   	 178.03		 39.78   	-152.59		 55.14   	  15.26		
205.69   	 -3.97   	 56.42   	 274.67		 39.17   	-162.77		 55.20   	 -55.95		
215.15   	  1.53   	 57.52   	 457.78		 38.51   	 -76.30		 54.97   	-101.73		
221.86   	  5.80   	 59.35   	 737.54		 38.21(D)	  35.61		 54.57   	-106.82		
226.14   	  7.32   	 62.30   	 971.51		 38.35   	 111.90		 54.14   	 -91.56		
229.19   	  7.93   	 66.18   	1037.64		 38.80   	 188.20		 53.77   	-101.73		
231.32   	 10.07   	 70.34   	 940.99		 39.55   	 279.75		 53.37   	-101.73		
231.93   	 15.26   	 74.10   	 737.54		 40.67   	 371.31		 52.96   	 -76.30		
230.71   	 24.11   	 77.05   	 574.77		 42.16   	 447.61		 52.65   	 -25.43		
226.75   	 35.10   	 79.35   	 493.39		 43.95   	 478.13		 52.55   	  25.43		
220.03   	 46.39   	 81.32   	 442.52		 45.86   	 508.65		 52.65   	  76.30		
212.10   	 57.07   	 83.09   	 366.22		 47.89   	 544.25		 52.96   	 127.16		
203.25   	 69.58   	 84.56   	 193.29		 50.07   	 559.51		 53.47   	 193.29		
193.48   	 85.14   	 85.33   	   0.00		 52.31   	 539.16		 54.24   	 244.15		
182.80   	103.15   	 85.33   	 -35.61		 54.47   	 549.34		 55.22   	 274.67		
170.29   	122.68   	 85.19   	 111.90		 56.66   	 559.51		 56.32   	 310.27		
156.25   	141.30   	 85.64   	 340.79		 58.90   	 508.65		 57.56   	 330.62		
140.38   	156.25   	 87.00   	 549.34		 60.94   	 442.52		 58.88   	 315.36		
123.90   	165.41   	 89.20   	 544.25		 62.71   	 396.74		 60.14   	 315.36		
108.03   	165.41   	 91.37   	 356.05		 64.29   	 366.22		 61.40   	 315.36		
 92.16   	153.81   	 92.80   	 142.42		 65.76   	 325.53		 62.67   	 289.93		
 77.21   	131.84   	 93.37   	  96.64		 67.06   	 264.50		 63.82   	 239.06		
 64.09   	107.12   	 93.75   	 213.63		 68.12   	 223.80		 64.78   	 183.11		
 54.32   	 87.59   	 94.61   	 249.24		 69.01   	 208.54		 65.51   	 132.25		
 48.22   	 77.51   	 95.60   	  76.30		 69.85   	 167.85		 66.04   	  76.30		
 44.86   	 71.72   	 95.91   	 -71.21		 70.52   	  96.64		 66.35   	  15.26		
 42.42   	 65.00   	 95.63   	 -50.86		 70.91   	  55.95		 66.41(S)	 -50.86		
 39.37   	 54.63   	 95.42   	  50.86		 71.13   	  35.61		 66.21   	-111.90		
 35.71   	 43.33   	 95.63   	 122.07		 71.27(S)	 -15.26		 65.76   	-147.51		
 33.57   	 36.01   	 96.11   	  96.64		 71.21   	 -71.21		 65.17   	-218.72		
 33.57   	 34.18   	 96.50(S)	 -76.30		 70.93   	 -86.47		 64.29   	-279.75		
 34.79   	 34.48   	 96.19   	-218.72		 70.58   	 -91.56		 63.17   	-305.19		
 36.01   	 36.01   	 95.32   	-213.63		 70.21   	-157.68		 61.95   	-325.53		
 38.15   	 40.89   	 94.47   	-116.99		 69.58   	-188.20		 60.65   	-340.79		
 42.72   	 53.41   	 94.00   	 -25.43		 68.83   	-193.29		 59.29   	-366.22		
 51.27   	 76.90   	 93.90   	 -20.35		 68.06   	-183.11		 57.82   	-401.83		
 64.09   	109.86   	 93.81   	-137.33		 67.32   	-208.54		 56.22   	-427.26		
 79.04   	146.79   	 93.27   	-284.84		 66.49   	-239.06		 54.51   	-447.61		
 93.38   	181.58   	 92.13   	-320.45		 65.53   	-228.89		 52.72   	-483.21		
105.29   	211.79   	 90.84   	-228.89		 64.62   	-178.03		 50.78   	-503.56		
114.75   	236.82   	 89.93   	-116.99		 63.91   	-111.90		 48.77   	-483.21		
121.46   	257.57   	 89.46   	 -81.38		 63.46   	 -61.04		 46.84   	-478.13		
124.51   	274.66   	 89.13   	-147.51		 63.21   	-198.37		 44.92   	-534.08		
125.12   	285.95   	 88.54   	-274.67		 62.42   	-523.90		 42.79   	-625.63		
124.82   	286.56   	 87.45   	-330.62		 60.33   	-630.72		 40.28   	-681.58		
125.43   	274.05   	 86.12   	-310.27		 57.80   	-417.09		 37.56   	-651.07		
127.56   	251.46   	 84.88   	-289.93		 56.13   	-381.48		 34.95   	-590.03		
128.78   	224.30   	 83.72   	-305.19		 54.61   	-610.37		 32.59   	-574.77		
127.87   	195.62   	 82.50   	-279.75		 52.17   	-645.98		 30.29   	-620.55		
123.60   	166.93   	 81.38   	-295.01		 49.58   	-442.52		 27.81   	-640.89		
117.49   	137.02   	 80.20   	-340.79		 47.81   	-320.45		 25.25   	-584.94		
112.00   	103.76   	 78.84   	-335.71		 46.53   	-345.88		 22.91   	-508.65		
107.12   	 69.89   	 77.50   	-295.01		 45.15   	-320.45		 20.87   	-452.69		
102.23   	 39.37   	 76.32   	-274.67		 43.87   	-239.06		 19.06   	-442.52		
 95.52   	 14.65   	 75.22   	-218.72		 42.91   	-193.29		 17.29   	-422.18		
 86.36   	 -2.75   	 74.34   	-127.16		 42.14   	-167.85		 15.61   	-391.66		
 75.38   	-12.82   	 73.83   	 -61.04		 41.46   	-101.73		 14.04   	-345.88		
 64.09   	-18.92   	 73.59   	 -35.61		 41.06   	 -66.12		 12.66   	-300.10		
 54.63   	-24.41   	 73.45   	 -66.12		 40.79   	 -61.04		 11.45   	-269.58		
 49.13   	-31.13   	 73.18   	-142.42		 40.55   	 -15.26		 10.38   	-249.24		
 47.91   	-37.84   	 72.61   	-157.68		 40.49   	  96.64		  9.38   	-208.54		
 49.13   	-43.03   	 71.98   	 -96.64		 40.87   	 284.84		  8.55   	-172.94		
 51.57   	-44.56   	 71.60   	 -50.86		 42.01   	 417.09		  7.85   	-137.33		
 52.49   	-43.95   	 71.39   	 -81.38		 43.68   	 376.40		  7.30   	-116.99		
 51.27   	-43.03   	 71.07   	-137.33		 45.19   	 300.10		  6.84   	 -96.64		
 49.13   	-43.33   	 70.52   	-157.68		 46.39   	 345.88		  6.45   	 -71.21		
 46.39   	-45.47   	 69.89   	-172.94		 47.77   	 412.00		  6.16   	 -25.43		
 43.33   	-48.52   	 69.20   	-152.59		 49.42   	 376.40		  6.06(D)	  30.52		
 41.20   	-52.19   	 68.59   	 -86.47		 50.93   	 254.32		  6.19   	  66.12		
