SAMPLE NUMBER:   1
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  LFA     	  LFA'		  RV     	  RV'		
-26.55   	-202.64   	 80.43   	 -25.43		 58.13   	 -30.52		
-10.99   	-198.97   	 80.33   	   0.00		 58.01   	 -55.95		
 -9.46   	-188.29   	 80.33   	  15.26		 57.78   	 -71.21		
-23.19   	-174.87   	 80.39   	   0.00		 57.50   	-101.73		
-43.33   	-163.88   	 80.39   	 -10.17		 57.09   	-127.16		
-59.20   	-158.08   	 80.35   	 -45.78		 56.58   	-157.68		
-64.39   	-157.47   	 80.16   	 -81.38		 55.95   	-193.29		
-60.12   	-159.00   	 79.84   	 -61.04		 55.18   	-233.98		
-50.66   	-161.13   	 79.59   	 -86.47		 54.24   	-264.50		
-38.76   	-162.96   	 79.25   	-157.68		 53.18   	-305.19		
-25.33   	-165.10   	 78.62   	-157.68		 51.96   	-335.71		
-11.60   	-167.24   	 77.99   	-111.90		 50.62   	-371.31		
 -0.92   	-170.29   	 77.54   	-147.51		 49.14   	-401.83		
  5.19   	-173.95   	 76.95   	-172.94		 47.53   	-422.18		
  5.80   	-177.92   	 76.26   	-147.51		 45.84   	-452.69		
  2.75   	-181.27   	 75.67   	-183.11		 44.03   	-467.95		
 -3.97   	-183.41   	 74.93   	-208.54		 42.16   	-483.21		
-15.26   	-182.80   	 74.10   	-162.77		 40.22   	-493.39		
-32.35   	-178.83   	 73.45   	-178.03		 38.25   	-498.47		
-51.88   	-168.76   	 72.74   	-412.00		 36.26   	-564.60		
-71.41   	-131.84   	 71.09   	-203.46		 34.00   	-549.34		
-65.00   	-110.47   	 70.27   	-239.06		 31.80   	-534.08		
-51.27   	-93.99   	 69.32   	-203.46		 29.66   	-518.82		
-35.10   	-84.23   	 68.50   	-213.63		 27.59   	-493.39		
-18.62   	-77.51   	 67.65   	-239.06		 25.62   	-478.13		
 -2.14   	-68.05   	 66.69   	-193.29		 23.70   	-452.69		
  8.85   	-52.80   	 65.92   	-183.11		 21.89   	-427.26		
  6.10   	-33.87   	 65.19   	-167.85		 20.18   	-401.83		
-13.43   	-18.31   	 64.52   	-116.99		 18.58   	-381.48		
-45.17   	-12.82   	 64.05   	-142.42		 17.05   	-345.88		
-77.21   	-21.36   	 63.48   	-116.99		 15.67   	-325.53		
-99.79   	-41.81   	 63.01   	 -45.78		 14.36   	-300.10		
-109.86   	-68.97   	 62.83   	 -76.30		 13.16   	-274.67		
-112.61   	-99.49   	 62.52   	 -96.64		 12.07   	-249.24		
-115.36   	-133.06   	 62.14   	 -66.12		 11.07   	-223.80		
-122.99   	-173.95   	 61.87   	 -96.64		 10.17   	-198.37		
-132.45   	-223.08   	 61.49   	 -96.64		  9.38   	-172.94		
-137.63   	-275.27   	 61.10   	 -55.95		  8.69   	-152.59		
-131.23   	-319.21   	 60.87   	-101.73		  8.08   	-127.16		
-110.47   	-343.32   	 60.47   	-122.07		  7.57   	-106.82		
-81.18   	-344.85   	 59.98   	 -66.12		  7.14   	 -81.38		
-54.02   	-332.95   	 59.71   	 -55.95		  6.82   	 -66.12		
-36.62   	-320.43   	 59.49   	 -86.47		  6.55   	 -50.86		
-28.99   	-315.86   	 59.15   	 -71.21		  6.35   	 -35.61		
-28.08   	-319.52   	 58.86   	 -71.21		  6.21   	 -20.35		
-33.26   	-326.84   	 58.58   	 -55.95		  6.12   	  -5.09		
-46.39   	-332.64   	 58.35   	 -35.61		  6.10(D)	   5.09		
-67.75   	-335.69   	 58.21   	 -55.95		  6.12   	  15.26		
-93.08   	-335.39   	 57.99   	 -55.95		  6.19   	  25.43		
-112.92   	-332.64   	 57.76   	   5.09		  6.29   	  35.61		
-119.63   	-329.28   	 57.78   	   5.09		  6.43   	  35.61		
-111.69   	-327.45   	 57.80   	 -15.26		  6.57   	  45.78		
-94.30   	-329.59   	 57.74   	  -5.09		  6.75   	  45.78		
-73.85   	-336.91   	 57.72   	  -5.09		  6.94   	  45.78		
-52.19   	-351.56   	 57.70   	 -10.17		  7.12   	  50.86		
-22.89   	-376.89   	 57.66   	 -35.61		  7.32   	  55.95		
 25.02   	-406.80   	 57.52   	 -15.26		  7.55   	  50.86		
103.15   	-421.14   	 57.46   	  10.17		  7.75   	  45.78		
216.67   	-387.57   	 57.50   	 -10.17		  7.93   	  55.95		
350.04   	-270.69   	 57.46   	   5.09		  8.16   	  45.78		
457.15   	-60.42   	 57.48   	 -20.35		  8.34   	  50.86		
473.63   	212.40   	 57.40   	 -40.69		  8.55   	  45.78		
338.13   	482.48   	 57.23   	 -10.17		  8.73   	  45.78		
 34.79   	657.04(R)	 57.19   	 -61.04		  8.91(E)	  40.69		
-726.01   	462.34   	 56.95   	 -55.95		  9.07   	  40.69		
-909.73   	141.91   	 56.72   	 -10.17		  9.24   	  30.52		
-856.02   	-189.21   	 56.68   	  10.17		  9.36   	  30.52		
-617.98   	-409.55   	 56.72   	 -55.95		  9.48   	  30.52		
-325.93   	-466.00   	 56.50   	 -61.04		  9.60   	  20.35		
-101.62   	-399.78   	 56.26   	 -20.35		  9.68   	  20.35		
  4.27   	-298.16   	 56.17   	 -25.43		  9.77   	  15.26		
 15.87   	-233.76   	 56.07   	 -55.95		  9.83   	  10.17		
-10.38   	-231.02   	 55.85   	 -20.35		  9.87   	  10.17		
-29.60   	-268.55   	 55.77   	  20.35		  9.91   	   5.09		
-28.69   	-306.40   	 55.85   	 -10.17		  9.93   	   5.09		
-16.48   	-321.35   	 55.81   	 -30.52		  9.95   	  10.17		
 -5.19   	-315.86   	 55.69   	   0.00		  9.99   	  10.17		
 -2.14   	-303.34   	 55.69   	 -20.35		 10.03   	  15.26		
 -6.10   	-295.41   	 55.61   	 -55.95		 10.09   	  20.35		
-11.90   	-293.88   	 55.38   	 -35.61		 10.17   	  30.52		
-12.51   	-294.19   	 55.24   	 -10.17		 10.29   	  45.78		
 -5.19   	-290.53   	 55.20   	 -15.26		 10.48   	  61.04		
  9.77   	-281.37   	 55.14   	 -55.95		 10.72   	  76.30		
 27.47   	-271.91   	 54.91   	 -40.69		 11.03   	  96.64		
 42.42   	-267.03   	 54.75   	  10.17		 11.41   	 127.16		
 50.66   	-267.03   	 54.79   	 -15.26		 11.92   	 162.77		
 50.66   	-269.47   	 54.73   	 -25.43		 12.57   	 188.20		
 43.03   	-269.47   	 54.63   	  -5.09		 13.33   	 218.72		
 30.82   	-265.81   	 54.61   	 -20.35		 14.20   	 295.01		
  8.24   	-251.46   	 54.53   	 -35.61		 15.38   	 320.45		
  0.00   	-245.36   	 54.38   	 -35.61		 16.66   	 345.88		
 -6.41   	-242.00   	 54.24   	 -45.78		 18.05   	 366.22		
 -8.85   	-240.17   	 54.06   	 -10.17		 19.51   	 391.66		
 -3.66   	-237.73   	 54.02   	 -25.43		 21.08   	 406.92		
 11.90   	-233.15   	 53.92   	 -66.12		 22.71   	 422.18		
 34.79   	-225.52   	 53.65   	 -40.69		 24.39   	 437.43		
 57.68   	-215.45   	 53.49   	 -50.86		 26.14   	 442.52		
 73.55   	-204.16   	 53.29   	 -50.86		 27.91   	 442.52		
 81.18   	-191.65   	 53.08   	  15.26		 29.68   	 442.52		
 85.75   	-177.92   	 53.14   	   0.00		 31.45   	 437.43		
 93.69   	-163.57   	 53.14   	 -50.86		 33.20   	 427.26		
107.12   	-149.84   	 52.94   	 -40.69		 34.91   	 422.18		
122.99   	-137.33   	 52.78   	 -15.26		 36.60   	 412.00		
135.19   	-126.34   	 52.72   	 -15.26		 38.25   	 396.74		
140.69   	-116.58   	 52.65   	 -10.17		 39.84   	 376.40		
140.69   	-105.90   	 52.61   	 -15.26		 41.34   	 361.14		
141.30   	-93.99   	 52.55   	 -50.86		 42.79   	 340.79		
148.32   	-80.57   	 52.35   	 -30.52		 44.15   	 315.36		
162.96   	-65.92   	 52.23   	 -10.17		 45.41   	 289.93		
183.11   	-51.27   	 52.19   	 -30.52		 46.57   	 274.67		
202.64   	-36.01   	 52.06(D)	  15.26		 47.67   	 249.24		
218.20   	-20.45   	 52.13   	  66.12		 48.67   	 223.80		
229.49   	 -4.58   	 52.39   	  25.43		 49.56   	 203.46		
237.73   	 10.38   	 52.49   	 356.05		 50.38   	 183.11		
248.11   	 37.54   	 53.92   	 310.27		 51.11   	 157.68		
250.85   	 49.44   	 55.16   	 437.43		 51.74   	 137.33		
255.43   	 60.12   	 56.91   	 620.55		 52.29   	 122.07		
264.89   	 70.50   	 59.39   	 747.71		 52.78   	  96.64		
278.32   	 81.48   	 62.38   	 864.70		 53.16   	  86.47		
288.39   	 92.77   	 65.84   	 976.60		 53.51   	  71.21		
288.39   	103.15   	 69.75   	 981.68		 53.79   	  61.04		
278.32   	110.17   	 73.67   	 869.78		 54.04   	  45.78		
264.28   	111.39   	 77.15   	 691.76		 54.22   	  35.61		
251.77   	104.37   	 79.92   	 493.39		 54.36   	  30.52		
239.26   	 89.72   	 81.89   	 228.89		 54.49   	  20.35		
220.34   	 67.75   	 82.81(S)	 -30.52		 54.57   	  20.35		
189.51   	 40.28   	 82.69   	-193.29		 54.65   	  15.26		
150.15   	  7.93   	 81.91   	-254.32		 54.71   	  10.17		
112.61   	-28.38   	 80.89   	-259.41		 54.75   	   5.09		
 85.14   	-68.36   	 79.86   	-223.80		 54.77   	   5.09		
 67.75   	-111.08   	 78.96   	-157.68		 54.79   	  10.17		
