SAMPLE NUMBER:   21
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  RFA     	  RFA'		
-51.57   	-62.56   	 26.63   	-249.24		 86.45   	-203.46		
-52.49   	-63.78   	 25.64   	-259.41		 85.64   	-228.89		
-53.10   	-65.00   	 24.60   	-264.50		 84.72   	-239.06		
-53.71   	-65.61   	 23.54   	-269.58		 83.76   	-254.32		
-53.10   	-65.00   	 22.46   	-274.67		 82.75   	-259.41		
-52.19   	-64.09   	 21.36   	-274.67		 81.71   	-259.41		
-51.27   	-62.87   	 20.26   	-269.58		 80.67   	-259.41		
-50.96   	-62.26   	 19.19   	-264.50		 79.63   	-244.15		
-50.66   	-61.95   	 18.13   	-259.41		 78.66   	-239.06		
-50.96   	-61.34   	 17.09   	-244.15		 77.70   	-223.80		
-50.66   	-60.42   	 16.11   	-233.98		 76.81   	-213.63		
-50.35   	-59.20   	 15.18   	-223.80		 75.95   	-198.37		
-49.44   	-57.68   	 14.28   	-203.46		 75.16   	-178.03		
-47.91   	-55.85   	 13.47   	-188.20		 74.45   	-167.85		
-45.17   	-52.80   	 12.72   	-167.85		 73.77   	-152.59		
-41.50   	-48.83   	 12.04   	-157.68		 73.16   	-142.42		
-36.01   	-44.25   	 11.41   	-142.42		 72.59   	-127.16		
-28.99   	-39.98   	 10.84   	-127.16		 72.09   	-122.07		
-19.53   	-37.84   	 10.34   	-111.90		 71.60   	-111.90		
 -6.71   	-39.06   	  9.89   	 -91.56		 71.15   	-106.82		
  9.77   	-40.89   	  9.52   	 -81.38		 70.72   	 -96.64		
 29.30   	-39.67   	  9.20   	 -71.21		 70.34   	 -96.64		
 50.96   	-30.21   	  8.91   	 -61.04		 69.95   	 -91.56		
 72.63   	-10.07   	  8.67   	 -50.86		 69.58   	 -96.64		
 91.55   	 16.17   	  8.46   	 -35.61		 69.20   	 -91.56		
103.45   	 38.45   	  8.32   	 -25.43		 68.83   	 -91.56		
104.68   	 45.78   	  8.22   	 -20.35		 68.46   	 -91.56		
 93.08   	 33.87   	  8.14   	 -20.35		 68.10   	 -96.64		
