SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  AO     	  AO'		  RV     	  RV'		
 49.70   	 -35.61		 12.27   	  55.95		
 49.56   	 -30.52		 12.49   	  45.78		
 49.44   	 -35.61		 12.68   	  50.86		
 49.30   	 -40.69		 12.88   	  40.69		
 49.14   	 -40.69		 13.04   	  10.17		
 48.97   	 -91.56		 13.08   	 -66.12		
 48.61   	 -40.69		 12.82   	 -25.43		
 48.44   	 -40.69		 12.72   	  20.35		
 48.28   	 -40.69		 12.80   	  81.38		
 48.12   	 -50.86		 13.12   	 152.59		
 47.91   	 -50.86		 13.73   	 167.85		
 47.71   	 -50.86		 14.40   	 172.94		
 47.51   	 -50.86		 15.10   	 213.63		
 47.30   	 -40.69		 15.95   	 295.01		
 47.14   	 -50.86		 17.13   	 381.48		
 46.94   	 -55.95		 18.66   	 432.35		
 46.71   	 -45.78		 20.39   	 462.87		
 46.53   	 -45.78		 22.24   	 518.82		
 46.35   	 -40.69		 24.31   	 579.86		
 46.18   	 -30.52		 26.63   	 635.81		
 46.06   	 -35.61		 29.18   	 656.15		
 45.92   	 -40.69		 31.80   	 645.98		
 45.76   	 -25.43		 34.38   	 610.37		
 45.66(D)	   0.00		 36.83   	 554.42		
 45.66   	  35.61		 39.04   	 488.30		
 45.80   	  86.47		 41.00   	 381.48		
 46.14   	 137.33		 42.52   	 254.32		
 46.69   	 203.46		 43.54   	 132.25		
 47.51   	 279.75		 44.07   	  45.78		
 48.63   	 350.97		 44.25   	 -15.26		
 50.03   	 859.61		 44.19   	-137.33		
 53.47   	 447.61		 43.64   	-116.99		
 55.26   	 442.52		 43.17   	-142.42		
 57.03   	 422.18		 42.60   	-142.42		
 58.72   	 396.74		 42.03   	-127.16		
 60.30   	 356.05		 41.53   	 -91.56		
