SAMPLE NUMBER:   5
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  II     	  III     	  DAO     	  DAO'		  RV     	  RV'		
134.89   	 90.94   	 73.27   	-264.50		  2.34   	 300.10		
 68.97   	 36.01   	 72.21   	-330.62		  3.54   	 345.88		
  8.24   	 -3.05   	 70.88   	-361.14		  4.92   	 366.22		
-40.59   	-21.36   	 69.44   	-356.05		  6.39   	 350.97		
-76.90   	-27.16   	 68.02   	-305.19		  7.79   	 320.45		
-102.54   	-31.74   	 66.80   	-228.89		  9.07   	 259.41		
-120.54   	-41.50   	 65.88   	-132.25		 10.11   	 193.29		
-133.36   	-53.71   	 65.35   	 -40.69		 10.89   	 152.59		
-141.30   	-62.26   	 65.19   	  40.69		 11.50   	  91.56		
-143.43   	-62.56   	 65.35   	  76.30		 11.86   	   5.09		
-140.99   	-57.68   	 65.66   	  71.21		 11.88   	 -76.30		
-134.28   	-55.54   	 65.94   	  35.61		 11.58   	-116.99		
-115.36   	-65.31   	 66.08   	  -5.09		 11.11   	-152.59		
-64.39   	-96.74   	 66.06   	 -55.95		 10.50   	-172.94		
 55.54   	-153.50   	 65.84   	-101.73		  9.81   	-152.59		
262.76   	-227.05   	 65.43   	-152.59		  9.20   	-106.82		
490.42   	-293.88   	 64.82   	-386.57		  8.77   	-172.94		
469.06   	-222.47   	 63.28   	-208.54		  8.08   	 -50.86		
 79.04   	-46.08   	 62.44   	-188.20		  7.87   	 -20.35		
-437.93   	144.65   	 61.69   	-152.59		  7.79   	   0.00		
-841.37   	246.28   	 61.08   	-111.90		  7.79   	  20.35		
-951.54(R)	195.62   	 60.63   	 -86.47		  7.87   	  30.52		
-770.57   	 22.89   	 60.28   	 -55.95		  8.00   	  45.78		
-442.20   	-155.64   	 60.06   	 -35.61		  8.18   	 101.73		
-148.62   	-232.24   	 59.92   	 -35.61		  8.59   	 157.68		
 -9.77   	-191.65   	 59.78   	 -35.61		  9.22   	 188.20		
-25.33   	-102.23   	 59.63   	 -45.78		  9.97   	 233.98		
