SAMPLE NUMBER:   3
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec
ECG UNITS:       uV
ECG RESOLUTION:  0.3051758 uV/unit

------------------------- Begin Data -------------------------
  I     	  II     	  RV     	  RV'		  FA     	  FA'		
 78.74   	 74.46   	 16.54   	-412.00		 90.82   	-178.03		
 90.64   	102.54   	 14.89   	-376.40		 90.11   	-183.11		
 99.18   	125.73   	 13.39   	-335.71		 89.38   	-193.29		
106.20   	140.69   	 12.04   	-300.10		 88.61   	-193.29		
113.83   	151.37   	 10.84   	-264.50		 87.83   	-198.37		
124.51   	165.41   	  9.79   	-239.06		 87.04   	-198.37		
136.72   	186.46   	  8.83   	-213.63		 86.25   	-193.29		
145.87   	206.30   	  7.98   	-193.29		 85.47   	-193.29		
148.32   	210.27   	  7.20   	-178.03		 84.70   	-183.11		
140.99   	187.99   	  6.49   	-162.77		 83.97   	-172.94		
125.73   	141.91   	  5.84   	-157.68		 83.28   	-162.77		
